signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-63AF250C77DC527C	merge_existing_surface	existing_modeled_surface	Canonical Canada AI Register surface already modeled locally; this row is a duplicate registry artifact.	dedupe only; no new source claim	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-63B5384E457170BE	reject_noise	derived_or_internal_noise	Local artifact is manuscript/prose/script/derived material (pallas-country-ai-readiness-v0.2.md), not a direct-source surface.	derived/internal artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-packages/tyche-thesis-atlas-v0.2.3-preprint/analysis/country-readiness/pallas-country-ai-readiness-v0.2.md
LIMEN-SIGNAL-63D398E398AB221C	needs_named_source_extraction	source_pack_or_wrapper	Country/profile summary points toward underlying sources but does not expose one named reviewable surface yet.	metadata points toward source; not yet named	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/standards-pki-digital-id-exception-cohort.json
LIMEN-SIGNAL-6401CBBB1CDAB2CC	negative_evidence_candidate	negative_evidence_surface	Confidence in the negative finding improves modestly but remains non-exhaustive.	absence/search-limit evidence only	retain as negative-evidence surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-6411BAC2ADA757C0	translation_review_needed	translation_sensitive_surface	Plausible direct source surface, but local evidence is materially non-English or translation-sensitive.	translation-sensitive source-surface review only	route to translation-aware source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-6414392D1F48A9EC	source_reviewed_candidate	direct_source_surface	Local metadata names a concrete official/institutional source surface suitable for bounded source review.	source-surface existence only	open bounded source review packet	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv
LIMEN-SIGNAL-6415EE64D486122B	reject_noise	derived_or_internal_noise	Local artifact is manuscript/prose/script/derived material (books-theory-latest.jsonl), not a direct-source surface.	derived/internal artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-641CB43B04ECDAB1	reject_noise	derived_or_internal_noise	Local artifact is manuscript/prose/script/derived material (estonia-finland-ai-and-ethics-preprint-anon.md), not a direct-source surface.	derived/internal artifact only	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/04-estonia-finland-case-study/paper/venue/estonia-finland-ai-and-ethics-preprint-anon.md
LIMEN-SIGNAL-64207FC205701D13	merge_existing_surface	existing_modeled_surface	Canonical Canada AI Register surface already modeled locally; this row is a duplicate registry artifact.	dedupe only; no new source claim	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-642E4E2CCB7D67D0	needs_named_source_extraction	source_pack_or_wrapper	Atlas fact/history export refers to an underlying source but does not expose a stable named surface here.	metadata points toward source; not yet named	extract named source from local metadata	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-283-active-lanes-40-eightfold-talent-intelligence-sharpening/facts.jsonl
LIMEN-SIGNAL-644D2F5DBBA54A22	merge_existing_surface	existing_modeled_surface	Canonical Canada AI Register surface already modeled locally; this row is a duplicate registry artifact.	dedupe only; no new source claim	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-6479AC5579450A21	merge_existing_surface	existing_modeled_surface	Canonical Dutch Algorithm Register surface already modeled locally; this row is a duplicate registry artifact.	dedupe only; no new source claim	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-647A13EBD4EDB39F	merge_existing_surface	existing_modeled_surface	Canonical Canada AI Register surface already modeled locally; this row is a duplicate registry artifact.	dedupe only; no new source claim	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/deployed-gap-map-field-coding-template-v0.1.csv
LIMEN-SIGNAL-6485872EB9381573	source_reviewed_candidate	direct_source_surface	Local metadata names a concrete official/institutional source surface suitable for bounded source review.	source-surface existence only	open bounded source review packet	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv
LIMEN-SIGNAL-648C92588EA9F77F	merge_existing_surface	existing_modeled_surface	Canonical Canada AI Register surface already modeled locally; this row is a duplicate registry artifact.	dedupe only; no new source claim	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-648D254C26233CDE	source_reviewed_candidate	direct_source_surface	Local metadata points to an official EUR-Lex / EU source surface suitable for bounded source review.	source-surface existence only	open bounded source review packet	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html
LIMEN-SIGNAL-648EA808F1D8CB2C	merge_existing_surface	existing_modeled_surface	Local registry/atlas artifact duplicates an already-modeled source surface (facts.jsonl).	dedupe only; no new source claim	dedupe to existing modeled surface	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/facts.jsonl
LIMEN-SIGNAL-649115EC3E539772	reject_noise	derived_or_internal_noise	Local artifact is manuscript/prose/script/derived material (claim-support-digest.json), not a direct-source surface.	derived/internal artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T192817Z/claim-support-digest.json
LIMEN-SIGNAL-64957C1703216790	source_reviewed_candidate	direct_source_surface	Local metadata names a concrete official/institutional source surface suitable for bounded source review.	source-surface existence only	open bounded source review packet	/srv/tyche/pallas/pallas-ai-agent-observatory/program/10-pallas-gaia-bridge/data/pallas_gaia_agent_observability_stress_test.csv
LIMEN-SIGNAL-6495C06442E7FDEB	merge_existing_surface	existing_modeled_surface	Canonical Canada AI Register surface already modeled locally; this row is a duplicate registry artifact.	dedupe only; no new source claim	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-649A3920DDDCD6F9	translation_review_needed	translation_sensitive_surface	Named source surface is locally evidenced but materially foreign-language or translation-sensitive.	translation-sensitive source-surface review only	route to translation-aware source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv
LIMEN-SIGNAL-64A5EECE53F733C8	merge_existing_surface	existing_modeled_surface	Canonical Canada AI Register surface already modeled locally; this row is a duplicate registry artifact.	dedupe only; no new source claim	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-64B028ECE961C15F	reject_noise	derived_or_internal_noise	Local artifact is manuscript/prose/script/derived material (paper-draft-before-successor-candidate-update-20260519T170658Z.md), not a direct-source surface.	derived/internal artifact only	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-before-successor-candidate-update-20260519T170658Z.md
