case_id	cve_id	record_status	evidence_tier	title	primary_source_id	primary_source_url	access_date	language	jurisdiction	ai_system_type	autonomy_level	impact_surface	limen_categories	mitre_atlas_mapping	avid_mapping	owasp_llm_agentic_mapping	severity	mitigation_or_response	paper_use_note	verification_gap
LIMEN-WEB4-001		Garante	T3_authoritative_source	Italy fines Foodinho (Glovo) over rider-management algorithm	Garante | Order 9675440, 10 June 2021, EUR 2.6M	https://www.edpb.europa.eu/news/national-news/2021/riders-italian-sa-says-no-algorithms-causing-discrimination-platform-glovo_en	2026-06-14		Italy	gig-economy algorithmic management		legal/regulatory/algorithmic	education_workplace_or_hr						The Garante fined Foodinho EUR 2.6M for unlawful automated profiling of riders without human-intervention safeguards.	Figure via EDPB/GDPRhub summaries.
LIMEN-WEB4-002		Garante	T3_authoritative_source	Italy fines Deliveroo Italy over rider-management algorithm	Garante | Order 9685994, 22 July 2021, EUR 2.5M	https://gdprhub.eu/index.php?title=Garante_per_la_protezione_dei_dati_personali_(Italy)_-_9685994	2026-06-14		Italy	gig-economy algorithmic management		legal/regulatory/algorithmic	education_workplace_or_hr						The Garante fined Deliveroo Italy EUR 2.5M for opaque algorithmic rider management and excessive data collection.	GDPRhub page access-restricted.
LIMEN-WEB4-003		Garante	T3_authoritative_source	Italy fines Foodinho a second time over rider biometrics/geolocation	Garante | Nov 2024, EUR 5M; facial recognition prohibited	https://www.dataguidance.com/news/italy-garante-fines-foodinho-eu5m-processing-biometric	2026-06-14		Italy	gig-platform facial recognition + geolocation		legal/regulatory/algorithmic	education_workplace_or_hr						In Nov 2024 the Garante fined Foodinho EUR 5M and barred riders' facial-recognition biometric processing.	Provvedimento number not isolated.
LIMEN-WEB4-004		CNIL	T2_contested_or_interim	France fines Amazon France Logistique for algorithmic warehouse monitoring	CNIL | SAN-2023-021, 27 Dec 2023, EUR 32M	https://www.edpb.europa.eu/news/national-news/2024/employee-monitoring-french-sa-fined-amazon-france-logistique-eu32-million_en	2026-06-14		France	scanner-based productivity-tracking system		legal/regulatory/algorithmic	education_workplace_or_hr						CNIL fined Amazon France Logistique EUR 32M for an excessively intrusive scanner system measuring worker activity to the second.	Amazon has appealed to the Conseil d'Etat. | VERIFIED: Amazon France Logistique has appealed the SAN-2023-021 decision, so the EUR 32M fine is under challenge rather than final.
LIMEN-WEB4-005		CNIL	T3_authoritative_source	France fines Criteo over behavioural-advertising profiling	CNIL | SAN-2023-009, 15 June 2023, EUR 40M	https://www.edpb.europa.eu/news/national-news/2023/personalised-advertising-french-sa-fined-criteo-eur-40000000_en	2026-06-14		France	AdTech behavioural-tracking/profiling engine		legal/regulatory/algorithmic	data_protection_enforcement						CNIL fined Criteo EUR 40M for failing to verify consent for large-scale behavioural tracking/profiling.	Via EDPB/GDPRhub.
LIMEN-WEB4-006		CNIL	T3_authoritative_source	France fines Apple over App Store ad-targeting identifiers	CNIL | SAN-2022-025, 29 Dec 2022, EUR 8M	https://www.hunton.com/privacy-and-information-security-law/cnil-fines-apple-8-million-euros-over-personalized-ads	2026-06-14		France	on-device identifier collection for ad personalisation		legal/regulatory/algorithmic	data_protection_enforcement						CNIL fined Apple EUR 8M for collecting identifiers by default to personalise App Store ads without consent.	Primary deliberation not directly fetched.
LIMEN-WEB4-007		Data Protection Commission	T3_authoritative_source	Ireland fines Dept. of Social Protection over Public Services Card facial recognition	Data Protection Commission | 12 June 2025, EUR 550,000 + reprimand	https://www.rte.ie/news/business/2025/0612/1518065-data-watchdog-issues-550k-fine-over-public-services-card/	2026-06-14		Ireland	facial-template biometric matching for identity de-duplication		legal/regulatory/algorithmic	surveillance_biometrics_or_policing						The DPC fined the DSP EUR 550,000 for facial-recognition biometric matching in Public Services Card registration without a valid lawful basis.	DSP is challenging the fine.
LIMEN-WEB4-008		AEPD	T2_contested_or_interim	Spain fines LaLiga for stadium biometric access control	AEPD | EXP202315637, EUR 1,000,000 (contested Mar 2025)	https://www.biometricupdate.com/202503/laliga-disputes-e1m-fine-from-aepd-over-stadium-biometrics	2026-06-14		Spain	biometric stadium access control		legal/regulatory/algorithmic	surveillance_biometrics_or_policing						AEPD fined LaLiga EUR 1M for mandating biometric stadium access without a compliant DPIA.	LaLiga has appealed.
LIMEN-WEB4-009		AEPD	T3_authoritative_source	Spain fines CA Osasuna for stadium facial recognition	AEPD | Dec 2024, EUR 200,000 + ban + deletion	https://idtechwire.com/spanish-football-club-fined-e200000-over-stadium-facial-recognition-system/	2026-06-14		Spain	facial-recognition stadium access control		legal/regulatory/algorithmic	surveillance_biometrics_or_policing						AEPD fined Osasuna EUR 200,000, banned the system and ordered deletion over facial-recognition stadium access.	Full resolution not fetched.
LIMEN-WEB4-010		AEPD	T3_authoritative_source	Spain fines Burgos CF for biometric stadium access	AEPD | Apr 2024, EUR 200,000 (reduced to 120,000)	https://venturagarces.com/en/first-penalties-by-the-aepd-use-of-biometric-controls/	2026-06-14		Spain	fingerprint biometric stadium access		legal/regulatory/algorithmic	surveillance_biometrics_or_policing						AEPD fined Burgos CF EUR 200,000 (reduced to 120,000) for fingerprint-based stadium access.	Expediente number not isolated.
LIMEN-WEB4-011		AEPD	T3_authoritative_source	Spain fines age-verification provider Yoti over biometric processing	AEPD | 10 Mar 2026, EUR 950,000	https://www.dataguidance.com/news/spain-aepd-fines-yoti-eu950000-unlawful-processing	2026-06-14		Spain	facial-scan biometric age/identity verification		legal/regulatory/algorithmic	data_protection_enforcement						AEPD fined Yoti EUR 950,000 for unlawful biometric processing, invalid consent and excessive retention in its age-verification app.	Yoti is appealing.
LIMEN-WEB4-012		AEPD	T2_contested_or_interim	Spain fines a sports-centre operator for mandatory facial-recognition access	AEPD | EXP202213792, EUR 96,000	https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202213792	2026-06-14		Spain	facial-recognition access control		legal/regulatory/algorithmic	surveillance_biometrics_or_policing						AEPD fined a sports-centre operator EUR 96,000 for mandatory facial-recognition access without consent.	GDPRhub page not directly fetched. | VERIFIED: The EUR 96,000 gym fine belongs to the SIDECU/Supera chain (EUR 160,000 reduced to 96,000, decision ~Aug 2025); case ID EXP202213792 actually identifies the Burgos CF stadium case (duplicate of LIMEN-WEB4-010), so the anchor pairs the wrong file number with this fine.
LIMEN-WEB4-013		Berlin DPA (BlnBDI)	T3_authoritative_source	Germany (Berlin) fines a bank over opaque automated credit-card rejection	Berlin DPA (BlnBDI) | 31 May 2023, EUR 300,000	https://www.edpb.europa.eu/news/national-news/2023/berlin-sa-imposes-300-000-euro-fine-against-bank-after-lack-transparency_en	2026-06-14		Germany	automated credit-card scoring (Art. 22 GDPR)		legal/regulatory/algorithmic	data_protection_enforcement						The Berlin DPA fined a bank EUR 300,000 for failing to give meaningful information about an algorithmic credit-card rejection.	Bank unnamed in public record.
LIMEN-WEB4-014		Hamburg DPA (HmbBfDI)	T3_authoritative_source	Germany (Hamburg) fines a financial company over automated credit decisions	Hamburg DPA (HmbBfDI) | 2025, EUR 492,000	https://www.clydeco.com/en/insights/2025/10/lessons-from-hamburg-commissioner-for-data-protect	2026-06-14		Germany	solely-automated credit-card decisioning (Art. 22)		legal/regulatory/algorithmic	data_protection_enforcement						The Hamburg DPA fined a financial company EUR 492,000 for automated credit-card rejection decisions without adequate explanation.	Company unnamed.
LIMEN-WEB4-015		Garante	T3_authoritative_source	Italy fines waste-sector employer over facial-recognition attendance	Garante | Provv. 9995680, 22 Feb 2024, EUR 70,000	https://gdprhub.eu/index.php?title=Garante_per_la_protezione_dei_dati_personali_(Italy)_-_9995680	2026-06-14		Italy	facial-recognition employee attendance		legal/regulatory/algorithmic	education_workplace_or_hr						The Garante fined an employer EUR 70,000 for facial-recognition employee attendance, which Italian law does not permit.	GDPRhub page access-restricted.
