row_id	signal_id	translation_hold_class	review_priority	shards	queries	language_hint	source_path_family	source_url	source_path	source_line	title_or_snippet	claim_ceiling	next_action	forbidden_overread
TH-00046	LIMEN-SIGNAL-17AC446FF4B2D765	registry_auto_translation	P1_official_or_regulator_review	public-sector	automated decision	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-sample-records-v0.2.csv	3	"NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support,2026-06-05,Zylab Disclosure Support,""Mi"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00058	LIMEN-SIGNAL-1B8F1C3F58E45620	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-gap-map-v0.2.preview.csv	9	GM-REC-NL-ALG-REC-33698247,NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00059	LIMEN-SIGNAL-1BD537AEBCD00D31	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algorit	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/manuscript.md	178	| NL-ALG-REC-93184465 | NL-ALG-REG | Algorithm Register of the Dutch government | Netherlands | Netherlands | English auto-translation from Dutch | https://algoritmes.overheid.nl/en/algorit... | 2026-06-05 |	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00060	LIMEN-SIGNAL-1D2551B0A8618C76	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv	21	NL-ALG-REC-93184465,NL-ALG-REG,Dutch national Algorithm Register,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask,2026-06-05,Datamask,ind	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00065	LIMEN-SIGNAL-204B788AA47D63C6	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	/srv/tyche/projects/public-ai-registry/data/registry-gap-map-v0.2.csv	10	GM-REC-NL-ALG-REC-93184465,NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/931	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00067	LIMEN-SIGNAL-2266E7D535E45A66	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algorit	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/manuscript.md	140	| NL-ALG-REC-93184465 | NL-ALG-REG | Algorithm Register of the Dutch government | Netherlands | Netherlands | English auto-translation from Dutch | https://algoritmes.overheid.nl/en/algorit... | 2026-06-05 |	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00071	LIMEN-SIGNAL-250B42A905D6D0C1	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv	6	NL-ALG-REC-83985427,NL-ALG-REG,Dutch national Algorithm Register,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation,2026-06-	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00073	LIMEN-SIGNAL-259DD1BA693D4D52	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-sample-records-v0.2.preview.csv	4	NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask,2026-06-05,Datamask,Municipality of Hof van Twente,yes,ye	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00078	LIMEN-SIGNAL-28A2879D1DA9D8DB	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-sample-records-v0.2.preview.csv	3	"NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support,2026-06-05,Zylab Disclosure Support,""Mi"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00079	LIMEN-SIGNAL-296EEE3522645AF1	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.csv	9	GM-REC-NL-ALG-REC-33698247,NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
