queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00793	LIMEN-SIGNAL-83223B6CF4B0631B	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv:82	Sri Lanka country matrix placeholder/profile has no single explicit parent-source URL in cited local row.	processing-state only; no substantive claim	Select a named source from a source pack before direct source review.
BPSE-00794	LIMEN-SIGNAL-83269A00F0A005E9	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:2250	Zimbabwe country profile placeholder/profile has no single explicit parent-source URL in cited local row.	processing-state only; no substantive claim	Select a named source from a source pack before direct source review.
BPSE-00795	LIMEN-SIGNAL-83A2972010445148	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:62	Kosovo research queue placeholder/profile has no single explicit parent-source URL in cited local row.	processing-state only; no substantive claim	Select a named source from a source pack before direct source review.
BPSE-00796	LIMEN-SIGNAL-83ABCD66F06E503A	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:31	Luxembourg country index placeholder/profile has no single explicit parent-source URL in cited local row.	processing-state only; no substantive claim	Select a named source from a source pack before direct source review.
BPSE-00797	LIMEN-SIGNAL-840A4D54D86A4BA1	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:11	French Guiana research queue placeholder/profile has no single explicit parent-source URL in cited local row.	processing-state only; no substantive claim	Select a named source from a source pack before direct source review.
BPSE-00798	LIMEN-SIGNAL-84B0EEEA45AA6A2F	parent_source_wrapper			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_HARDENING_SUMMARY.csv:12	Hardening summary lists multiple Pitcairn source examples without URLs in the cited row.	processing-state only; no substantive claim	Human/source-pack selection of one direct parent source required before review.
BPSE-00799	LIMEN-SIGNAL-84EE24F21608BAD1	parent_source_wrapper			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:1616	Country profile lists multiple Puerto Rico source examples; cited row does not isolate one parent URL.	processing-state only; no substantive claim	Human/source-pack selection of one direct parent source required before review.
BPSE-00800	LIMEN-SIGNAL-85034A3C30E50D0C	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:74	Sao Tome and Principe research queue placeholder/profile has no single explicit parent-source URL in cited local row.	processing-state only; no substantive claim	Select a named source from a source pack before direct source review.
BPSE-00801	LIMEN-SIGNAL-8593E9F0EDB968E5	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:30	Armenia research queue placeholder/profile has no single explicit parent-source URL in cited local row.	processing-state only; no substantive claim	Select a named source from a source pack before direct source review.
BPSE-00802	LIMEN-SIGNAL-859A3434B2971A05	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:8	India research queue placeholder/profile has no single explicit parent-source URL in cited local row.	processing-state only; no substantive claim	Select a named source from a source pack before direct source review.
BPSE-00803	LIMEN-SIGNAL-862949DF2E619076	parent_source_wrapper			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_CANDIDATE_MATRIX_DELTA.csv:116	French Guiana delta cites multiple France-level inventory/API sources; one parent must be chosen.	processing-state only; no substantive claim	Human/source-pack selection of one direct parent source required before review.
BPSE-00804	LIMEN-SIGNAL-863CD8E3C5D8E547	parent_source_wrapper			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv:92	Vanuatu hardening summary lists many source examples across indicators; one parent must be chosen.	processing-state only; no substantive claim	Human/source-pack selection of one direct parent source required before review.
BPSE-00805	LIMEN-SIGNAL-86D00AF126A63AC8	parent_source_wrapper			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv:106	Caribbean Netherlands summary lists multiple Dutch consultation/register sources; one parent must be chosen.	processing-state only; no substantive claim	Human/source-pack selection of one direct parent source required before review.
BPSE-00806	LIMEN-SIGNAL-86DF4512EF2FDB74	source_url_extracted	https://www.bot.go.tz/DFDI/Sandbox	FinTech Regulatory Sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:748	Local source-pack row gives Bank of Tanzania sandbox URL named by wrapper.	source posture only; sectoral fintech sandbox, not AI-specific	Review this direct official source surface only.
BPSE-00807	LIMEN-SIGNAL-876B34FBB1215CB7	source_url_extracted	https://boj.org.jm/core-functions/financial-system/payment-systems/sandbox/	Sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2410	Local source-pack row gives BOJ sandbox page named by wrapper and links current materials.	source posture only; sectoral fintech/payment sandbox, not AI-specific	Review this direct official source surface only.
BPSE-00808	LIMEN-SIGNAL-87A88F96F812D48F	source_url_extracted	https://cbs.gov.ws/news/cbs-approves-regulatory-sandbox-testing-of-pacwallex-and-ticktap-card-in-samoa	CBS approves regulatory sandbox testing of PacWallex and TickTap Card	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2012	Local source-pack row gives CBS sandbox-testing notice named by score-change wrapper.	source posture only; sectoral digital-payment sandbox, not AI-specific	Review this direct official source surface only.
BPSE-00809	LIMEN-SIGNAL-87DD5723F9455197	source_url_extracted	https://www.rbf.gov.fj/fintech-regulatory-sandbox-guideline/	FinTech Regulatory Sandbox Guideline	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1241	Local source-pack row gives Reserve Bank of Fiji sandbox guideline URL named by wrapper.	source posture only; sectoral fintech sandbox, not AI-specific	Review this direct official source surface only.
BPSE-00810	LIMEN-SIGNAL-87E880952736E36F	source_url_extracted	https://cbo.gov.om/Pages/RegulatorySandbox.aspx	Fintech Regulatory Sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:4669	Local source-pack row gives CBO sandbox URL named by score-delta wrapper.	source posture only; sectoral fintech sandbox, not AI-specific	Review this direct official source surface only.
BPSE-00811	LIMEN-SIGNAL-884A5B0DFDD4B6FA	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:46	Belize research queue placeholder/profile has no single explicit parent-source URL in cited local row.	processing-state only; no substantive claim	Select a named source from a source pack before direct source review.
