signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-ED14E44833854E5C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_9_CANDIDATE_MATRIX_DELTA.csv	84	sha256:519db9e7c94b70b7750ecc22da1a736f04380832733210bb5ff10a18478719cb	"pr-source-hardening,PR,Puerto Rico,I03,0,L,0,M,confidence_only,""Keep zero but raise confidence: official-source searches and reviewed PRITS/Senate/PR.gov materials found AI circulars and bills but no operational AI regulatory sandbox, regulatory sandbox, or ca"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-ED17ABFB9F71E2BC	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/south-asian-language-latest.jsonl	2	sha256:24413959f84d659d3364d8fbb9eee758870171b38f2e4b4bbf1c0eac1f5d2b1a	"{""access_method"": ""direct"", ""already_in_main_dataset"": false, ""category"": ""multilingual-official-source"", ""content_hash"": null, ""content_type"": null, ""dates_found"": [], ""domain"": ""aiweek.pakistan.gov.pk"", ""error"": ""URLError(OSError(101, 'Network is unreachable"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-ED2DE9BD5911B6B3	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_SUMMARY.md	162	sha256:4f3a00454753d4c209d96d05f56c0e65910b682352275704b3a62673c36d4b3c	- FJ (Fiji): AI law / implementation: Fiji Government search found AI speeches, an AI chatbot launch, and digital partnership items, but no public AI law or AI Act implementation source. This is a negative public-source finding, not a legal conclusion.; AI sta	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-ED305EBA6FFDD6D3	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	236	sha256:8c3e26918e1740e422b574187276668a40e7929138aa8f3d3e018286cf04aa8c	pallas-readiness-sprint-1,CN,China,I07,Data Security Law of the People's Republic of China,National People's Congress / Gov.cn,https://www.gov.cn/xinwen/2021-06/11/content_5616919.htm,2026-05-30,statute,National data-security governance baseline relevant to AI	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-ED3A31A680641082	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv	481	sha256:87839054e4616ffe0304811045f6bc6cb16bc40773d35c987e30258036997b66	MK,North Macedonia,I05,Open Data Portal of the Republic of North Macedonia: Transparency Innovation and Digital Democracy,Ministry of Digital Transformation,https://mdt.gov.mk/en-GB/klucni-aktivnosti/otvoreni-podatoci,2026-05-30,official ministry page,general	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-ED423594A041871A	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv	231	sha256:22ef4b2483023c952a948486a928ff97645309258f2b9c0ce4fa829041fdcd09	"SO,Somalia,I05,Somali National AI Center about page,Somali National AI Center,https://snaic.gov.so/about/,2026-05-31,official_ai_center,negative_search_context,M,""AI-specific official site was checked for transparency-register evidence. No public algorithm reg"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-ED484FCB0ECBD15E	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv	1486	sha256:32a45c1947643b1e8ff94c6d2a37519c5f01b8e5af6da24828a9a45c6c7d7fd3	ALL-CA-AI-REG-0071,CA-AI-REG,Government of Canada AI Register,Canada,2526-HICC-LICC-002,Bridge Anomaly Detection Project,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production_or_in_use,yes,official Can	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-ED6371554223ECA9	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/governance-monitor-ai-policy-tracker-tracker__1__ai-policy-tracker-tracker.vercel.app__direct_public_fetch__3478436777e0b0bb.html	1054	sha256:bdef4f0d344ade80baca538b3ac55eec1c9a4dbafb42befd2d610d06287ba946	"{n:""Public Law Project — TAG Register"",o:""Public Law Project (UK)"",c:""think"",cl:""Think Tank"",s:""UK government deployments"",st2:[""intl""],f:""Public ADM register"",u:""https://trackautomatedgovernment.shinyapps.io/register/"",cd:""Periodic"",d:""Public register of iden"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-ED6D0C37819B72BD	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1273	sha256:2eae0123df171433166b30679e17782095b5e57d8c2ad9003b3a4fe0b0b23db8	10,AF,Afghanistan,I08,,1,M,1,M,,true,,MCIT tender/procurement/regulation pages support general procurement publication; no AI procurement governance found.,,,,,,,,af-source-hardening,none	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-ED6EEF101368EBB4	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_SOURCE_PACK.csv	19	sha256:c2c88b41349e6ad5473c332e701eda46d5396af7f350b60d036ae751bcfe9c5e	AF,Afghanistan,I08,Procurement,Ministry of Communications and Information Technology (MCIT),https://mcit.gov.af/en/procurement,2026-05-30,official procurement page,positive/adjacent evidence,M,MCIT maintains procurement page and completed project list; no AI-s	needs direct source, source-pack resolution, or translation-aware review before example promotion
