signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-0314ACC3BF4F15B4	reject_noise	derived_internal_artifact	internal manuscript/config/log/script artifact, not a direct source surface	none from this row	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/revoked-tsp-date-scope-mode-dry-run-release-summary-20260520T193607Z.json
LIMEN-SIGNAL-03150D40747197F1	negative_evidence_candidate	negative_or_gap_signal	row records bounded absence, gap, or search-negative evidence rather than a direct source surface	absence/gap only; non-exhaustive	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-031D102DA222CF5F	needs_named_source_extraction	proxy_or_wrapper_row	wrapper/index row points toward source material but does not yet expose a named reviewable surface	may support source discovery only	extract a named underlying source surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/russian-language-history.jsonl
LIMEN-SIGNAL-032936B3F643920B	needs_named_source_extraction	proxy_or_wrapper_row	wrapper/index row points toward source material but does not yet expose a named reviewable surface	may support source discovery only	extract a named underlying source surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/patent-wipo-query-history.jsonl
LIMEN-SIGNAL-032A90FB93D47061	negative_evidence_candidate	negative_or_gap_signal	row records bounded absence, gap, or search-negative evidence rather than a direct source surface	absence/gap only; non-exhaustive	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-032B84D431537380	needs_named_source_extraction	proxy_or_wrapper_row	wrapper/index row points toward source material but does not yet expose a named reviewable surface	may support source discovery only	extract a named underlying source surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/russian-language-history.jsonl
LIMEN-SIGNAL-033923CABB59D380	source_reviewed_candidate	named_direct_source_surface	names the AVID vulnerability database as a concrete direct source surface	source-surface existence/relevance only	open bounded source review packet	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-050/crosswalk-delta.tsv
LIMEN-SIGNAL-033AE30EBBD13934	negative_evidence_candidate	negative_or_gap_signal	row records bounded absence, gap, or search-negative evidence rather than a direct source surface	absence/gap only; non-exhaustive	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv
LIMEN-SIGNAL-0345D139F22BC57E	merge_existing_surface	already_modeled_surface	duplicate of an already-modeled Levelpath vendor surface in local atlas data	dedupe only; vendor-surface existence already captured locally	merge with existing local surface record	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-301-active-lanes-40-papua-new-guinea-ai-adoption-framework/facts.jsonl
LIMEN-SIGNAL-035655A924ECB5D9	reject_noise	derived_internal_artifact	internal manuscript/config/log/script artifact, not a direct source surface	none from this row	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/boost/atlas-boost-105/current-hash-carrythrough.json
