queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00313	LIMEN-SIGNAL-18669A5FD051E791	country_gap_no_parent_source		Iceland research-queue placeholder	OBSERVABILITY_RESEARCH_QUEUE.csv:21	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00314	LIMEN-SIGNAL-1868E2CEE3028F5B	source_url_extracted	https://www.bahamas.com/pressroom/bahamas-ministry-of-tourism-investments--aviation-leaps-into-the-future-with-ai-powered-chat-feature-on-bahamascom	Bahamas.com AI-powered chat feature / Bahamas Ministry of Tourism assistant	v02-coverage-gap-sprint.manifest.json:3676-3692; global-agent-atlas-v0.1.csv:462; global-agent-atlas-source-documents-v0.1.csv:532	Manifest row names Bahamas tourism assistant; local Gaia ledger/source document preserves official Bahamas.com URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	route extracted URL to bounded direct-source posture review only
BPSE-00315	LIMEN-SIGNAL-187151304AEB726F	source_url_extracted	https://www.nic.gov.in/project/nicci-chatbot/	NICCI Chatbot / NIC Chat Interface	v02-gap-sprint.json:2463-2479; global-agent-atlas-v0.1.csv:338; global-agent-atlas-source-documents-v0.1.csv:807	Gap-sprint row names NICCI; local Gaia ledger/source document preserves NIC official project URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	route extracted URL to bounded direct-source posture review only
BPSE-00316	LIMEN-SIGNAL-18E70C43A996DE5A	country_gap_no_parent_source		Jordan research-queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:37	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00317	LIMEN-SIGNAL-190A79C7060745B8	country_gap_no_parent_source		India research-queue placeholder	OBSERVABILITY_RESEARCH_QUEUE.csv:8	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00318	LIMEN-SIGNAL-1943645DDDAB5080	country_gap_no_parent_source		Algeria research-queue placeholder	OBSERVABILITY_RESEARCH_QUEUE.csv:42	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00319	LIMEN-SIGNAL-1946F6DA3DF2FA1C	country_gap_no_parent_source		Tunisia research-queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:79	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00320	LIMEN-SIGNAL-19538CA267D3243D	country_gap_no_parent_source		France country profile placeholder	pallas_atlas_countries.json:2449-2476	Country profile summary aggregates gap flags and does not isolate one parent URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00321	LIMEN-SIGNAL-19BB707A78552A20	country_gap_no_parent_source		Zimbabwe country profile placeholder	OBSERVABILITY_COUNTRY_PROFILES.md:2248-2255	Country profile lists score/gap summary and source-name examples only; no parent URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00322	LIMEN-SIGNAL-19C6A4C047C34B0D	country_gap_no_parent_source		Timor-Leste country profile placeholder	OBSERVABILITY_COUNTRY_PROFILES.md:2005-2012	Country profile lists score/gap summary and source-name examples only; no parent URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00323	LIMEN-SIGNAL-19CB8565CE1D33B8	country_gap_no_parent_source		Gabon research-queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:55	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00324	LIMEN-SIGNAL-19D2EB543E850AD5	country_gap_no_parent_source		Madagascar research-queue placeholder	OBSERVABILITY_RESEARCH_QUEUE.csv:63	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00325	LIMEN-SIGNAL-1A5092A07573927F	source_url_extracted	https://cbi.iq/news/view/2871	Central Bank of Iraq Information Technology and Payments Department / Regulatory Sandbox	PALLAS_SECOND_PASS_SPRINT_10_CANDIDATE_MATRIX_DELTA.csv:64; PALLAS_SECOND_PASS_SPRINT_10_SOURCE_REFRESH.csv:137	Candidate matrix row names CBI sandbox; local source-refresh pack preserves official CBI URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	route extracted URL to bounded direct-source posture review only
BPSE-00326	LIMEN-SIGNAL-1A5438492121F673	country_gap_no_parent_source		Christmas Island research-queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:91	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00327	LIMEN-SIGNAL-1A5731FF8A61CA2F	country_gap_no_parent_source		American Samoa research-queue placeholder	OBSERVABILITY_RESEARCH_QUEUE.csv:86	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00328	LIMEN-SIGNAL-1A9D9BAC4E1B6EA1	country_gap_no_parent_source		Jersey research-queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:10	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00329	LIMEN-SIGNAL-1ACA7F75A5E80F16	country_gap_no_parent_source		Dominica research-queue placeholder	OBSERVABILITY_RESEARCH_QUEUE.csv:33	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00330	LIMEN-SIGNAL-1AF2D6BC8E25A25E	source_url_extracted	https://www.et.gr/api/DownloadFeksApi/?fek_pdf=20220100146	Greece Law 4961/2022 Article 7 official gazette	PALLAS_SECOND_PASS_SPRINT_14_CANDIDATE_MATRIX_DELTA.csv:59; PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv:152	Candidate matrix row names Official Gazette Article 7; local source-refresh pack preserves et.gr official gazette URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	route extracted URL to bounded direct-source posture review only
BPSE-00331	LIMEN-SIGNAL-1AFBF68F05BFFECA	source_url_extracted	https://www.prepared911.com/	Prepared / Axon 911 assistive AI emergency-response platform	v02-gap-sprint.json:2361-2377; global-agent-atlas-v0.1.csv:173; global-agent-atlas-source-documents-v0.1.csv:854	Gap-sprint row names Prepared/Axon; local Gaia ledger/source document preserves Prepared homepage URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	route extracted URL to bounded direct-source posture review only
BPSE-00332	LIMEN-SIGNAL-1B063DABCFC50914	source_url_extracted	https://www.gov.uk/algorithmic-transparency-records/maritime-and-coastguard-agency-themis	Maritime and Coastguard Agency Themis Search Planning Tool	v02-coverage-gap-sprint.manifest.json:3242-3257; global-agent-atlas-v0.1.csv:269; global-agent-atlas-source-documents-v0.1.csv:661	Manifest row names Themis; local Gaia ledger/source document preserves GOV.UK ATR URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	route extracted URL to bounded direct-source posture review only
BPSE-00333	LIMEN-SIGNAL-1BC2DDE710A2CBD9	parent_source_wrapper		lane-09 country local legislation comparison manifest	lane-09-country-local-legislation-comparison.manifest.json:1-36	Lane manifest contains broad queries and output paths, not a selected parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	human choose one parent source from wrapper/source bundle before direct-source review
BPSE-00334	LIMEN-SIGNAL-1BCA80FDBE7089CE	parent_source_wrapper		Mozambique I03 sandbox source bundle	PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv:128; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:427-428	Matrix row is supported by multiple local source-refresh parents (INTIC AI sandbox support and Bank of Mozambique sandbox); human must choose source.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	human choose one parent source from wrapper/source bundle before direct-source review
BPSE-00335	LIMEN-SIGNAL-1BD19FDD4041B7FB	country_gap_no_parent_source		Tunisia research-queue placeholder	OBSERVABILITY_RESEARCH_QUEUE.csv:79	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
BPSE-00336	LIMEN-SIGNAL-1BFD462CED88E6A5	country_gap_no_parent_source		Cape Verde research-queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:50	Country research-queue row lists search themes only; no parent source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	do not promote; retain as gap/profile placeholder unless a concrete source URL is separately harvested
