source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://doi.org/10.1007/978-3-031-98406-8_11	3	LIMEN-SIGNAL-3529C7A72CE24D86; LIMEN-SIGNAL-CFE6A50802B037D4; LIMEN-SIGNAL-EC012EAE097CDB9F	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/978-3-031-98406-8_11	doi.org	regulatory sandbox	Local row is a wrapper, summary, or proxy and does not yet expose a named reviewable source surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1007/978-3-031-99613-9_1	2	LIMEN-SIGNAL-4A680AE05B0ACB78; LIMEN-SIGNAL-BD633A21F2CD2E02	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/978-3-031-99613-9_1	doi.org	regulatory sandbox	Scholarly/index row points toward sandbox discussion but is not a direct source surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1007/978-3-032-02762-7_18	2	LIMEN-SIGNAL-CBFA4C871CB437BE; LIMEN-SIGNAL-DA4097559146B73F	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/978-3-032-02762-7_18	doi.org	regulatory sandbox	index/proxy row points toward sources but does not name a reviewable direct surface	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1007/978-3-032-12795-2_4	1	LIMEN-SIGNAL-E29300A1F2D2A608	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/978-3-032-12795-2_4	doi.org	automated decision	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1007/978-3-319-31816-5_3701-1	1	LIMEN-SIGNAL-EA43796BB1266777	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/978-3-319-31816-5_3701-1	doi.org	algorithm register	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1007/978-3-658-50660-5	2	LIMEN-SIGNAL-4041D0CE8FDC9073; LIMEN-SIGNAL-FB090687DE14D905	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/978-3-658-50660-5	doi.org	regulatory sandbox	Book/chapter index record; underlying direct source is not named.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1007/978-3-662-70201-7_6	2	LIMEN-SIGNAL-00D76F0F450789D2; LIMEN-SIGNAL-D99138C840F6FD3D	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/978-3-662-70201-7_6	doi.org	regulatory sandbox	wrapper or adjacent artifact points toward a source family without exposing one named reviewable surface	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1007/978-981-97-0597-9_1	2	LIMEN-SIGNAL-E00D1447FBF6796D; LIMEN-SIGNAL-E861C2AB3A9982F7	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/978-981-97-0597-9_1	doi.org	algorithm register	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1007/978-981-99-4637-2_13-1	2	LIMEN-SIGNAL-A2384E56745209EC; LIMEN-SIGNAL-EC82AB903330B565	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/978-981-99-4637-2_13-1	doi.org	regulatory sandbox	Scholarly/index wrapper points toward sources but no named direct surface is exposed.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1007/b110877	2	LIMEN-SIGNAL-EB74CF8520A4CAE2; LIMEN-SIGNAL-EF17BFD5E2E3E098	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/b110877	doi.org	regulatory sandbox	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1007/s43681-024-00595-3	2	LIMEN-SIGNAL-DAE98719D0786C3A; LIMEN-SIGNAL-DF70775592A439B7	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/s43681-024-00595-3	doi.org	regulatory sandbox	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1007/s44163-022-00018-4	2	LIMEN-SIGNAL-683BEEFBE0C0DCC7; LIMEN-SIGNAL-E18EC1520D7C9912	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1007/s44163-022-00018-4	doi.org	regulatory sandbox; algorithm register	Local row points toward one or more underlying sources but does not isolate a single reviewable direct surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1016/j.cose.2025.104707	2	LIMEN-SIGNAL-EC9F5EA8DF34D746; LIMEN-SIGNAL-EF212BD39023FAD4	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1016/j.cose.2025.104707	doi.org	algorithm register	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1016/j.ijinfomgt.2017.12.005	1	LIMEN-SIGNAL-D4A1090DDDBFDB0F	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1016/j.ijinfomgt.2017.12.005	doi.org	public sector AI	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1016/j.indmarman.2019.09.009	1	LIMEN-SIGNAL-5C4190077272F71A	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1016/j.indmarman.2019.09.009	doi.org	regulatory sandbox	Local metadata is a scholarly/index record rather than a named direct source surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1016/j.inffus.2019.12.012	1	LIMEN-SIGNAL-EA625A740E060EFA	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1016/j.inffus.2019.12.012	doi.org	public sector AI	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
