signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-307375CD402C2EE7	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/global-south-brazil-latest.jsonl	13	sha256:943ef41663ecaaeb8ae4c077c399c93fb0ed6b2dfa07bd1ef5822d10c961dbab	"{""already_in_main_dataset"": false, ""authors"": [""Ming Yuan""], ""category"": ""scholarly-index-result"", ""container_title"": ""Proceedings of the 2025 International Conference on Educational Technology and Artificial Intelligence"", ""corpus_version"": ""v0.2-working"", ""d"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-307457CCFE01FCB6	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_COUNTRY_SCORE_DELTA.csv	119	sha256:43686c3608bd08f7ea70892e4b6f912b77f88fd207f793e33f4e7a095cd4c1d5	RO,I08,1,M,1,M,ANAP/SEAP general procurement infrastructure exists; AI procurement guidance appears planned in strategy not found operational.,TRUE,ro-source-hardening	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-30751214469457DD	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/facts.jsonl	15	sha256:21b5f36b79eb5aafc93bccadd70ae71c03a5374deb49112855d24b9d0c8e2c52	"{""agent_id"": ""helsinki-ihh-chatbot-into"", ""claim"": ""Helsinki's AI register describes International House Helsinki's Into as a 24/7 chatbot for official-service information and settlement advice for people who moved to the capital region from abroad."", ""collisi"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-30814B6EBB2150D7	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	817	sha256:cf741ca97a6291a5dc8c453db9ee03667f15c557cbf4ada67d0d1ed4522b2199	"8,GT,Guatemala,I03,,0,L,0,M,,true,,""Keep score but raise confidence slightly. Initiative 6514 has sandbox-adjacent language on flexible frameworks/experimentation, but no named operational AI/regulatory sandbox was found in checked official sources."",,,,gt-sou"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3082BBE9F474C4D7	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-before-successor-candidate-update-20260519T170658Z.md	105	sha256:07167069a22a7607529236e39d3546301585abc8c6176cd5eee1ec56751bd633	The latest local evidence-density diagnostic adds a second guardrail: source families differ not only in count, but in the kind of evidence their records carry. The current processed Retraction Watch, arXiv, and EUTL rows are complete for the schema fields che	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3082C6D31BBBC474	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-sample-records-v0.2.preview.csv	7	sha256:15715c732db42113510191c76670a65f3201032fce833e7e9cf2f488a7e80ecf	"FI-HEL-AI-SAMPLE-3,FI-HEL-AI,City of Helsinki AI Register,""Helsinki, Finland"",Finland,English/Finnish/Swedish site; sample from English listing,https://ai.hel.fi/en/ai-register/,2026-06-05,Parking chatbot,City of Helsinki,yes,partial,partial,partial,no,unknown"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-30830029DC000CE4	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/netherlands-authority-aliases-v0.2.csv	10	sha256:838a22aceca9eaa9bba639ce174fc74c22bddfc3c95578d9caad2a7fef09f2be	nl-alias-006-en,nl-reg-owner-municipality-amsterdam,register_owner_alias,NLD,alg-nld-37686130;alg-nld-21579514;alg-nld-67349731;nl-authver-005,Municipality/City of Amsterdam / Gemeente Amsterdam,Municipality of Amsterdam,municipality of amsterdam,English regis	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3085782A91CC4204	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-count-path-consistency-audit-20260520T184705Z.json	114	sha256:9d959cc9deef192ea039f22f17e88194f5c0f85201d39edd3671d552e20be273	retraction-watch: 13500,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3087402D73DA5771	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-count-consistency-20260519T174226Z.md	79	sha256:b02f323c19d3ab53df2b740e836e0efe92b098cb2eeb6a43f32ca20df4aa6e1e	The third function is to preserve the weak-title-marker boundary. The diagnostic records that many fallback titles contain retraction or withdrawal markers, while a smaller number have no such marker in the unified title. These markers are useful for sanity-ch	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-308A11110FA9E957	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html	1194	sha256:fba88204598403be3e65ab65727116ee911e0b59095b269d5e4661c7663e3888	"<p><a class=""btn btn-primary"" href=""/firms/innovation/regulatory-sandbox/apply"" data-entity-type=""node"" data-entity-uuid=""6d998309-910f-458b-aa63-0480cfb834b1"" data-entity-substitution=""canonical"" title=""Apply to the Regulatory Sandbox"">How to Apply</a></p><di"	needs direct source, source-pack resolution, or translation-aware review before example promotion
