signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-052505D7F0F0C3BA	needs_named_source_extraction	wrapper_or_proxy_row	Local row points toward a source or source family but does not expose one named reviewable source surface.	source-pointer only until a named local source surface is extracted; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-05253A002ADC90C5	merge_existing_surface	canonical_nested_register_surface	Amsterdam municipal row is already modelled as nested coverage inside the Dutch national Algorithm Register; dedupe.	source-surface posture only for the canonical register; no separate Amsterdam-surface claim	dedupe to canonical Dutch-register surface	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-015/normalized-long-export-pilot-v0.1.csv
LIMEN-SIGNAL-052599DBF6B3EA92	merge_existing_surface	canonical_local_register_surface	Wrapper note already points to the City of Helsinki AI Register, which is already modelled locally; dedupe.	source-surface posture only for the canonical Helsinki register; no broader Finland claim	dedupe to canonical Helsinki register surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GRAND_PROGRAM_RESULTS.md
LIMEN-SIGNAL-052A225FC7F2ECD1	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z
LIMEN-SIGNAL-052A652041559416	needs_named_source_extraction	wrapper_or_proxy_row	Local row points toward a source or source family but does not expose one named reviewable source surface.	source-pointer only until a named local source surface is extracted; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-052EB0447DCEB574	negative_evidence_candidate	bounded_negative_or_gap_row	Local row records bounded negative, weak-source, or evidence-limit findings rather than a promotable direct source surface.	bounded negative evidence from cited local checks only; not proof of absence, completeness, or prevalence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-0532B55E23257AF2	source_reviewed_candidate	official_sandbox_surface	Local source pack names the UK FCA Regulatory Sandbox as a concrete official sandbox surface.	source-surface existence/posture only; no claims about outcomes, legality, safety, or prevalence	queue bounded source-surface review	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/boost/atlas-boost-109/source-ledger-row-pack.json
LIMEN-SIGNAL-0534B306F9AE4730	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html
LIMEN-SIGNAL-0543639A0911B528	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/global-south-kenya-latest.md
LIMEN-SIGNAL-0550E3F3FA589582	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-count-consistency-20260519T174226Z.md
LIMEN-SIGNAL-05536CC764AB7E0E	merge_existing_surface	canonical_local_register_surface	City of Helsinki AI Register is already modelled locally as a canonical active register surface; dedupe.	source-surface posture only for the canonical Helsinki register; no broader Finland claim	dedupe to canonical Helsinki register surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050159Z/tables/registry-gap-map-v0.2.preview.csv
LIMEN-SIGNAL-05593F6C01C7D5F7	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/analysis/claim-support/claim-support-v0.2.jsonl
LIMEN-SIGNAL-05630B9415658982	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/patent-power-latest.jsonl
LIMEN-SIGNAL-056A879CE07B8ADA	needs_named_source_extraction	wrapper_or_proxy_row	Local row points toward a source or source family but does not expose one named reviewable source surface.	source-pointer only until a named local source surface is extracted; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-056CACB13D60D47C	source_reviewed_candidate	official_data_portal_surface	Portal de Datos Abiertos de Guatemala is a concrete official portal surface named in local metadata.	source-surface existence/posture only; no algorithm-register, legality, safety, or prevalence claim	queue bounded source-surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_SOURCE_REFRESH.csv
LIMEN-SIGNAL-056F8658421F1DCD	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-route-tune-20260605T043422Z
LIMEN-SIGNAL-0572BB6638157203	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/sites/gaia-agent-atlas/public/data/facts.json
LIMEN-SIGNAL-05752830150D840C	negative_evidence_candidate	bounded_negative_or_gap_row	Local row records bounded negative, weak-source, or evidence-limit findings rather than a promotable direct source surface.	bounded negative evidence from cited local checks only; not proof of absence, completeness, or prevalence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-057CDC4513552C2F	needs_named_source_extraction	wrapper_or_proxy_row	Local row points toward a source or source family but does not expose one named reviewable source surface.	source-pointer only until a named local source surface is extracted; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-057E9B44C7855E97	needs_named_source_extraction	wrapper_or_proxy_row	Local row points toward a source or source family but does not expose one named reviewable source surface.	source-pointer only until a named local source surface is extracted; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-0588A184B6BD7B35	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192817Z/claim-support-digest.csv
LIMEN-SIGNAL-05906D32B131F06B	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-297-active-lanes-40-nepal-saathi-bank-ai-chatbot/facts.jsonl
LIMEN-SIGNAL-0594E423B17CD0F9	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-111-20260603T051321/source_documents.jsonl
LIMEN-SIGNAL-05957506CB75CB08	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/verification/verification-priority-queue-v0.2.jsonl
LIMEN-SIGNAL-0598D6302263B713	negative_evidence_candidate	bounded_negative_or_gap_row	Local row records bounded negative, weak-source, or evidence-limit findings rather than a promotable direct source surface.	bounded negative evidence from cited local checks only; not proof of absence, completeness, or prevalence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-059B4FEB9D530DF1	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-count-consistency-20260519T174226Z.md
LIMEN-SIGNAL-05A1F3DB11C8C183	negative_evidence_candidate	bounded_negative_or_gap_row	Local row records bounded negative, weak-source, or evidence-limit findings rather than a promotable direct source surface.	bounded negative evidence from cited local checks only; not proof of absence, completeness, or prevalence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-05A5040C57091E15	needs_named_source_extraction	wrapper_or_proxy_row	Local row points toward a source or source family but does not expose one named reviewable source surface.	source-pointer only until a named local source surface is extracted; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-05A8DCBD573850FB	needs_named_source_extraction	wrapper_or_proxy_row	Local row points toward a source or source family but does not expose one named reviewable source surface.	source-pointer only until a named local source surface is extracted; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-05ABBDC577CC5ACC	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z
LIMEN-SIGNAL-05AD5FCD1F6C7510	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/evidence-package/evidence-package-semantic-links-v0.2.jsonl
LIMEN-SIGNAL-05AE09A21304E053	negative_evidence_candidate	bounded_negative_or_gap_row	Local row records bounded negative, weak-source, or evidence-limit findings rather than a promotable direct source surface.	bounded negative evidence from cited local checks only; not proof of absence, completeness, or prevalence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-05B4DF8F3D1E7870	needs_named_source_extraction	wrapper_or_proxy_row	Local row points toward a source or source family but does not expose one named reviewable source surface.	source-pointer only until a named local source surface is extracted; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-05B86193DD53231B	source_reviewed_candidate	official_sandbox_surface	MNB Regulatory Sandbox is a named official Magyar Nemzeti Bank sandbox surface in local metadata.	source-surface existence/posture only; no AI-specificity, outcomes, legality, safety, or prevalence claim	queue bounded source-surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv
LIMEN-SIGNAL-05BA345195825F64	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/analysis/claim-support/claim-support-v0.2.csv
LIMEN-SIGNAL-05BAD6758DAB2DDB	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/projects/public-ai-procurement-gap/drafts/article-c-software-method-draft.md
LIMEN-SIGNAL-05BF2EB756BE613F	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/systematic-literature-screening-20260608.csv
LIMEN-SIGNAL-05C69EED2386D4A7	negative_evidence_candidate	bounded_negative_or_gap_row	Local row records bounded negative, weak-source, or evidence-limit findings rather than a promotable direct source surface.	bounded negative evidence from cited local checks only; not proof of absence, completeness, or prevalence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-05C6B0FD1E793CA5	needs_named_source_extraction	wrapper_or_proxy_row	Local row points toward a source or source family but does not expose one named reviewable source surface.	source-pointer only until a named local source surface is extracted; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-05C78EEC8577351F	negative_evidence_candidate	bounded_negative_or_gap_row	Local row records bounded negative, weak-source, or evidence-limit findings rather than a promotable direct source surface.	bounded negative evidence from cited local checks only; not proof of absence, completeness, or prevalence	retain as bounded negative evidence	/srv/tyche/projects/limen-ai-edge-case-atlas/results/paper-snapshot-20260607/exports/public-link-source-check-notes.tsv
LIMEN-SIGNAL-05CBB844159A2E51	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/global-south-kenya-records.jsonl
LIMEN-SIGNAL-05CE6912B4CB16C7	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-refresh-semantic-links-v0.2.jsonl
LIMEN-SIGNAL-05CF3A2C70E456E5	reject_noise	internal_or_derived_artifact	Internal draft, config, script, claim-support, or derived artifact; not a direct-source surface for this queue.	internal/derived artifact only; no direct-source claim ceiling	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_analysis_claim_support_refresh.py
LIMEN-SIGNAL-05CFB067180D6362	negative_evidence_candidate	bounded_negative_or_gap_row	Local row records bounded negative, weak-source, or evidence-limit findings rather than a promotable direct source surface.	bounded negative evidence from cited local checks only; not proof of absence, completeness, or prevalence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-05D12652B41758BC	needs_named_source_extraction	wrapper_or_proxy_row	Local row points toward a source or source family but does not expose one named reviewable source surface.	source-pointer only until a named local source surface is extracted; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-05D3682B30CFD461	negative_evidence_candidate	bounded_negative_or_gap_row	Local row records bounded negative, weak-source, or evidence-limit findings rather than a promotable direct source surface.	bounded negative evidence from cited local checks only; not proof of absence, completeness, or prevalence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-05D663E04F18910E	merge_existing_surface	canonical_local_register_surface	Helsinki AI Register sample row points to an already modelled canonical register surface; dedupe.	source-surface posture only for the canonical Helsinki register; no sample-level promotion	dedupe to canonical Helsinki register surface	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-015/normalized-long-export-pilot-v0.1.csv
LIMEN-SIGNAL-05D69DA7F5472DC7	merge_existing_surface	canonical_local_register_surface	Helsinki AI Register sample record points to an already modelled canonical register surface; dedupe.	source-surface posture only for the canonical Helsinki register; no sample-level promotion	dedupe to canonical Helsinki register surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-sample-records-v0.2.csv
