signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-D5948F42171F673D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	168	sha256:d79b9b4a9270c760ee78c6a88abd384da78cea3ebc4d2a39d8f9e94d2912fea7	"ALL-NL-ALG-REG-0167,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-26541424,""SSA (Static, Stable and Acute)"",https://algoritmes.overheid.nl/en/algoritme/26541424,In use,deployed_or_production_or_in_use,yes,official Dutch Algorithm Reg"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D670CE04B819CDD4	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	2378	sha256:c375371fc5512d4f31ac71a34a9b7f6885d01a63b2f0764ab6c7ae9c3e5692ea	pallas-readiness-sprint-3,MQ,Martinique,I05,Le socle interministériel de logiciels libres,code.gouv.fr,https://code.gouv.fr/sill/,2026-05-30,official digital-government portal,Weak transparency/open-government proxy for public-sector software practice,L,Not an	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D6E950759AAA6EAD	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1480	sha256:c6f58a47b5a5f9f173538cf3cbaef777649c9169a249c2e41ebb36ccefb8dfe5	"11,LV,Latvia,I05,,0,L,0,M,,true,,""Targeted data.gov.lv API searches for algorithm/algoritm/mākslīgais intelekts did not find a dedicated algorithm register. This is improved negative evidence but not proof of nationwide absence, so score remains 0 with no-over"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D744B958B40677CD	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	171	sha256:a2f73d882f5c9687a725414ef466bc3656875fa3c63b22e10219f27b1a282f19	ALL-NL-ALG-REG-0170,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-82123374,Care module (part of Ritax LIJ),https://algoritmes.overheid.nl/en/algoritme/82123374,In use,deployed_or_production_or_in_use,yes,official Dutch Algorithm Regi	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D8257003DFE79E2C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1650	sha256:d05e3f4f11839fbe7d2cbf296b2ba7e54f4d50e8a118140bd3fb06a62bf24b7d	"12,GE,Georgia,I05,,0,L,0,L,,true,,""DGA product page, data.gov.ge access attempt, and exact public-query checks did not verify a public algorithm register. Negative evidence remains weak because portal access failed and search noise is high."",,,,,,,,ge-source-h"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D98C390B49D05306	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	10939	sha256:1de3f2064fc77f786bd58f9a044f9ca32a9d06c7bf87d1c24838072161ad6d75	"label: ""Public-sector AI procurement governance"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D9E6ACA1716DAB4E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	2697	sha256:1c321a33bd0aad8862cb11d60cd81e8bbc17fc3e8c0d13c1a09974c490c8b2fe	pallas-readiness-sprint-3,VG,British Virgin Islands,I05,Search results for public register on Government of the Virgin Islands,Government of the Virgin Islands,https://bvi.gov.vg/search/node/public%20register,2026-05-30,official site search,No public algorithm	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DA9B0ABB99C52ACD	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	2340	sha256:dfa8e9709b1759982a89ce8e0805882ecd65c8d640f538e51ecf8d8bdade70e4	16,RO,Romania,I05,,0,L,0,M,,true,,No public algorithm register found; data.gov.ro AI/algorithm keyword checks were negative and strategy catalog/register items are planned.,,,,,,,,ro-source-hardening,confidence_only	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DAE35FD0A49E4415	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1569	sha256:5d2b7096d151a3a2644f3f9af0deca7f8aa471b6df3b75cbdca32afca817e751	ALL-CA-AI-REG-0154,CA-AI-REG,Government of Canada AI Register,Canada,2526-TC-007,AI Document Process Automation (ADA),https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production_or_in_use,yes,official Canada	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DB386E3C29C55E01	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1533	sha256:a011ea48bfea4e3f87e9e216711f0eceac9be4e540438d9f817d73457d9fbecc	ALL-CA-AI-REG-0118,CA-AI-REG,Government of Canada AI Register,Canada,2526-PSC-CFP-002,Copilot,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production_or_in_use,yes,official Canada AI Register CSV row wit	needs direct source, source-pack resolution, or translation-aware review before example promotion
