queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BTPS-00065	LIMEN-SIGNAL-3595B8B32429F236	source_url_extracted	https://algoritmes.overheid.nl/en	Dutch Government Algorithm Register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/dutch-belgian-language-records.jsonl:39 (seed_url)	Explicit public algorithm register URL in local JSONL metadata for Netherlands; bounded to parent-source surface.	source-surface existence only; do not rely on machine-translated descriptions	extract parent source; use Dutch originals for case-level review
BTPS-00066	LIMEN-SIGNAL-36ED6E1A6B55032C	source_url_extracted	https://www.etda.or.th/th/pr-news/AI_Gov_Anual.aspx	ETDA Generative AI Governance Guideline for Organizations	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-records.jsonl:173 (seed_url)	Explicit guidance URL in local JSONL metadata for Thailand; bounded to parent-source surface.	official source-surface existence and title only; no guidance-effect claim	extract canonical source metadata; require Thai review for substance
BTPS-00067	LIMEN-SIGNAL-381AD7CE9B22CB42	source_url_extracted	https://www.etda.or.th/th/Our-Service/AIGC/index.aspx	ETDA AI Governance Center	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl:155 (source_url)	Explicit governance clinic URL in local JSONL metadata for Thailand; bounded to parent-source surface.	official source-surface existence and title only; no service capability claim	extract canonical source metadata; require Thai review for any substantive use
BTPS-00068	LIMEN-SIGNAL-38E770BF92BC29FF	source_url_extracted	https://www.garanteprivacy.it/temi/intelligenza-artificiale	Garante Privacy: AI - Intelligenza artificiale	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southern-europe-language-records.jsonl:87 (seed_url)	Explicit regulator guidance URL in local JSONL metadata for Italy; bounded to parent-source surface.	official regulator source-surface existence only; no legal finding	use as canonical Garante parent source; merge duplicate BTR-00453
BTPS-00069	LIMEN-SIGNAL-3AF32C3F384D3BEB	source_url_extracted	https://www.data.gouv.fr/datasets/liste-des-administrateurs-ministeriels-des-donnees-des-algorithmes-et-des-codes-sources	Liste des administrateurs ministériels des données des algorithmes et des codes sources — Direction interministérielle du numérique	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv:87 (CSV url column)	Explicit source URL in local PALLAS source-refresh CSV; bounded to parent-source surface.	official dataset surface only; no comprehensive-register claim	extract dataset source with explicit non-register caveat
BTPS-00070	LIMEN-SIGNAL-3B5325B455236BBE	source_url_extracted	https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/observatorio-inteligencia-artificial	Observatorio de Inteligencia Artificial — Agesic	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_9_SOURCE_REFRESH.csv:320 (CSV url column)	Explicit source URL in local PALLAS source-refresh CSV; bounded to parent-source surface.	official observatory surface only; no comprehensive algorithm-register claim	extract parent source with observatory-not-register caveat
BTPS-00071	LIMEN-SIGNAL-3B8CF9633B8DF8E7	source_url_extracted	https://www.kratid.ee/algoritm-ulevaade	Kratid: algoritmide ja tehisintellekti kasutuse ülevaade	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/estonian-baltic-language-latest.jsonl:2 (seed_url)	Explicit public-algorithm-register-source URL in local JSONL metadata for Estonia; bounded to parent-source surface.	source-surface existence only; no completeness or deployment claim	extract parent source; require Estonian review for scope and entries
BTPS-00072	LIMEN-SIGNAL-46C55F06752C20D0	source_url_extracted	https://static.au.int/en/document/44004-doc-en-continentalaistrategyjuly2024pdf	African Union Continental AI Strategy PDF	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-history.jsonl:43 (source_url)	Explicit continental AI strategy URL in local JSONL metadata for African Union; bounded to parent-source surface.	parent source surface only; no incident, compliance, or implementation finding	Extract parent source metadata and keep for source-context hardening only
BTPS-00073	LIMEN-SIGNAL-4B274D0A5B22433C	source_url_extracted	https://au.int/en/node/44004	African Union Continental Artificial Intelligence Strategy	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-history.jsonl:218 (source_url)	Explicit continental AI strategy URL in local JSONL metadata for African Union; bounded to parent-source surface.	parent source/container surface only; no implementation or legal finding	Extract parent page/PDF relationship and keep as source-context hardening
BTPS-00074	LIMEN-SIGNAL-572981C28B73AF47	source_url_extracted	https://static.au.int/en/document/44004-doc-en-continentalaistrategyjuly2024pdf	African Union Continental AI Strategy PDF	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/african-multilingual-language-latest.jsonl:2 (seed_url)	Explicit continental AI strategy URL in local JSONL metadata for African Union; bounded to parent-source surface.	parent-source policy/strategy context only; no implementation or compliance claim	Extract parent source metadata and any explicit governance vocabulary with provenance.
BTPS-00075	LIMEN-SIGNAL-59247E65B0CB7820	source_url_extracted	https://fmcide.gov.ng/initiative/nais/	Nigeria National Artificial Intelligence Strategy	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-latest.jsonl:4 (source_url)	Explicit government AI policy URL in local JSONL metadata for Nigeria; bounded to parent-source surface.	parent-source strategy context only; no implementation or compliance claim	Extract parent source metadata and explicit strategy vocabulary with provenance.
BTPS-00076	LIMEN-SIGNAL-5ACEDD275B70ADC4	source_url_extracted	https://www.etalab.gouv.fr/algorithmes-publics	Etalab public algorithms support programme	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/sandboxes-cases-latest.jsonl:14 (seed_url)	Explicit algorithm-register-source URL in local JSONL metadata for France; bounded to parent-source surface.	official source surface and comparator vocabulary only; no case-level finding	consider parent-source extraction for public-sector AI transparency vocabulary
BTPS-00077	LIMEN-SIGNAL-5DF189C3F5ACECAF	source_url_extracted	https://www.datatilsynet.dk/regler-og-vejledning/kunstig-intelligens	Datatilsynet: Kunstig intelligens og databeskyttelse	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/nordic-language-latest.jsonl:1 (seed_url)	Explicit regulatory-sandbox-source URL in local JSONL metadata for Denmark; bounded to parent-source surface.	regulator guidance and sandbox-context surface only; no case-level claim	consider parent-source extraction for sandbox comparator vocabulary
BTPS-00078	LIMEN-SIGNAL-5EFCABF10D4E4FA0	source_url_extracted	https://www.gov.br/anpd/pt-br/assuntos/projetos-acoes-iniciativas/sandbox/por-que-inteligencia-artificial	ANPD sandbox regulatório: Por que Inteligência Artificial?	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/local-hermes/PCEE241002/data/lanes/spanish-portuguese-language-records.jsonl:1 (seed_url)	Explicit regulatory-sandbox-source URL in local JSONL metadata for Brazil; bounded to parent-source surface.	official sandbox source surface only; no safety/legal/compliance finding	consider parent-source extraction for sandbox structure and vocabulary
BTPS-00079	LIMEN-SIGNAL-5F9FF78395D533B4	source_url_extracted	https://algoritmes.overheid.nl/en	Dutch Government Algorithm Register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/dutch-belgian-language-history.jsonl:34 (source_url)	Explicit public algorithm register URL in local JSONL metadata for Netherlands; bounded to parent-source surface.	official register surface only; no individual algorithm claim or ranking	extract register as parent source; review individual entries separately
BTPS-00080	LIMEN-SIGNAL-6245FD2F896A6CFC	source_url_extracted	https://www.gov.br/anpd/pt-br/assuntos/projetos-acoes-iniciativas/sandbox/por-que-inteligencia-artificial	ANPD sandbox regulatório: Por que Inteligência Artificial?	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/spanish-portuguese-language-latest.jsonl:1 (source_url)	Explicit regulatory-sandbox-source URL in local JSONL metadata for Brazil; bounded to parent-source surface.	Official Portuguese sandbox source-surface and scope statement only; no substantive compliance or case finding.	Extract parent source surface with Portuguese-aware title, URL, and bounded scope quote.
