bridge_row_id	source_id	source_name	local_object_type	local_object_id	local_object_count	local_example_case_id	local_example_title	mit_domain_id	mit_domain_label	mit_primary_anchor_id	mit_primary_anchor_label	mit_secondary_anchor_ids	mapping_confidence	mapping_basis	provenance_artifacts	claim_ceiling	paper_use	dashboard_hook	next_smallest_move	access_date
MITAIR-BRIDGE-001	mit_ai_risk_repo	MIT AI Risk Repository	limen_category	security_risk	11	LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	MITAIR-D02	2.0 Privacy & Security	MITAIR-S2-2	2.2 AI system security vulnerabilities and attacks	MITAIR-S7-2	high	Current LIMEN security rows are dominated by CVE/advisory cases about exploitable AI-system weaknesses, and the imported workbook slice defines MITAIR-S2-2 in directly compatible vulnerability-and-attack terms. MITAIR-S7-2 remains secondary for cases where dangerous-capability language matters, but the first shared bridge row should stay anchored on concrete system-vulnerability semantics rather than on broader capability rhetoric.	results/crosswalks/mit-ai-risk-domain-taxonomy-workbook-slice-v0.1.tsv:MITAIR-D02,MITAIR-S2-2 ; results/crosswalks/mit-ai-risk-visible-vs-workbook-audit-v0.1.tsv ; data/cases/security-agentic-candidates.jsonl	Concept-layer taxonomy bridge only; not an event-level external join, incident-truth claim, or blanket workbook-mirroring permission.	Methods appendix, taxonomy heatmap caption, security/comparator interoperability note, and thesis claim-support map for bounded external risk-taxonomy alignment.	Category-to-risk heatmap row for security_risk with local_count, primary_anchor, secondary_anchor, and claim_ceiling fields.	If another MIT AI Risk cycle opens, either add a second bridge row with equally explicit provenance (agentic_control_failure is the clearest next candidate) or import one second bounded workbook/resource slice without widening into incident-style exactness.	2026-06-08
MITAIR-BRIDGE-002	mit_ai_risk_repo	MIT AI Risk Repository	limen_category	agentic_control_failure	11	LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	MITAIR-D07	7.0 AI system safety, failures, & limitations	MITAIR-S7-6	7.6 Multi-agent risks	MITAIR-S5-2|MITAIR-S7-1	medium	Current LIMEN agentic-control rows are dominated by delegated-action, autonomy-loss, or cascading multi-agent control failures rather than by clean single-actor misuse stories. The imported workbook slice defines MITAIR-S7-6 in terms of multi-agent incentives, conflict, cascading failure, and trust breakdown, which is the closest shared concept for the present local category. MITAIR-S5-2 and MITAIR-S7-1 remain secondary anchors where loss of human agency or goal-conflict language is more visible than multi-agent structure.	results/crosswalks/mit-ai-risk-domain-taxonomy-workbook-slice-v0.1.tsv:MITAIR-D07,MITAIR-S7-6,MITAIR-S5-2,MITAIR-S7-1 ; results/boost/limen-boost-038/mit-ai-risk-core-category-bridge.tsv:LIMEN-038-MIT-002 ; data/cases/security-agentic-candidates.jsonl	Concept-layer taxonomy bridge only; not an event-level external join, incident-truth claim, or blanket workbook-mirroring permission.	Methods appendix, taxonomy heatmap caption, agentic/autonomy failure interoperability note, and thesis claim-support map for bounded external control-failure alignment.	Category-to-risk heatmap row for agentic_control_failure with local_count, primary_anchor, secondary_anchors, and claim_ceiling fields.	If another MIT AI Risk cycle opens, test whether a narrower delegated-action or autonomy-loss sub-cluster deserves its own split before forcing broader agentic-control rows into one-hot equivalence.	2026-06-08
MITAIR-BRIDGE-003	mit_ai_risk_repo	MIT AI Risk Repository	limen_category	public_sector_misuse_or_gap	8	LIMEN-000009	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language	MITAIR-D06	6.0 Socioeconomic & Environmental	MITAIR-S6-5	6.5 Governance failure	MITAIR-S5-2|MITAIR-S7-4	medium	Current LIMEN public-sector misuse/gap rows are dominated by governance, disclosure, procurement, and oversight ambiguity rather than one uniform harm mechanism. The imported workbook slice defines MITAIR-S6-5 in terms of governance frameworks failing to keep pace with AI deployment, which is the closest shared concept for public-authority opacity, pilot-stage caution, and institutional visibility gaps in the present local category. MITAIR-S5-2 and MITAIR-S7-4 remain secondary anchors where loss of human agency or transparency/interpretability language is more visible than governance-process failure.	results/crosswalks/mit-ai-risk-domain-taxonomy-workbook-slice-v0.1.tsv:MITAIR-D06,MITAIR-S6-5,MITAIR-S5-2,MITAIR-S7-4 ; results/boost/limen-boost-038/mit-ai-risk-core-category-bridge.tsv:LIMEN-038-MIT-003 ; data/cases/authoritative-candidates.jsonl	Concept-layer taxonomy bridge only; not an event-level external join, incident-truth claim, or blanket workbook-mirroring permission.	Methods appendix, taxonomy heatmap caption, public-sector governance interoperability note, and thesis claim-support map for bounded oversight-gap alignment.	Category-to-risk heatmap row for public_sector_misuse_or_gap with local_count, primary_anchor, secondary_anchors, and claim_ceiling fields.	If another MIT AI Risk cycle opens, prefer either a fourth bridge row backed by equally explicit provenance (for example surveillance_biometrics_or_policing or ai_washing_or_false_ai_claim) or a second bounded workbook/resource slice, rather than restating the current three-row concept bridge.	2026-06-08
MITAIR-BRIDGE-004	mit_ai_risk_repo	MIT AI Risk Repository	limen_category	ai_washing_or_false_ai_claim	6	LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	MITAIR-D03	3.0 Misinformation	MITAIR-S3-1	3.1 False or misleading information	MITAIR-S6-5|MITAIR-S4-2	high	Current LIMEN ai-washing or false-AI-claim rows are dominated by misleading capability, accuracy, or human-equivalence representations made about AI systems rather than by one uniform downstream harm type. The imported workbook slice defines MITAIR-S3-1 in directly compatible false-or-misleading-information terms, which is the clearest shared concept for deceptive AI-lawyer, AI-detector, and AI-capability marketing claims in the present local category. MITAIR-S6-5 and MITAIR-S4-2 remain secondary anchors where governance failure or fraud/manipulation posture is also visible in the source package.	results/crosswalks/mit-ai-risk-domain-taxonomy-workbook-slice-v0.1.tsv:MITAIR-D03,MITAIR-S3-1,MITAIR-S6-5,MITAIR-S4-2 ; results/boost/limen-boost-038/mit-ai-risk-core-category-bridge.tsv:LIMEN-038-MIT-007 ; data/cases/authoritative-candidates.jsonl	Concept-layer taxonomy bridge only; not an event-level external join, incident-truth claim, or blanket workbook-mirroring permission.	Methods appendix, taxonomy heatmap caption, AI-washing / deceptive-capability interoperability note, and thesis claim-support map for bounded external misinformation alignment.	Category-to-risk heatmap row for ai_washing_or_false_ai_claim with local_count, primary_anchor, secondary_anchors, and claim_ceiling fields.	If another MIT AI Risk cycle opens, prefer either a fifth bridge row backed by equally explicit provenance (for example deepfake_or_synthetic_identity or surveillance_biometrics_or_policing) or a second bounded workbook/resource slice, rather than restating the current four-row concept bridge.	2026-06-08
MITAIR-BRIDGE-005	mit_ai_risk_repo	MIT AI Risk Repository	limen_category	education_workplace_or_hr	6	LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	MITAIR-D01	1.0 Discrimination & Toxicity	MITAIR-S1-1	1.1 Unfair discrimination and misrepresentation	MITAIR-S6-2	high	Current LIMEN education/workplace/HR rows are dominated by hiring, school, and workplace cases involving unequal treatment or representation harms rather than one uniform automation mechanism. The imported workbook slice defines MITAIR-S1-1 in directly compatible unfair-discrimination-and-misrepresentation terms, which is the strongest shared concept for the present local category. MITAIR-S6-2 remains a secondary anchor where deterioration in job quality or employment conditions is more visible than formal unequal-treatment language.	results/crosswalks/mit-ai-risk-domain-taxonomy-workbook-slice-v0.1.tsv:MITAIR-D01,MITAIR-S1-1,MITAIR-S6-2 ; results/boost/limen-boost-038/mit-ai-risk-core-category-bridge.tsv:LIMEN-038-MIT-005 ; data/cases/authoritative-candidates.jsonl	Concept-layer taxonomy bridge only; not an event-level external join, incident-truth claim, or blanket workbook-mirroring permission.	Methods appendix, taxonomy heatmap caption, education/workplace fairness interoperability note, and thesis claim-support map for bounded external discrimination alignment.	Category-to-risk heatmap row for education_workplace_or_hr with local_count, primary_anchor, secondary_anchors, and claim_ceiling fields.	If another MIT AI Risk cycle opens, prefer either a sixth bridge row backed by equally explicit provenance (for example normative_or_moral_outlier or surveillance_biometrics_or_policing) or a second bounded workbook/resource slice, rather than restating the current five-row concept bridge.	2026-06-08
MITAIR-BRIDGE-006	mit_ai_risk_repo	MIT AI Risk Repository	limen_category	normative_or_moral_outlier	5	LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	MITAIR-D06	6.0 Socioeconomic & Environmental	MITAIR-S6-5	6.5 Governance failure	MITAIR-S7-4	medium	Current LIMEN normative-or-moral-outlier rows are dominated by governance anomalies, institutional value conflict, and ethically awkward public interventions rather than one uniform injury mechanism. The imported workbook slice defines MITAIR-S6-5 in terms of oversight and governance frameworks failing to keep pace with AI development, which is the strongest shared concept for this category's institutional-control and norm-friction posture. MITAIR-S7-4 remains a secondary anchor where opacity or explainability failure is more visible than governance breakdown.	results/crosswalks/mit-ai-risk-domain-taxonomy-workbook-slice-v0.1.tsv:MITAIR-D06,MITAIR-S6-5,MITAIR-S7-4 ; results/boost/limen-boost-038/mit-ai-risk-core-category-bridge.tsv:LIMEN-038-MIT-004 ; data/cases/authoritative-candidates.jsonl ; data/cases/multilingual-candidates.jsonl	Concept-layer taxonomy bridge only; not an event-level external join, incident-truth claim, or blanket workbook-mirroring permission.	Methods appendix, taxonomy heatmap caption, normative-anomaly interoperability note, and thesis claim-support map for bounded governance-anomaly alignment.	Category-to-risk heatmap row for normative_or_moral_outlier with local_count, primary_anchor, secondary_anchors, and claim_ceiling fields.	If another MIT AI Risk cycle opens, prefer either a seventh bridge row backed by equally explicit provenance (for example surveillance_biometrics_or_policing or unlawful_or_allegedly_unlawful_use) or a second bounded workbook/resource slice, rather than restating the current six-row concept bridge.	2026-06-08
MITAIR-BRIDGE-007	mit_ai_risk_repo	MIT AI Risk Repository	limen_category	deepfake_or_synthetic_identity	3	LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	MITAIR-D03	3.0 Misinformation	MITAIR-S3-1	3.1 False or misleading information	MITAIR-S4-2|MITAIR-S4-1	medium	Current LIMEN deepfake/synthetic-identity rows are dominated by deceptive synthetic voice or image events, impersonation posture, and provenance confusion rather than one uniform fraud or privacy mechanism. The imported workbook slice defines MITAIR-S3-1 in directly compatible false-or-misleading-information terms, which is the strongest shared concept for synthetic-voice robocall deception and adjacent misleading synthetic-content rows in the present category. MITAIR-S4-2 and MITAIR-S4-1 remain secondary anchors where targeted manipulation, fraud, or influence-at-scale language is more visible than generic misinformation framing.	results/crosswalks/mit-ai-risk-domain-taxonomy-workbook-slice-v0.1.tsv:MITAIR-D03,MITAIR-S3-1,MITAIR-S4-2,MITAIR-S4-1 ; results/boost/limen-aiid-oecd-avid-crosswalk/mit-ai-risk-seventh-bridge-audit-2026-06-08T14-08-24Z.tsv ; results/boost/limen-boost-038/mit-ai-risk-core-category-bridge.tsv:LIMEN-038-MIT-012 ; data/cases/authoritative-candidates.jsonl	Concept-layer taxonomy bridge only; not an event-level external join, incident-truth claim, or blanket workbook-mirroring permission.	Methods appendix, taxonomy heatmap caption, synthetic-content interoperability note, and thesis claim-support map for bounded external misinformation alignment.	Category-to-risk heatmap row for deepfake_or_synthetic_identity with local_count, primary_anchor, secondary_anchors, and claim_ceiling fields.	If another MIT AI Risk cycle opens, prefer either an eighth bridge row backed by equally explicit provenance (for example surveillance_biometrics_or_policing or unlawful_or_allegedly_unlawful_use) or a second bounded workbook/resource slice, rather than restating the current seven-row concept bridge.	2026-06-08
MITAIR-BRIDGE-008	mit_ai_risk_repo	MIT AI Risk Repository	limen_category	surveillance_biometrics_or_policing	4	LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	MITAIR-D02	2.0 Privacy & Security	MITAIR-S2-1	2.1 Compromise of privacy by obtaining, leaking or correctly inferring sensitive information	MITAIR-S4-1|MITAIR-S1-1	medium	Current LIMEN surveillance/biometrics/policing rows are dominated by biometric processing, monitoring, and official surveillance concerns where privacy compromise is directly visible even when discrimination or influence-at-scale themes remain secondary. The imported workbook slice defines MITAIR-S2-1 in directly compatible privacy-compromise terms, which is the clearest shared concept for the present local category. MITAIR-S4-1 and MITAIR-S1-1 remain secondary anchors where malicious surveillance or unequal-treatment language is more visible than privacy compromise alone.	results/crosswalks/mit-ai-risk-domain-taxonomy-workbook-slice-v0.1.tsv:MITAIR-D02,MITAIR-S2-1,MITAIR-S4-1,MITAIR-S1-1 ; results/boost/limen-boost-038/mit-ai-risk-core-category-bridge.tsv:LIMEN-038-MIT-008 ; data/cases/authoritative-candidates.jsonl	Concept-layer taxonomy bridge only; not an event-level external join, incident-truth claim, or blanket workbook-mirroring permission.	Methods appendix, taxonomy heatmap caption, surveillance/biometrics interoperability note, and thesis claim-support map for bounded external privacy-and-surveillance alignment.	Category-to-risk heatmap row for surveillance_biometrics_or_policing with local_count, primary_anchor, secondary_anchors, and claim_ceiling fields.	If another MIT AI Risk cycle opens, prefer either a ninth bridge row backed by equally explicit provenance (for example unlawful_or_allegedly_unlawful_use or institutional_absurdity) or a second bounded workbook/resource slice, rather than restating the current eight-row concept bridge.	2026-06-08
MITAIR-BRIDGE-009	mit_ai_risk_repo	MIT AI Risk Repository	limen_category	institutional_absurdity	3	LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	MITAIR-D06	6.0 Socioeconomic & Environmental	MITAIR-S6-5	6.5 Governance failure	MITAIR-S5-2|MITAIR-S7-4	medium	Current LIMEN institutional-absurdity rows are dominated by process-breaking or institutionally strange public episodes where governance failure is more visible than any one narrow injury mechanism. The imported workbook slice defines MITAIR-S6-5 in directly compatible governance-failure terms, which is the strongest shared concept for the present local category without forcing the LIMEN-specific absurdity signal into a false event-level equivalence. MITAIR-S5-2 and MITAIR-S7-4 remain secondary anchors where institutional process breakdown, oversight weakness, or human-review gaps are more visible than governance-failure wording alone.	results/crosswalks/mit-ai-risk-domain-taxonomy-workbook-slice-v0.1.tsv:MITAIR-D06,MITAIR-S6-5,MITAIR-S5-2,MITAIR-S7-4 ; results/boost/limen-continuous-experiments/mit-ai-risk-ninth-bridge-row-audit-2026-06-08T14:50:41Z.tsv ; results/boost/limen-boost-038/mit-ai-risk-core-category-bridge.tsv:LIMEN-038-MIT-009 ; data/cases/multilingual-candidates.jsonl	Concept-layer taxonomy bridge only; not an event-level external join, incident-truth claim, or blanket workbook-mirroring permission.	Methods appendix, taxonomy heatmap caption, institutional-absurdity interoperability note, and thesis claim-support map for bounded external governance-failure alignment.	Category-to-risk heatmap row for institutional_absurdity with local_count, primary_anchor, secondary_anchors, and claim_ceiling fields.	If another MIT AI Risk cycle opens, prefer either a tenth bridge row backed by equally explicit provenance (for example legal_procedural_contamination or finance_insurance_or_market) or a second bounded workbook/resource slice, rather than restating the current nine-row concept bridge.	2026-06-08
MITAIR-BRIDGE-010	mit_ai_risk_repo	MIT AI Risk Repository	limen_category	finance_insurance_or_market	2	LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	MITAIR-D04	4.0 Malicious actors	MITAIR-S4-3	4.3 Fraud, scams, and targeted manipulation	MITAIR-S6-5|MITAIR-S3-1	medium	Current LIMEN finance/insurance/market rows are dominated by market-facing or investor-facing AI representations where AI is used to gain financial advantage through misleading product, adviser, or capability claims rather than through one uniform technical failure mode. The imported workbook slice defines MITAIR-S4-3 in directly compatible fraud/scams/targeted-manipulation terms, which is the strongest shared concept for the present local category because the seeded SEC rows center on misleading AI statements to clients and market participants in pursuit of investment or commercial advantage. MITAIR-S6-5 remains a secondary anchor where governance and supervisory failure language is more visible than manipulation posture, and MITAIR-S3-1 remains secondary where false-or-misleading-information framing is clearer than market-role framing alone.	results/crosswalks/mit-ai-risk-domain-taxonomy-workbook-slice-v0.1.tsv:MITAIR-D04,MITAIR-S4-3,MITAIR-S6-5,MITAIR-S3-1 ; results/crosswalks/mit-ai-risk-visible-vs-workbook-audit-v0.1.tsv ; data/cases/authoritative-candidates.jsonl	Concept-layer taxonomy bridge only; not an event-level external join, incident-truth claim, or blanket workbook-mirroring permission.	Methods appendix, taxonomy heatmap caption, finance/market harms interoperability note, and thesis claim-support map for bounded external fraud/manipulation alignment.	Category-to-risk heatmap row for finance_insurance_or_market with local_count, primary_anchor, secondary_anchors, and claim_ceiling fields.	If another MIT AI Risk cycle opens, prefer either an eleventh bridge row backed by equally explicit provenance (for example legal_procedural_contamination or unlawful_or_allegedly_unlawful_use) or a second bounded workbook/resource slice, rather than restating the current ten-row concept bridge.	2026-06-08
