signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-10948A7D1875A32C	reject_noise	internal_or_derived_artifact	Local row comes from derived, manuscript, scholarly-index, or internal artifact material in claim-support-v0.2.jsonl, not a direct-source surface.	derived or internal artifact only	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-v0.2.jsonl
LIMEN-SIGNAL-1099E302DA874FD8	negative_evidence_candidate	negative_or_evidence_limit_row	Local row is a bounded negative-evidence result in PALLAS_READINESS_SPRINT_1_WEAK_SOURCE_WARNINGS.md, not a positive direct-source surface.	bounded negative or evidence-limit finding only	retain as bounded negative-evidence support if needed	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-109B3537EDD2D0E6	source_reviewed_candidate	official_source_surface	Local metadata names a concrete official source surface: Dutch Algorithm Register entry for Delft Matchplaats.	existence of a named direct source surface only	queue bounded source-surface review	/srv/tyche/gaia/tyche-research-vault/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-facts-v0.1.csv
LIMEN-SIGNAL-109C35AB7EC738FF	negative_evidence_candidate	negative_or_evidence_limit_row	Local row is a bounded negative-evidence result in PALLAS_SECOND_PASS_SPRINT_8_COUNTRY_SCORE_DELTA.csv, not a positive direct-source surface.	bounded negative or evidence-limit finding only	retain as bounded negative-evidence support if needed	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-109DA932A80FD109	needs_named_source_extraction	source_pack_or_wrapper_row	Local metadata in PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-10A358F1E28FB0E7	needs_named_source_extraction	source_pack_or_wrapper_row	Local metadata in facts.jsonl points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-303-active-lanes-38-png-framework-source-hardening/facts.jsonl
LIMEN-SIGNAL-10A593848196B080	source_reviewed_candidate	official_source_surface	Local metadata names a concrete official source surface: Etalab public algorithms support programme.	existence of a named direct source surface only	queue bounded source-surface review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl
LIMEN-SIGNAL-10A825F02C95C017	needs_named_source_extraction	source_pack_or_wrapper_row	Local metadata in v02-coverage-gap-sprint.manifest.json points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json
LIMEN-SIGNAL-10AA11E4EADEB4C6	negative_evidence_candidate	negative_or_evidence_limit_row	Local row records an evidence-limit or retrieval failure rather than a reviewable named source surface in arabic-language-history.jsonl.	bounded negative or evidence-limit finding only	retain as bounded negative-evidence support if needed	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/arabic-language-history.jsonl
LIMEN-SIGNAL-10B063929D376B95	needs_named_source_extraction	source_pack_or_wrapper_row	Local metadata in project-paper-lab-matrix-v0.1.csv points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/analysis/programme/project-paper-lab-matrix-v0.1.csv
LIMEN-SIGNAL-10B67E3E32F53D93	reject_noise	internal_or_derived_artifact	Local row comes from derived, manuscript, scholarly-index, or internal artifact material in codebook-v0.2.3.md, not a direct-source surface.	derived or internal artifact only	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/codebook-v0.2.3.md
LIMEN-SIGNAL-10B9AB236A4869C3	needs_named_source_extraction	source_pack_or_wrapper_row	Local metadata in PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-10BA1489E517E266	reject_noise	internal_or_derived_artifact	Local row comes from derived, manuscript, scholarly-index, or internal artifact material in journal-targeting-matrix-2026-05-21.md, not a direct-source surface.	derived or internal artifact only	drop from the direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/journal-targeting-matrix-2026-05-21.md
LIMEN-SIGNAL-10BE9979A50FE6F3	reject_noise	internal_or_derived_artifact	Local row comes from derived, manuscript, scholarly-index, or internal artifact material in source-review-input.tsv, not a direct-source surface.	derived or internal artifact only	drop from the direct-source queue	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260614T0830Z/source-review-input.tsv
LIMEN-SIGNAL-10BF6EA4CBE045EE	negative_evidence_candidate	negative_or_evidence_limit_row	Local row preserves a gap/negative-evidence finding from PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv rather than a direct source surface.	bounded negative or evidence-limit finding only	retain as bounded negative-evidence support if needed	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-10C32D09067618A6	reject_noise	internal_or_derived_artifact	Local row comes from derived, manuscript, scholarly-index, or internal artifact material in hermes-v02-expansion-seeds.json.bak-international-20260603T133212Z, not a direct-source surface.	derived or internal artifact only	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-international-20260603T133212Z
LIMEN-SIGNAL-10C9B6DE77A36611	translation_review_needed	translation_sensitive_official_surface	Local metadata names a plausible direct source surface, but review is translation-sensitive: Digdir guidance page Anskaffelse av generativ KI.	existence of a named source surface only; translation-sensitive	queue translation-aware source-surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-10C9E94E23F2B8DB	needs_named_source_extraction	source_pack_or_wrapper_row	Local metadata in pallas_atlas_countries.json points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-10D69DEA87BAC3B3	translation_review_needed	translation_sensitive_official_surface	Local metadata names a plausible direct source surface, but review is translation-sensitive: PCM guidance page on obligaciones específicas en IA.	existence of a named source surface only; translation-sensitive	queue translation-aware source-surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_15_SOURCE_REFRESH.csv
LIMEN-SIGNAL-10DCDB2044AC256A	negative_evidence_candidate	negative_or_evidence_limit_row	Local row is a bounded negative-evidence result in PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv, not a positive direct-source surface.	bounded negative or evidence-limit finding only	retain as bounded negative-evidence support if needed	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
