metric_id	metric_label	value	unit	interpretation	artifact	boundary
RCT-001	materialized_review_candidates	55725	candidate_rows	clean mined signals materialized as review candidates	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/all-signals-review-candidates.tsv	not reviewed-core examples
RCT-002	first_pass_reviewed_candidates	55725	candidate_rows	all materialized review candidates have a deterministic first-pass verdict	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/full-first-pass-review.tsv	first-pass review is triage only; it is not reviewed-core promotion, incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, or ranking
RCT-003	direct_source_review_queue	13918	candidate_rows	rows requiring direct-source, source-pack, or translation-aware review before example promotion	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/direct-source-review-queue.tsv	queue only; not promotion
RCT-004	source_review_batches_completed	239	batches	Hermes/Codex source-review batches completed from the direct-source queue	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260618T132100Z-lane02-19a87176	local metadata and local source files only unless batch states otherwise
RCT-005	source_review_rows_completed	24880	candidate_rows	candidate rows with source-review batch verdicts	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260618T132100Z-lane02-19a87176	source-surface review; not incident truth, legality, compliance, safety, prevalence, or rank
RCT-FP-hold_low_relevance	first_pass_hold_low_relevance	1773	candidate_rows	first-pass review verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/full-first-pass-review.tsv	first-pass review is triage only; it is not reviewed-core promotion, incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, or ranking
RCT-FP-hold_needs_direct_source	first_pass_hold_needs_direct_source	5761	candidate_rows	first-pass review verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/full-first-pass-review.tsv	first-pass review is triage only; it is not reviewed-core promotion, incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, or ranking
RCT-FP-hold_needs_human_translation	first_pass_hold_needs_human_translation	554	candidate_rows	first-pass review verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/full-first-pass-review.tsv	first-pass review is triage only; it is not reviewed-core promotion, incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, or ranking
RCT-FP-merge_with_existing_surface	first_pass_merge_with_existing_surface	21572	candidate_rows	first-pass review verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/full-first-pass-review.tsv	first-pass review is triage only; it is not reviewed-core promotion, incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, or ranking
RCT-FP-promote_to_source_review	first_pass_promote_to_source_review	7603	candidate_rows	first-pass review verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/full-first-pass-review.tsv	first-pass review is triage only; it is not reviewed-core promotion, incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, or ranking
RCT-FP-reject_as_cross_project_noise	first_pass_reject_as_cross_project_noise	18462	candidate_rows	first-pass review verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/full-first-pass-review.tsv	first-pass review is triage only; it is not reviewed-core promotion, incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, or ranking
RCT-SR-merge_existing_surface	source_review_merge_existing_surface	3932	candidate_rows	source-review batch verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260618T132100Z-lane02-19a87176	batch verdict; not reviewed-core promotion unless separately hardened
RCT-SR-needs_named_source_extraction	source_review_needs_named_source_extraction	6846	candidate_rows	source-review batch verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260618T132100Z-lane02-19a87176	batch verdict; not reviewed-core promotion unless separately hardened
RCT-SR-negative_evidence_candidate	source_review_negative_evidence_candidate	5074	candidate_rows	source-review batch verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260618T132100Z-lane02-19a87176	batch verdict; not reviewed-core promotion unless separately hardened
RCT-SR-reject_noise	source_review_reject_noise	6535	candidate_rows	source-review batch verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260618T132100Z-lane02-19a87176	batch verdict; not reviewed-core promotion unless separately hardened
RCT-SR-source_reviewed_candidate	source_review_source_reviewed_candidate	1646	candidate_rows	source-review batch verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260618T132100Z-lane02-19a87176	batch verdict; not reviewed-core promotion unless separately hardened
RCT-SR-translation_review_needed	source_review_translation_review_needed	847	candidate_rows	source-review batch verdict count	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260618T132100Z-lane02-19a87176	batch verdict; not reviewed-core promotion unless separately hardened
