source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://iso.org/committee/6794475.html	1	LIMEN-SIGNAL-EED5F83FAFC5E7B7	bulk_named_source_autoresolve	iso.org	https://www.iso.org/committee/6794475.html	iso.org	regulatory sandbox	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://itu.int	1	LIMEN-SIGNAL-FAAC0B62A6587456	bulk_parent_source_extraction	itu.int	https://www.itu.int/	ITU digital development and regulator source	regulatory sandbox	Cocos I03 source-pack has a single weak ITU parent URL; delta says second pass did not verify sandbox evidence.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://jacarandahealth.org/prompts	1	LIMEN-SIGNAL-B7015007C3099628	bulk_named_source_autoresolve	jacarandahealth.org	https://jacarandahealth.org/prompts/	jacarandahealth.org	automated decision	Agent record describes TINA but does not expose the named direct government source page here.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://ktpae.gr/en/erga/expansion-of-gov-gr-wallet-digital-services-documents-and-authentication-services	1	LIMEN-SIGNAL-BC3F131A0D57613E	bulk_named_source_autoresolve	ktpae.gr	https://www.ktpae.gr/en/erga/expansion-of-gov-gr-wallet-digital-services-documents-and-authentication-services/	ktpae.gr	AI evidence	Local row is a source-pack/proxy/adjacent artifact; extract the named direct source surface first.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://kyberturvallisuuskeskus.fi/en/contact-us/e-services/report-information-security-incident	1	LIMEN-SIGNAL-E48DB4864624D402	bulk_named_source_autoresolve	kyberturvallisuuskeskus.fi	https://www.kyberturvallisuuskeskus.fi/en/contact-us/e-services/report-information-security-incident	kyberturvallisuuskeskus.fi	AI evidence	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://landsverk.fo/fo-fo/bygging/utbo%C3%B0	1	LIMEN-SIGNAL-CB0086807AEA1B06	bulk_translation_source_review	landsverk.fo	https://www.landsverk.fo/fo-fo/bygging/utbo%C3%B0	Landsverk - Útboð	AI procurement	Official Faroese tender page is a procurement surface only; no AI procurement governance is present in local row.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://laws.gov.vg/laws/financial-services-regulatory-sandbox-regulations-2020	1	LIMEN-SIGNAL-FE0B248A361533F0	bulk_parent_source_extraction	laws.gov.vg	https://laws.gov.vg/laws/financial-services-regulatory-sandbox-regulations-2020	Financial Services (Regulatory Sandbox) Regulations, 2020	regulatory sandbox	Local source refresh explicitly lists the 2020 regulatory sandbox regulations URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://lb.lt/en/regulatory-sandbox	1	LIMEN-SIGNAL-81DE41502E46D369	bulk_parent_source_extraction	lb.lt	https://www.lb.lt/en/regulatory-sandbox	Bank of Lithuania Regulatory Sandbox	regulatory sandbox	Source-refresh row explicitly records Bank of Lithuania regulatory sandbox URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://learn.microsoft.com/en-us/microsoft-365-copilot/extensibility/copilot-studio-agent-builder-build	2	LIMEN-SIGNAL-3B0DABC9CB933417; LIMEN-SIGNAL-F753A9A3D5A1D037	bulk_named_source_autoresolve	learn.microsoft.com	https://learn.microsoft.com/en-us/microsoft-365-copilot/extensibility/copilot-studio-agent-builder-build	learn.microsoft.com	C2PA	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://learn.microsoft.com/en-us/microsoft-365-copilot/extensibility/copilot-studio-agent-builder-build::Build	1	LIMEN-SIGNAL-168F2692E6103A2D	bulk_named_source_autoresolve	learn.microsoft.com	https://learn.microsoft.com/en-us/microsoft-365-copilot/extensibility/copilot-studio-agent-builder-build::Build	learn.microsoft.com	C2PA	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
