source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://cac.gov.cn/2023-07/13/c_1690898327029107.htm	2	LIMEN-SIGNAL-649A3920DDDCD6F9; LIMEN-SIGNAL-6D0434EAB532AC1D	bulk_translation_source_review	cac.gov.cn	https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm	Interim Measures for Generative AI Services	procurement AI	Official Chinese ministry-rule surface is named, but local metadata frames it only as partial governance/procurement context.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://caidp.org/reports/caidp-index-2025	1	LIMEN-SIGNAL-69481EE03C7C5D2E	bulk_named_source_autoresolve	caidp.org	https://www.caidp.org/reports/caidp-index-2025/	caidp.org	regulatory sandbox	OECD.AI observatory row is a wrapper surface pointing to underlying national sources.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/guide-scope-directive-automated-decision-making.html	2	LIMEN-SIGNAL-458EA4DA5EC3D53E; LIMEN-SIGNAL-CA894B72C7923B4F	bulk_named_source_autoresolve	canada.ca	https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/guide-scope-directive-automated-decision-making.html	canada.ca	automated decision	country legislation profile is interpretive metadata and does not expose a named direct source surface	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cas.go.jp/jp/seisaku/s-portal/regulatorysandbox.html	1	LIMEN-SIGNAL-E1A08388F58F3DD8	bulk_parent_source_extraction	cas.go.jp	https://www.cas.go.jp/jp/seisaku/s-portal/regulatorysandbox.html	Regulatory Sandbox system	regulatory sandbox	Exact JP I03 source-refresh ledger row provides the Cabinet Secretariat sandbox portal URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cbar.az/press-release-5492/central-bank-announces-new-application-period-for-regulatory-sandbox-regime?language=en	2	LIMEN-SIGNAL-EA9FACB757ED6506; LIMEN-SIGNAL-EE177A3E479D8923	bulk_parent_source_extraction	cbar.az	https://cbar.az/press-release-5492/central-bank-announces-new-application-period-for-regulatory-sandbox-regime?language=en	Central Bank announces new application period for regulatory sandbox regime	regulatory sandbox; AI procurement	Profile line names the Azerbaijan sandbox source; local country data provides its public URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cbi.iq/news/view/2871	2	LIMEN-SIGNAL-1A5092A07573927F; LIMEN-SIGNAL-1DC434CD04608CD7	bulk_parent_source_extraction	cbi.iq	https://cbi.iq/news/view/2871	Central Bank of Iraq Information Technology and Payments Department / Regulatory Sandbox	regulatory sandbox	Candidate matrix row names CBI sandbox; local source-refresh pack preserves official CBI URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cbn.gov.ng/Out/2021/CCD/Framework%20for%20Regulatory%20Sandbox%20Operations.pdf	2	LIMEN-SIGNAL-E6A6BB48F5E0F6F7; LIMEN-SIGNAL-F6CEA785541AAF6D	bulk_parent_source_extraction	cbn.gov.ng	https://www.cbn.gov.ng/Out/2021/CCD/Framework%20for%20Regulatory%20Sandbox%20Operations.pdf	Framework for Regulatory Sandbox Operations / Central Bank of Nigeria	regulatory sandbox	Confidence-change row names CBN sandbox PDF URL; source-refresh preserves the official PDF URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cbo.gov.om/Pages/RegulatorySandbox.aspx	1	LIMEN-SIGNAL-87E880952736E36F	bulk_parent_source_extraction	cbo.gov.om	https://cbo.gov.om/Pages/RegulatorySandbox.aspx	Fintech Regulatory Sandbox	regulatory sandbox	Local source-pack row gives CBO sandbox URL named by score-delta wrapper.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cbo.gov.om/fintech/RegulatorySandbox	1	LIMEN-SIGNAL-D685074286AED59E	bulk_parent_source_extraction	cbo.gov.om	https://cbo.gov.om/fintech/RegulatorySandbox	CBO Fintech Regulatory Sandbox	regulatory sandbox	Oman I03 row maps to om-source-hardening; source-refresh/local row names CBO public Fintech Regulatory Sandbox page.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cbs.gov.ws/news/cbs-approves-regulatory-sandbox-testing-of-pacwallex-and-ticktap-card-in-samoa	5	LIMEN-SIGNAL-07CA9AF38D7482B9; LIMEN-SIGNAL-57C5F791AE7FA9B5; LIMEN-SIGNAL-87A88F96F812D48F; LIMEN-SIGNAL-94281E942450313F; LIMEN-SIGNAL-D59A7CD8D270E054	bulk_parent_source_extraction	cbs.gov.ws	https://cbs.gov.ws/news/cbs-approves-regulatory-sandbox-testing-of-pacwallex-and-ticktap-card-in-samoa	CBS approves regulatory sandbox testing of PacWallex and TickTap Card	regulatory sandbox	Hardening summary names Samoa CBS sandbox source; local source-refresh row gives official CBS URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cbsl.gov.lk/en/node/19680	1	LIMEN-SIGNAL-F86FA3CE78B06147	bulk_parent_source_extraction	cbsl.gov.lk	https://www.cbsl.gov.lk/en/node/19680	CBSL FinTech Regulatory Sandbox page	regulatory sandbox	Country-score row names CBSL sandbox; local hardening ledger gives official CBSL URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://ccgp.gov.cn	1	LIMEN-SIGNAL-5F920C42229D2E2E	bulk_parent_source_extraction	ccgp.gov.cn	https://www.ccgp.gov.cn/	China Government Procurement Network	AI procurement	CN I08 queue row explicitly names China Government Procurement Network; local ledger gives exact URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://centralbank.cw	2	LIMEN-SIGNAL-CF8399C1542B69D8; LIMEN-SIGNAL-F200FF3B2B1A9F06	bulk_parent_source_extraction	centralbank.cw	https://www.centralbank.cw/	Central Bank of Curaçao and Sint Maarten website	regulatory sandbox	Local source pack names CBCS regulator endpoint; warning says it was blocked and needs manual browser review.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://centralbank.org.bb/financial-stability-and-financial-regulation/cbob-regulatory-sandbox	1	LIMEN-SIGNAL-F0D67F305B12F3C9	bulk_parent_source_extraction	centralbank.org.bb	https://www.centralbank.org.bb/financial-stability-and-financial-regulation/cbob-regulatory-sandbox	Regulatory Sandbox - CBB & FSC Regulatory Sandbox	regulatory sandbox	Barbados source-refresh row explicitly lists sandbox portal URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cert-in.org.in	1	LIMEN-SIGNAL-A0FF5303A033FD5E	bulk_named_source_autoresolve	cert-in.org.in	https://www.cert-in.org.in/	cert-in.org.in	regulatory sandbox	Index/record row may help trace sources but does not itself expose a direct reviewable surface.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cisa.gov/topics/information-communications-technology-supply-chain-security/sbom	1	LIMEN-SIGNAL-6BB61B9618F8B29D	bulk_named_source_autoresolve	cisa.gov	https://www.cisa.gov/topics/information-communications-technology-supply-chain-security/sbom	cisa.gov	C2PA	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
