source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://doi.org/10.5220/0009386002090216	closed_noncase_source_surface	https://doi.org/10.5220/0009386002090216	doi.org	doi.org	N/A - DOI/index source surface	none	source_surface_noncase; regulatory sandbox			Provided source surface is traceability/index material, not a concrete AI edge-case record.	Source-surface accounting only; no case-level claim.	No incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, or ranking claim.	DOI/scholarly index or proxy surface; metadata does not expose a concrete bounded AI edge-case event, finding, vulnerability, action, or official case record. Metadata note: Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row. Prior disposition: Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Close as noncase source surface; no promotion.
https://doi.org/10.5220/0009464507870795	closed_noncase_source_surface	https://doi.org/10.5220/0009464507870795	doi.org	doi.org	N/A - DOI/index source surface	none	source_surface_noncase; regulatory sandbox			Provided source surface is traceability/index material, not a concrete AI edge-case record.	Source-surface accounting only; no case-level claim.	No incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, or ranking claim.	DOI/scholarly index or proxy surface; metadata does not expose a concrete bounded AI edge-case event, finding, vulnerability, action, or official case record. Metadata note: Local metadata is a proxy/index/wrapper that points toward a source but does not expose a named reviewable surface here. Prior disposition: Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Close as noncase source surface; no promotion.
https://doi.org/10.5281/zenodo.18012025	closed_noncase_source_surface	https://doi.org/10.5281/zenodo.18012025	doi.org	doi.org	N/A - DOI/index source surface	none	source_surface_noncase; regulatory sandbox			Provided source surface is traceability/index material, not a concrete AI edge-case record.	Source-surface accounting only; no case-level claim.	No incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, or ranking claim.	DOI/scholarly index or proxy surface; metadata does not expose a concrete bounded AI edge-case event, finding, vulnerability, action, or official case record. Metadata note: Source-pack/index/profile row points toward a source but does not expose a named reviewable surface. Prior disposition: Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Close as noncase source surface; no promotion.
https://doi.org/10.5281/zenodo.18111792	closed_noncase_source_surface	https://doi.org/10.5281/zenodo.18111792	doi.org	doi.org	N/A - DOI/index source surface	none	source_surface_noncase; regulatory sandbox			Provided source surface is traceability/index material, not a concrete AI edge-case record.	Source-surface accounting only; no case-level claim.	No incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, or ranking claim.	DOI/scholarly index or proxy surface; metadata does not expose a concrete bounded AI edge-case event, finding, vulnerability, action, or official case record. Metadata note: claim-support row names AESIA sandbox guides but is not the guide surface itself Prior disposition: Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Close as noncase source surface; no promotion.
https://doi.org/10.5281/zenodo.18363704	closed_noncase_source_surface	https://doi.org/10.5281/zenodo.18363704	doi.org	doi.org	N/A - DOI/index source surface	none	source_surface_noncase; regulatory sandbox			Provided source surface is traceability/index material, not a concrete AI edge-case record.	Source-surface accounting only; no case-level claim.	No incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, or ranking claim.	DOI/scholarly index or proxy surface; metadata does not expose a concrete bounded AI edge-case event, finding, vulnerability, action, or official case record. Metadata note: Source-pack/index/profile row points toward a source but does not expose a named reviewable surface. Prior disposition: Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Close as noncase source surface; no promotion.
https://doi.org/10.5281/zenodo.20405511	closed_noncase_source_surface	https://doi.org/10.5281/zenodo.20405511	doi.org	doi.org	N/A - DOI/index source surface	none	source_surface_noncase; research integrity; retraction			Provided source surface is traceability/index material, not a concrete AI edge-case record.	Source-surface accounting only; no case-level claim.	No incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, or ranking claim.	DOI/scholarly index or proxy surface; metadata does not expose a concrete bounded AI edge-case event, finding, vulnerability, action, or official case record. Metadata note: Source-pack/index/profile row points toward a source but does not expose a named reviewable surface. Prior disposition: Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Close as noncase source surface; no promotion.
https://doi.org/10.5281/zenodo.20489506	closed_noncase_source_surface	https://doi.org/10.5281/zenodo.20489506	doi.org	doi.org	N/A - DOI/index source surface	none	source_surface_noncase; deepfake; AI register; regulatory sandbox; algorithm register; procurement AI; AI hiring; automated decision; prompt injection			Provided source surface is traceability/index material, not a concrete AI edge-case record.	Source-surface accounting only; no case-level claim.	No incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, or ranking claim.	DOI/scholarly index or proxy surface; metadata does not expose a concrete bounded AI edge-case event, finding, vulnerability, action, or official case record. Metadata note: Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row. Prior disposition: Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Close as noncase source surface; no promotion.
https://doi.org/10.5324/fwkjqp79	closed_noncase_source_surface	https://doi.org/10.5324/fwkjqp79	doi.org	doi.org	N/A - DOI/index source surface	none	source_surface_noncase; regulatory sandbox			Provided source surface is traceability/index material, not a concrete AI edge-case record.	Source-surface accounting only; no case-level claim.	No incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, or ranking claim.	DOI/scholarly index or proxy surface; metadata does not expose a concrete bounded AI edge-case event, finding, vulnerability, action, or official case record. Metadata note: Scholarly/index metadata points toward sources but does not expose a named reviewable surface. Prior disposition: Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Close as noncase source surface; no promotion.
https://doi.org/10.53292/afc00bb7.7d0aa836	closed_noncase_source_surface	https://doi.org/10.53292/afc00bb7.7d0aa836	doi.org	doi.org	N/A - DOI/index source surface	none	source_surface_noncase; regulatory sandbox			Provided source surface is traceability/index material, not a concrete AI edge-case record.	Source-surface accounting only; no case-level claim.	No incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, or ranking claim.	DOI/scholarly index or proxy surface; metadata does not expose a concrete bounded AI edge-case event, finding, vulnerability, action, or official case record. Metadata note: Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row. Prior disposition: Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Close as noncase source surface; no promotion.
https://doi.org/10.53479/37552	closed_noncase_source_surface	https://doi.org/10.53479/37552	doi.org	doi.org	N/A - DOI/index source surface	none	source_surface_noncase; algorithm register			Provided source surface is traceability/index material, not a concrete AI edge-case record.	Source-surface accounting only; no case-level claim.	No incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, or ranking claim.	DOI/scholarly index or proxy surface; metadata does not expose a concrete bounded AI edge-case event, finding, vulnerability, action, or official case record. Metadata note: scholarly conference DOI row is not a direct source surface Prior disposition: Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Close as noncase source surface; no promotion.
