source_file	line_no	record_id	record_namespace	title	record_status	evidence_tier	jurisdictions	languages	current_confidence	derived_confidence_ceiling	confidence_check	translation_status	original_url_status	source_signal	source_ids	claim_count	schema_gap_flags	review_reason
authoritative-candidates.jsonl	1	LIMEN-000001	case_id	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	authoritative	T3_authoritative_source	Italy	it	high	high	aligned	not_flagged	not_flagged	authoritative_seed	SRC-AUTH-0001	1	cross_file_case_id_collision	T3 authority support present
authoritative-candidates.jsonl	2	LIMEN-000002	case_id	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	authoritative	T3_authoritative_source	United States	en	high	high	aligned	not_flagged	not_flagged	authoritative_seed	SRC-AUTH-0002;SRC-AUTH-0005	2	cross_file_case_id_collision	T3 authority support present
authoritative-candidates.jsonl	3	LIMEN-000003	case_id	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	authoritative	T3_authoritative_source	United Kingdom	en	high	high	aligned	not_flagged	not_flagged	authoritative_seed	SRC-AUTH-0003	1	cross_file_case_id_collision	T3 authority support present
authoritative-candidates.jsonl	4	LIMEN-000004	case_id	UK ICO reprimands Essex school over facial-recognition canteen payments	authoritative	T3_authoritative_source	United Kingdom	en	high	high	aligned	not_flagged	not_flagged	authoritative_seed	SRC-AUTH-0004	1	cross_file_case_id_collision	T3 authority support present
security-agentic-candidates.jsonl	1	LIMEN-000001	case_id	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	authoritative	T3_authoritative_source	Global	English	high	high	aligned	not_flagged	not_flagged	security_seed	LIMEN-S-006	1	cross_file_case_id_collision	T3 authority support present
security-agentic-candidates.jsonl	2	LIMEN-000002	case_id	Langflow custom_component endpoint allows public candidate record for remote code execution risk	candidate	T1_single_public_source	Global	English	medium	low	confidence_overhang	not_flagged	not_flagged	security_seed	LIMEN-S-007	1	cross_file_case_id_collision	single-source public evidence only; candidate not yet corroborated
security-agentic-candidates.jsonl	3	LIMEN-000003	case_id	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	authoritative	T3_authoritative_source	Global	English	high	high	aligned	not_flagged	not_flagged	security_seed	LIMEN-S-008	1	cross_file_case_id_collision	T3 authority support present
security-agentic-candidates.jsonl	4	LIMEN-000004	case_id	CrewAI JSON loader allowed arbitrary local file read on the server	authoritative	T3_authoritative_source	Global	English	high	high	aligned	not_flagged	not_flagged	security_seed	LIMEN-S-009	1	cross_file_case_id_collision	T3 authority support present
security-agentic-candidates.jsonl	5	LIMEN-000005	case_id	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	authoritative	T3_authoritative_source	Global	English	high	high	aligned	not_flagged	not_flagged	security_seed	LIMEN-S-010	1	none	T3 authority support present
multilingual-candidates.jsonl	1	LMWCS-20260606-001	candidate_id	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	candidate	T1_single_public_source	Finland	fi	medium	low	confidence_overhang	title_gloss_only	unresolved_google_news_redirect	multilingual_seed		0	missing_case_id;uses_candidate_id_namespace	single-source public evidence only; candidate not yet corroborated; machine translation/title-gloss only caps confidence; direct-source URL unresolved
multilingual-candidates.jsonl	2	LMWCS-20260606-002	candidate_id	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	candidate	T1_single_public_source	Finland	fi	medium	low	confidence_overhang	title_gloss_only	unresolved_google_news_redirect	multilingual_seed		0	missing_case_id;uses_candidate_id_namespace	single-source public evidence only; candidate not yet corroborated; machine translation/title-gloss only caps confidence; direct-source URL unresolved
multilingual-candidates.jsonl	3	LMWCS-20260606-003	candidate_id	Police warn about new fraud methods: gold trading offers and AI-assisted deception	candidate	T1_single_public_source	Lithuania	lt	medium	low	confidence_overhang	title_gloss_only	unresolved_google_news_redirect	multilingual_seed		0	missing_case_id;uses_candidate_id_namespace	single-source public evidence only; candidate not yet corroborated; machine translation/title-gloss only caps confidence; direct-source URL unresolved
multilingual-candidates.jsonl	4	LMWCS-20260606-004	candidate_id	Project ORION: Artificial intelligence for safe border control	candidate	T3_authoritative_source	Slovenia	sl	medium	medium	aligned	title_gloss_only	unresolved_google_news_redirect	multilingual_seed		0	missing_case_id;uses_candidate_id_namespace	T3 authority support present; machine translation/title-gloss only caps confidence; direct-source URL unresolved; authoritative existence stronger than extracted factual detail
multilingual-candidates.jsonl	5	LMWCS-20260606-005	candidate_id	In Sveta Trojica, artificial intelligence already stands in for a secretary	candidate	T1_single_public_source	Slovenia	sl	low	low	aligned	title_gloss_only	unresolved_google_news_redirect	multilingual_seed		0	missing_case_id;uses_candidate_id_namespace	single-source public evidence only; candidate not yet corroborated; machine translation/title-gloss only caps confidence; direct-source URL unresolved
multilingual-candidates.jsonl	6	LMWCS-20260606-006	candidate_id	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	candidate	T1_single_public_source	Estonia	et	medium	low	confidence_overhang	title_gloss_only	unresolved_google_news_redirect	multilingual_seed		0	missing_case_id;uses_candidate_id_namespace	single-source public evidence only; candidate not yet corroborated; machine translation/title-gloss only caps confidence; direct-source URL unresolved
