signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-35C702FDCDA262C6	needs_named_source_extraction	source_pointer_or_wrapper	Row points toward a source but does not itself expose a named reviewable surface yet.	must resolve direct public source before promotion	extract the named underlying source before re-queueing	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/reports/lanes/law-regulator-latest.md
LIMEN-SIGNAL-35CFA416CAD36B72	needs_named_source_extraction	source_pointer_or_wrapper	Row points toward a source but does not itself expose a named reviewable surface yet.	must resolve the underlying source before any reviewed example or paper claim	extract the named underlying source before re-queueing	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193348Z/claim-support-digest.csv
LIMEN-SIGNAL-35D459248694837B	merge_existing_surface	existing_modeled_surface	This row points to the already modeled City of Helsinki AI Register surface and should be deduplicated.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	merge into the existing modeled surface	/srv/tyche/projects/public-ai-registry/data/registry-deployed-all-record-atlas-map-20260607.csv
LIMEN-SIGNAL-35D6A58315A68AA1	source_reviewed_candidate	direct_official_surface	Named FIN-FSA regulator helpdesk page is a concrete official surface; keep as weak sectoral sandbox-context only.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	keep for bounded source-surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_SOURCE_REFRESH.csv
LIMEN-SIGNAL-35DFCFBAD8A4A28B	needs_named_source_extraction	source_pointer_or_wrapper	Row is scholarly or adjacent metadata, not a named direct source surface; extract the underlying official source first.	must resolve direct public source before promotion	extract the named underlying source before re-queueing	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/arabic-language-latest.jsonl
LIMEN-SIGNAL-35E3C42B89B6617A	needs_named_source_extraction	source_pointer_or_wrapper	Row is scholarly or adjacent metadata, not a named direct source surface; extract the underlying official source first.	must resolve direct public source before promotion	extract the named underlying source before re-queueing	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/global-south-kenya-latest.jsonl
LIMEN-SIGNAL-35F043C20E3082AC	needs_named_source_extraction	source_pointer_or_wrapper	Row is a wrapper or summary that points toward a source but does not itself expose a named reviewable surface.	must resolve the underlying source before any reviewed example or paper claim	extract the named underlying source before re-queueing	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.json
LIMEN-SIGNAL-35F29D2A43085526	merge_existing_surface	existing_modeled_surface	This row points to the already modeled City of Helsinki AI Register surface and should be deduplicated.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	merge into the existing modeled surface	/srv/tyche/projects/public-ai-registry/data/registry-gap-map-v0.2.csv
LIMEN-SIGNAL-35FBC74A5FF50501	needs_named_source_extraction	source_pointer_or_wrapper	Row points toward a source but does not itself expose a named reviewable surface yet.	must resolve direct public source before promotion	extract the named underlying source before re-queueing	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-35FCE22F645174FA	merge_existing_surface	existing_modeled_surface	This row points to an already modeled Dutch/Amsterdam algorithm-register surface and should be deduplicated.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	merge into the existing modeled surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-v0.2.md
