signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-91700762E90EAC9F	reject_noise	needs_source_resolution	evidence-package field list; internal schema artifact	derived/internal artifact only; not a direct source surface	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/evidence-package/evidence-package-fields-v0.2.csv
LIMEN-SIGNAL-9181C75EB0CA8ACB	needs_named_source_extraction	needs_source_resolution	scholarly index row; underlying sandbox source not named locally	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/global-south-brazil-history.jsonl
LIMEN-SIGNAL-918255EE7B86B785	negative_evidence_candidate	needs_source_resolution	local matrix records no HM-specific AI sandbox evidence found	records bounded absence or evidence-limit only	retain as negative evidence; do not promote as direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-91828C69417743BE	negative_evidence_candidate	direct_surface_candidate	local score row records no algorithm register found on official checks	records bounded absence or evidence-limit only	retain as negative evidence; do not promote as direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-918316A82C9F8EB1	reject_noise	needs_source_resolution	schema description for evidence package; not a source surface	derived/internal artifact only; not a direct source surface	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-packages/tyche-thesis-atlas-v0.2.3-preprint/analysis/evidence-package/ai-evidence-package-profile-v0.2.schema.json
LIMEN-SIGNAL-918AAF4F471E1109	reject_noise	direct_surface_candidate	claim-support prose about registers as schemas; derived analysis only	derived/internal artifact only; not a direct source surface	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-refresh-v0.2.csv
LIMEN-SIGNAL-918AD0291C076952	needs_named_source_extraction	direct_surface_candidate	country queue wishlist points toward sources but names none concretely	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-918D0944871D4E3C	negative_evidence_candidate	needs_source_resolution	weak-source warning heading for sandbox gap	records bounded absence or evidence-limit only	retain as negative evidence; do not promote as direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-919390B11063CB8B	needs_named_source_extraction	needs_source_resolution	scholarly index row; direct sandbox surface not exposed	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl
LIMEN-SIGNAL-9194FD77F7F265CA	merge_existing_surface	source_pack_proxy_candidate	Helsinki AI Register snapshot points to an already-modeled municipal register surface	duplicate of an existing modeled source surface	deduplicate against the existing modeled surface	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/snapshots/ai.hel.fi-1a7f2679ef4e5517.bin
LIMEN-SIGNAL-9194FFBE649508E4	needs_named_source_extraction	needs_source_resolution	scholarly SSRN row; no direct sandbox source named locally	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl
LIMEN-SIGNAL-9198171325B027CB	needs_named_source_extraction	needs_source_resolution	derived public-sector deployment record without the underlying named source page	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/records.jsonl.bak-cycle165
LIMEN-SIGNAL-919AECF669E3604C	needs_named_source_extraction	direct_surface_candidate	country queue wishlist points toward procurement sources but names none concretely	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-919E61DF9848FD96	negative_evidence_candidate	direct_surface_candidate	weak-source warning for public algorithm-register gap	records bounded absence or evidence-limit only	retain as negative evidence; do not promote as direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-91A1671986C135D9	reject_noise	direct_surface_candidate	coverage-gap manifest fragment; internal routing artifact	derived/internal artifact only; not a direct source surface	drop from the direct-source queue	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json
LIMEN-SIGNAL-91AEEB80FF45942E	negative_evidence_candidate	needs_source_resolution	local warning records no unified AI evidence infrastructure found	records bounded absence or evidence-limit only	retain as negative evidence; do not promote as direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-91B14E5EC3873FB9	needs_named_source_extraction	source_pack_proxy_candidate	literature-screening row cites scholarship, not a direct register surface	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/systematic-literature-screening-20260608.csv
LIMEN-SIGNAL-91B285EE151F9C71	needs_named_source_extraction	needs_source_resolution	scholarly book-chapter row; no direct public-sector source surface named	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/lanes/articles-books-proceedings-latest.jsonl
LIMEN-SIGNAL-91B33E07DF7A5479	needs_named_source_extraction	direct_surface_candidate	country queue wishlist points toward procurement sources but names none concretely	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-91B347FE6B1331BC	merge_existing_surface	direct_surface_candidate	pilot register row duplicates the already-modeled City of Helsinki AI Register surface	duplicate of an existing modeled source surface	deduplicate against the existing modeled surface	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/register-records-v0.1.csv
LIMEN-SIGNAL-91B44A3B5B421720	needs_named_source_extraction	direct_surface_candidate	official strategy PDF is adjacent context, not the algorithm-register surface itself	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-91B5D9C0B58D3FD4	merge_existing_surface	direct_surface_candidate	Dutch Algorithm Register organisation page is nested under an existing national register surface	duplicate of an existing modeled source surface	deduplicate against the existing modeled surface	/srv/tyche/projects/public-ai-registry/data/registry-acquisition-queue-v0.3.csv
LIMEN-SIGNAL-91B5DBCBFD6EF811	negative_evidence_candidate	direct_surface_candidate	country matrix records no UM algorithm register found	records bounded absence or evidence-limit only	retain as negative evidence; do not promote as direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-91B9FCAD991C500C	reject_noise	source_pack_proxy_candidate	claim-support digest cites submission artifacts, not a direct sandbox source	derived/internal artifact only; not a direct source surface	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-20260605T192332Z/claim-support-curated.json
LIMEN-SIGNAL-91C6CF82E7124977	reject_noise	source_pack_proxy_candidate	retune board is internal routing telemetry, not a source surface	derived/internal artifact only; not a direct source surface	drop from the direct-source queue	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-006/public-sector-query-retune-board.tsv
LIMEN-SIGNAL-91CC822841B6AA1F	reject_noise	needs_source_resolution	retraction cause-count table is internal aggregate noise	derived/internal artifact only; not a direct source surface	drop from the direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/source-family-cause-counts-20260522T153509Z.csv
LIMEN-SIGNAL-91CF8E36B3141810	needs_named_source_extraction	direct_surface_candidate	country queue wishlist points toward procurement sources but names none concretely	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-91D0FE04A6802488	merge_existing_surface	direct_surface_candidate	GAIA record points back to an already-modeled Helsinki register/procurement surface	duplicate of an existing modeled source surface	deduplicate against the existing modeled surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-records-latest.jsonl
LIMEN-SIGNAL-91D272E3055F935E	source_reviewed_candidate	needs_source_resolution	local cached Datatilsynet page is a concrete official regulatory sandbox surface	local metadata supports source-surface existence only	open bounded direct-source review packet	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/42/424318a6d2d45b6907910d6e.html
LIMEN-SIGNAL-91D93DAC72A11885	needs_named_source_extraction	source_pack_proxy_candidate	scholarly index row; direct sandbox source not exposed locally	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/global-south-kenya-history.jsonl
LIMEN-SIGNAL-91DB89BA659A68BA	needs_named_source_extraction	direct_surface_candidate	hardening summary names multiple official leads but not one bounded review target	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_HARDENING_SUMMARY.csv
LIMEN-SIGNAL-91E540E0DD436305	reject_noise	source_pack_proxy_candidate	gap-routing delta is internal queue-management output	derived/internal artifact only; not a direct source surface	drop from the direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-009/country-gap-routing-delta-v0.3.csv
LIMEN-SIGNAL-91EE3789BDC9918E	needs_named_source_extraction	needs_source_resolution	scholarly index row; no direct evidence-source surface named	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/russian-language-history.jsonl
LIMEN-SIGNAL-91EE5810E53DFDEC	negative_evidence_candidate	direct_surface_candidate	country matrix records no AI procurement rules found	records bounded absence or evidence-limit only	retain as negative evidence; do not promote as direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-91F1138804FEA307	needs_named_source_extraction	direct_surface_candidate	central-bank payments page is adjacent to sandbox inquiry, not the sandbox surface itself	lead points toward a source but no reviewable surface is exposed yet	extract or name the underlying direct source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv
LIMEN-SIGNAL-91F59EA420C5588D	reject_noise	needs_source_resolution	claim-support test fixture; not a source surface	derived/internal artifact only; not a direct source surface	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-tests-v0.2.3.json
LIMEN-SIGNAL-91FE3E4B8546DD7B	negative_evidence_candidate	needs_source_resolution	candidate delta records no Croatia-specific AI procurement rules found	records bounded absence or evidence-limit only	retain as negative evidence; do not promote as direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_CANDIDATE_MATRIX_DELTA.csv
