signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-3B55AF9893FFD9E1	merge_existing_surface	registry_record_duplicate	duplicate Dutch register record from already-modeled NL-ALG-REG surface	dedupe to existing modeled surface only; no new substantive claim	merge into existing surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-3B6525BFA74BDA4A	needs_named_source_extraction	country_summary_wrapper	readiness summary mentions gaps but no named direct source	must name a direct source surface before source review; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/country-readiness-world-matrix.json
LIMEN-SIGNAL-3B6E22DE8FB43ECF	source_reviewed_candidate	official_directive_fetch	local snapshot names Canada Directive on Automated Decision-Making	source-surface existence only; no truth, legality, prevalence, ranking, or compliance claim	bounded source packet review	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-ca-ai-strategy-federal-public-service-2025-2027__1__www.canada.ca__reader-api
LIMEN-SIGNAL-3B76316A50DCB9D9	merge_existing_surface	registry_record_duplicate	translated Dutch register record already belongs to modeled NL-ALG-REG surface	dedupe to existing modeled surface only; no new substantive claim	merge into existing surface	/srv/tyche/projects/public-ai-registry/data/registry-gap-map-v0.2.csv
LIMEN-SIGNAL-3B8B05F1B6A1C2B9	needs_named_source_extraction	translation_wrapper	Portuguese sandbox wrapper names domain/category but no source title	must name a direct source surface before source review; no substantive claim	extract named source from local metadata	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/spanish-portuguese-language-records.jsonl
LIMEN-SIGNAL-3B97E408B9BC42C7	merge_existing_surface	registry_record_duplicate	duplicate Dutch register record from already-modeled NL-ALG-REG surface	dedupe to existing modeled surface only; no new substantive claim	merge into existing surface	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-3B9E1608CAB1224D	reject_noise	schema_field_definition	internal evidence-package field definition, not a source surface	derived/local artifact only; not a direct-source surface	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/evidence-package/evidence-package-fields-v0.2.csv
LIMEN-SIGNAL-3BA4EF82D4FD1017	negative_evidence_candidate	official_negative_check	official parliament/policy page used as bounded negative check	absence/evidence-limit only; not proof of nonexistence, legality, or compliance state	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_SOURCE_REFRESH.csv
LIMEN-SIGNAL-3BB3204ECD65B494	needs_named_source_extraction	country_summary_wrapper	cohort summary suggests sources but names no reviewable surface	must name a direct source surface before source review; no substantive claim	extract named source from local metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/standards-pki-digital-id-exception-cohort.json
LIMEN-SIGNAL-3BBD43F58007F264	merge_existing_surface	registry_record_duplicate	translated Dutch register record already belongs to modeled NL-ALG-REG surface	dedupe to existing modeled surface only; no new substantive claim	merge into existing surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-gap-map-v0.2.csv
LIMEN-SIGNAL-3BCBEFFF7A21A263	negative_evidence_candidate	negative_gap_delta	local score-delta row records bounded sandbox absence check	absence/evidence-limit only; not proof of nonexistence, legality, or compliance state	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_COUNTRY_SCORE_DELTA.csv
