category_code	category_label	seed_case_count	evidence_tier_snapshot	review_priority	linked_review_queue_ids	queue_patterns	why_public_evidence_is_insufficient	minimum_stronger_source_needed	review_owner	eu_ai_act_anchor_status	legal_conclusion_limit	observatory_hook
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	5	T1_single_public_source:2; T3_authoritative_source:3	High	LQ-005; LQ-008	LQ-005: Synthetic identity, deepfake, or fraud/deception case with alleged harm || LQ-008: AI washing or false-AI procurement/marketing claim	LQ-005: The presence of generated content does not establish intent, materiality, attributable actor, or legal threshold crossed. || LQ-008: Current strong support remains concentrated in U.S. finance and venture-facing enforcement/charging records; the non-finance signal remains weak and the Nate row is still charging-stage rather than disposition-grade.	LQ-005: Police/court/platform authority source, election-authority notice, securities/consumer record, or forensics/contract record tying the content to a legal process. || LQ-008: Non-finance procurement challenge, contract text, technical audit, official correction, regulator document, or later public disposition.	LQ-005: Lawyer/source-authority review || LQ-008: Lawyer/procurement review	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Impossible to conclude illegality or AI Act breach from media allegations alone	Legal-risk heatmap by category and evidence tier
security_risk	Security risk	10	T1_single_public_source:1; T3_authoritative_source:8	High	LQ-006	LQ-006: Agentic control failure demo, CVE, or anecdote	LQ-006: Public CVEs and advisories reveal control surfaces, but usually not deployment setting, duty holder, realized harm, or reportability threshold.	LQ-006: Provider/deployer incident report, architectural postmortem, formal vendor bulletin keyed to the exact CVE, or reproducible public test.	LQ-006: Technical + legal review	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Public evidence often cannot show whether duty-to-report thresholds or formal security obligations were triggered	Security-to-governance edge list for graph/table views
agentic_control_failure	Agentic control failure	10	T1_single_public_source:1; T3_authoritative_source:8	High	LQ-006	LQ-006: Agentic control failure demo, CVE, or anecdote	LQ-006: Public CVEs and advisories reveal control surfaces, but usually not deployment setting, duty holder, realized harm, or reportability threshold.	LQ-006: Provider/deployer incident report, architectural postmortem, formal vendor bulletin keyed to the exact CVE, or reproducible public test.	LQ-006: Technical + legal review	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Cannot infer non-compliance or defective oversight solely from anecdotal demonstrations	Agentic-control matrix linking case type to oversight evidence needs
institutional_absurdity	Institutional absurdity	3	T1_single_public_source:3	Medium	LQ-001; LQ-004; LQ-009	LQ-001: Public-sector AI deployment with opaque procurement or registry traces || LQ-004: Education, workplace, or HR decision dispute || LQ-009: Residual or normatively salient case with unclear framework fit	LQ-001: Regulator/news/project pages can show that an authority discussed, piloted, regulated, or responded to a system, but often do not resolve procurement route, legal basis, deployment stage, or exact public-body function. || LQ-004: Public narratives usually do not expose comparator evidence, final decision authority, appeal/redress path, or the exact decision model role. || LQ-009: Salience alone does not identify the right legal or standards framework, and several rows remain placeholders or title-level leads only.	LQ-001: Procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement. || LQ-004: Court complaint/decree, school/employer policy, official redress record, or regulator notice text. || LQ-009: Taxonomy review memo plus stronger authoritative source package for the first residual/research-integrity case, direct-source capture for absurdity leads, or a new anchor that narrows framework fit.	LQ-001: Lawyer/regulator/source-authority review || LQ-004: Lawyer/regulator review || LQ-009: Mixed human review	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Often impossible to separate organizational dysfunction from AI-specific legal significance using public evidence alone	Public-sector absurdity typology and dashboard filter
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	8	T1_single_public_source:3; T3_authoritative_source:4	High	LQ-001; LQ-002	LQ-001: Public-sector AI deployment with opaque procurement or registry traces || LQ-002: Surveillance, biometrics, or policing story with fundamental-rights significance	LQ-001: Regulator/news/project pages can show that an authority discussed, piloted, regulated, or responded to a system, but often do not resolve procurement route, legal basis, deployment stage, or exact public-body function. || LQ-002: Public material still omits underlying notice text, legal basis, operational parameters, and whether the system is proposed, piloted, or fully deployed.	LQ-001: Procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement. || LQ-002: Underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document.	LQ-001: Lawyer/regulator/source-authority review || LQ-002: Lawyer/regulator review	no direct local AI Act primary-text anchor verified in this lane package; public-authority routing remains conceptually relevant but still needs primary-text anchoring	Public silence or incomplete procurement records cannot by themselves establish hidden prohibited or high-risk use	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison
deepfake_or_synthetic_identity	Deepfake or synthetic identity	3	T1_single_public_source:2; T3_authoritative_source:1	High	LQ-005	LQ-005: Synthetic identity, deepfake, or fraud/deception case with alleged harm	LQ-005: The presence of generated content does not establish intent, materiality, attributable actor, or legal threshold crossed.	LQ-005: Police/court/platform authority source, election-authority notice, securities/consumer record, or forensics/contract record tying the content to a legal process.	LQ-005: Lawyer/source-authority review	direct_primary_anchor_verified_for_Article_50_2_and_50_4_via_EUR-Lex; case applicability still unresolved	Legal characterization often depends on context, intent, target, and applicable speech/privacy/fraud law beyond public evidence	Synthetic-identity topology linking media, provenance evidence, and harm types
legal_procedural_contamination	Legal/procedural contamination	3	T1_single_public_source:1; T3_authoritative_source:1	High	LQ-007	LQ-007: Legal/procedural contamination (fake citations, automated filings, contaminated records)	LQ-007: A regulator order plus one broadcaster account is still not enough to generalize process-contamination doctrine across courts, agencies, or administrative workflows.	LQ-007: Court filing/order, institutional correction notice, or official Finnish police/court process-integrity statement for a second document-grade family.	LQ-007: Lawyer/institutional-process review	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Public examples rarely show whether contamination came from user misuse, vendor design, or institutional process failure	Process-contamination typology for justice/admin case tables
health_medical_or_mental_health	Health, medical, or mental-health misuse	0	no local seeded cases yet	High	LQ-003	LQ-003: Health or mental-health AI harm allegation	LQ-003: Health-sector interpretation depends on intended use, device/professional regime, causation, and safety posture that news reports rarely resolve.	LQ-003: Official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail.	LQ-003: Lawyer/domain-expert review	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Impossible to infer certification, standard-of-care breach, or high-risk status from weak public evidence	Sector split for health-related LIMEN cases with uncertainty flags
education_workplace_or_hr	Education, workplace, or HR	6	T1_single_public_source:1; T3_authoritative_source:3	High	LQ-004	LQ-004: Education, workplace, or HR decision dispute	LQ-004: Public narratives usually do not expose comparator evidence, final decision authority, appeal/redress path, or the exact decision model role.	LQ-004: Court complaint/decree, school/employer policy, official redress record, or regulator notice text.	LQ-004: Lawyer/regulator review	no direct local AI Act primary-text anchor verified in this lane package; current support is authoritative enforcement-source-led	Public reporting usually lacks sufficient data on model function, decision authority, and comparator treatment	Employment/education decision-flow matrix
finance_insurance_or_market	Finance, insurance, or market	2	T3_authoritative_source:2	Medium	LQ-005; LQ-008	LQ-005: Synthetic identity, deepfake, or fraud/deception case with alleged harm || LQ-008: AI washing or false-AI procurement/marketing claim	LQ-005: The presence of generated content does not establish intent, materiality, attributable actor, or legal threshold crossed. || LQ-008: Current strong support remains concentrated in U.S. finance and venture-facing enforcement/charging records; the non-finance signal remains weak and the Nate row is still charging-stage rather than disposition-grade.	LQ-005: Police/court/platform authority source, election-authority notice, securities/consumer record, or forensics/contract record tying the content to a legal process. || LQ-008: Non-finance procurement challenge, contract text, technical audit, official correction, regulator document, or later public disposition.	LQ-005: Lawyer/source-authority review || LQ-008: Lawyer/procurement review	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Cannot infer regulatory breach, discriminatory effect, or regulated-system scope from anecdotal market stories alone	Sectoral harm matrix across finance/insurance/market records
