source_url	field_path	example_value	field_role	evidence_tier	note
https://incidentdatabase.ai/cite/1515/	meta:og:title	Incident 1515: Purportedly AI-Generated Airport Videos Reportedly Showed Diaspora Voters Supporting Albin Kurti	public page title / incident label	direct_public_html_plus_page_data_json	Public cite page title aligns to machine-readable page-data incident title.
https://incidentdatabase.ai/cite/1515/	meta:og:description	Facebook pages are reported to have posted purportedly AI-generated airport-style interview videos falsely showing expatriates saying they would return on December 28 to vote for Albin Kurti. The videos reportedly used Pristina Airport sett	public page description / incident summary	direct_public_html_plus_page_data_json	Public cite page description aligns to machine-readable incident description surface.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.incident.incident_id	1515	exact machine-readable incident identifier	direct_public_page_data_json	Public page-data JSON exposes the incident ID directly, beyond visible page labels.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.incident.date	2025-11-23	exact machine-readable incident date	direct_public_page_data_json	Public page-data JSON exposes date as a stable field value.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.incident.reports[].report_number	7347|7348|7349	linked report identifier family	direct_public_page_data_json	Public page-data JSON links the incident to exact report-number identifiers visible as 7347/7348/7349.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.incident.Alleged_developer_of_AI_system[]	voice-synthesis-technology-developers|deepfake-technology-developers	machine-readable developer-role entity family	direct_public_page_data_json	Shows a structured actor-role field family rather than only narrative text.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.incident.Alleged_deployer_of_AI_system[]	information-manipulation-actors|deepfake-creators	machine-readable deployer-role entity family	direct_public_page_data_json	Shows a structured actor-role field family rather than only narrative text.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.incident.Alleged_harmed_or_nearly_harmed_parties[]	national-security-and-intelligence-stakeholders|general-public-of-kosovo|general-public|epistemic-integrity|democratic-integrity|albin-kurti	machine-readable harmed-party entity family	direct_public_page_data_json	Shows a structured harmed-party field family useful for role/entity comparison.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.incident.implicated_systems[]	voice-synthesis-technology|social-media-platforms|facebook|deepfake-technology	machine-readable implicated-system field family	direct_public_page_data_json	Shows a structured system/modality field family useful for incident-type overlays.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.allMongodbAiidprodReports.nodes[0].source_domain	hibrid.info	linked report source-domain field	direct_public_page_data_json	The public page-data route also exposes linked report metadata.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.allMongodbAiidprodReports.nodes[0].url	https://hibrid.info/en/artificial-intelligence-video-claiming-that-migrants-will-arrive-on-December-28-to-vote-for-Albin-Kurti/	linked report source URL field	direct_public_page_data_json	The public page-data route exposes exact article URLs for linked reports.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.allMongodbAiidprodReports.nodes[0].date_published	Mon Nov 24 2025 00:00:00 GMT+0000 (Coordinated Universal Time)	linked report publication-date field	direct_public_page_data_json	The public page-data route exposes report-level publication timing.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.allMongodbAiidprodTaxa.nodes[0].namespace	CSETv1	public taxonomy namespace surface	direct_public_page_data_json	Public page-data route exposes attached taxonomy metadata; first visible namespace is CSETv1.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.allMongodbAiidprodTaxa.nodes[0].field_list[0].short_name	Incident Number	public taxonomy field-definition surface	direct_public_page_data_json	Public page-data route exposes public taxonomy field-definition metadata alongside the incident record.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.allMongodbAiidprodClassifications.nodes	0	classification-node count for this incident page	direct_public_page_data_json	For this incident page, the classifications node list is empty even while taxonomy metadata is present; avoid assuming page-level classification occupancy.
https://incidentdatabase.ai/research/snapshots/	href -> latest public backup link	backup-20260601120109.tar.bz2	public backup cadence / snapshot route	public_snapshot_index_html	Snapshots page still advertises dated public tarball backups on object storage.
https://pub-72b2b2fc36ec423189843747af98f80e.r2.dev/backup-20260601120109.tar.bz2	mongodump_full_snapshot/incidents.csv header	_id|incident_id|date|reports|Alleged deployer of AI system|Alleged developer of AI system|Alleged harmed or nearly harmed parties|description|title	latest backup CSV header family	bounded_public_snapshot_member_inspection	Latest public backup still exposes a compact incidents.csv header family including incident_id/date/reports/entity-role fields.
https://incidentdatabase.ai/page-data/cite/1515/page-data.json	result.data.incident.editor_notes	Timeline note: The date for this incident ID is 11/23/2025. The incident ID was created 06/04/2026.	machine-readable lag / provenance note	direct_public_page_data_json	Editor note states the incident ID was created 2026-06-04, which post-dates the latest public backup from 2026-06-01 and explains why that backup does not contain incident_id 1515.
https://pub-72b2b2fc36ec423189843747af98f80e.r2.dev/backup-20260601120109.tar.bz2	incidents.csv contains incident_id=1515	no	bounded lag check against latest public backup	bounded_public_snapshot_member_inspection	Absence of incident_id 1515 in the latest public backup is expected under the editor-note creation date and should be treated as snapshot-lag evidence, not as a row-identity contradiction.
