row_id	signal_id	translation_hold_class	review_priority	shards	queries	language_hint	source_path_family	source_url	source_path	source_line	title_or_snippet	claim_ceiling	next_action	forbidden_overread
TH-00026	LIMEN-SIGNAL-0DBAA5EF885F4829	cross_project_language_artifact	P1_official_or_regulator_review	identity-provenance	deepfake	chinese	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/site/gaia-agent-atlas/public/data/foreign-language-digest.json	7361	"english_summary: ""China's deep-synthesis provisions are tracked as binding synthetic-media and deepfake governance rules for providers and technical supporters of deep synthesis services."","	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00027	LIMEN-SIGNAL-0E403F23CB7CCE7E	cross_project_language_artifact	P1_official_or_regulator_review	identity-provenance	deepfake	chinese	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-099/translation-review-queue.json	102	"english_summary: ""China's deep-synthesis provisions are tracked as binding synthetic-media and deepfake governance rules for providers and technical supporters of deep synthesis services."","	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00034	LIMEN-SIGNAL-102E87A9F3F4EBDC	cross_project_language_artifact	P1_official_or_regulator_review	identity-provenance	deepfake	chinese	global_agent_atlas		/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	7394	"summary: ""China's deep-synthesis provisions are tracked as binding synthetic-media and deepfake governance rules for providers and technical supporters of deep synthesis services."","	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00081	LIMEN-SIGNAL-2A055622EA9DB5E0	cross_project_language_artifact	P1_official_or_regulator_review	identity-provenance	deepfake	chinese	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260605T0845EEST/daily/gaia-foreign-language-digest-latest.json	7425	"english_summary: ""China's deep-synthesis provisions are tracked as binding synthetic-media and deepfake governance rules for providers and technical supporters of deep synthesis services."","	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00096	LIMEN-SIGNAL-324BC7764828B777	cross_project_language_artifact	P1_official_or_regulator_review	identity-provenance	deepfake	language_not_resolved	global_agent_atlas		/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl	44	"{""agent_id"": ""writer-ai-agents"", ""agent_type"": ""enterprise agentic AI platform and governed agent-builder surface"", ""article50_flags"": [""direct_interaction_disclosure_possible""], ""audit_logs_provenance_claims"": ""Cycle 97 archived Writer Agent, AI Studio, Trust"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00123	LIMEN-SIGNAL-3F4E281B6FC7630B	cross_project_language_artifact	P1_official_or_regulator_review	identity-provenance	deepfake	chinese	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/site/gaia-agent-atlas/public/data/foreign-language-digest.json	7394	"summary: ""China's deep-synthesis provisions are tracked as binding synthetic-media and deepfake governance rules for providers and technical supporters of deep synthesis services."","	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00124	LIMEN-SIGNAL-40996930238FE5A9	cross_project_language_artifact	P1_official_or_regulator_review	identity-provenance	deepfake	chinese	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json	7650	"summary: ""China's deep-synthesis provisions are tracked as binding synthetic-media and deepfake governance rules for providers and technical supporters of deep synthesis services."","	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00128	LIMEN-SIGNAL-433363E1981FA17D	cross_project_language_artifact	P1_official_or_regulator_review	identity-provenance	deepfake	language_not_resolved	global_agent_atlas		/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl	45	"{""agent_id"": ""coupa-navi"", ""agent_type"": ""procurement and spend-management AI assistant"", ""article50_flags"": [""direct_interaction_disclosure_possible""], ""audit_logs_provenance_claims"": ""Coupa platform page exposes AI Governance and Agent Studio as public gover"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00200	LIMEN-SIGNAL-67E185F1E79033CF	cross_project_language_artifact	P1_official_or_regulator_review	identity-provenance	C2PA	estonian	thesis_atlas_factory		/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/papers/01-estonia-sandbox-evidence-infrastructure-v0.4-readable-draft.md	109	This translation lets the thesis connect AI legislation, PKI, standards, public-sector governance and technological transition. The AI Act produces legal pressure. Estonia provides a compact institutional case. AESIA provides practical compliance vocabulary. S	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00220	LIMEN-SIGNAL-765054855C14FDD6	cross_project_language_artifact	P1_official_or_regulator_review	identity-provenance	deepfake	chinese	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json	7617	"english_summary: ""China's deep-synthesis provisions are tracked as binding synthetic-media and deepfake governance rules for providers and technical supporters of deep synthesis services."","	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
