queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action	batch_id	review_priority	source_review_role	shards	queries	source_path	source_line
BTPS-00005	LIMEN-SIGNAL-0E55EBAEB950D3C9	parent_source_wrapper	https://www.datatilsynet.no/regelverk-og-verktoy/rapporter-og-utredninger/rapporter-fra-sandkassa/	Datatilsynet	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv:726	Regulator report-index URL is explicit but wraps multiple sandbox project reports requiring human selection.	Parent-source/index surface only; no individual sandbox project claim.	Extract and review specific original-language project reports before case use.	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	726
BTPS-00011	LIMEN-SIGNAL-324BC7764828B777	parent_source_wrapper	https://writer.com/product/action-agent/ ; https://writer.com/product/ai-studio/ ; https://writer.com/trust/ ; https://writer.com/product/knowledge-graph/	Writer	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl:44	Local record lists four Writer source URLs; human must choose parent source for the specific claim.	provider source-surface cues only; no safety/compliance/legal adequacy claim	candidate for parent source extraction with archived snapshots	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl	44
BTPS-00020	LIMEN-SIGNAL-73E0E76FB831190E	parent_source_wrapper		South Korea translated public-register route protocol	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.md#L17	Protocol row is a route wrapper requiring bounded source selection; it is not a concrete parent source.	routing/protocol only; no register existence, absence, or case claim	Run bounded parent-source extraction against explicit Korean government/register sources.	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.md	17
BTPS-00083	LIMEN-SIGNAL-73BB9E2B68292ADD	parent_source_wrapper		Civio public BOSCO dossier / automated decisions page	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/trace-x/cases/es-bosco/timeline.md.bundle/timeline.md:17; notes: timeline.md:45-46	Timeline points to a dossier/extracted-text wrapper with primary litigation links, but no concrete public parent URL is locally resolved in the bundle.	Parent-source extraction candidate only; no substantive BOSCO finding from this row.	Resolve local extracted-text path or recapture dossier before case-level use.	20260616T130035Z-lane6-a13ea36b	P2_article_relevance_review	translation_candidate_parent_source_extraction	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/trace-x/cases/es-bosco/timeline.md.bundle/timeline.md	17
BTPS-00092	LIMEN-SIGNAL-8F062E51126C2621	parent_source_wrapper		Iceland healthcare AI sandbox source-refresh rows	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_COUNTRY_SCORE_DELTA.csv:54; source refresh: PALLAS_SECOND_PASS_SPRINT_13_SOURCE_REFRESH.csv:109-110	Delta row is a score placeholder and local source refresh has multiple official parent URLs, so a human/source pass must choose or split the parent source.	Candidate processing state only; no active-status, maturity, or legal finding.	Choose between the official January 2022 sandbox notice and February 2022 application-opening notice, or split into separate extractions.	20260616T130035Z-lane6-a13ea36b	P2_article_relevance_review	translation_candidate_parent_source_extraction	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_COUNTRY_SCORE_DELTA.csv	54
BTPS-00106	LIMEN-SIGNAL-BEBE4CEEAB6D3313	parent_source_wrapper		Ísland.is / Persónuvernd wrapper	PALLAS_SECOND_PASS_SCORE_CHANGES.csv:280; PALLAS_SECOND_PASS_SPRINT_13_SOURCE_REFRESH.csv:109-110	Input points to a score-change wrapper and local evidence resolves to multiple official Iceland sandbox rows, so a human must choose the parent source.	candidate historical pilot-source extraction only; no active sandbox maturity claim	Choose between the January 2022 setup notice and February 2022 information/application notice before extraction.	20260616T130035Z-lane7-613828a8	P2_article_relevance_review	translation_candidate_parent_source_extraction	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	280
BTPS-00113	LIMEN-SIGNAL-CA96F9ACB70DE5BD	source_surface_only_no_case	https://www.malaysia.gov.my/en/my-initiative/whole-government-digital-services/tadbir-urus/national-guidelines-on-artificial-intelligence-governance-and-ethics-aige	National Guidelines on Artificial Intelligence Governance and Ethics (AIGE)	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl:41 fields seed_url/source_url/url	Concrete Malaysia government URL is explicit in local record; local snippet is portal surface for AIGE and not case evidence.	guidance-source surface only; no legal, safety, or implementation claim	Use only as original-language parent guidance locator; translate/inspect page substance before any stronger claim.	20260616T130035Z-lane8-f5455c93	P2_article_relevance_review	translation_candidate_parent_source_extraction	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl	41
BTPS-00001	LIMEN-SIGNAL-02BD2D039A41F64F	source_url_extracted	https://mitic.gov.py/mitic-fortalece-capacidades-tecnicas-en-inteligencia-artificial/	MITIC Paraguay	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_SOURCE_REFRESH.csv:139	Official source-pack row explicitly names the MITIC AI capacity/sandbox-design URL; no operational sandbox claim.	Capacity/source-context only; no operational sandbox, participant, legality, or impact claim.	Extract as parent/context source with explicit planned/design-stage caveat.	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_SOURCE_REFRESH.csv	139
BTPS-00002	LIMEN-SIGNAL-06B39C000F19922B	source_url_extracted	https://www.mcid.gov.ro/wp-content/uploads/2024/02/Strategie-Inteligenta-Artificiala-22012024_clean_final.pdf	Ministry of Research, Innovation and Digitalization (MCID)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv:517	Official source-pack row explicitly names Romania AI strategy PDF; planned measures only.	Strategy/source-context only; no operational sandbox, procurement, audit, or compliance claim.	Extract with planned-measure caveats and original-language verification.	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv	517
BTPS-00003	LIMEN-SIGNAL-0B83D6DBD6AE7AB0	source_url_extracted	https://sdaia.gov.sa/en/SDAIA/about/Files/AIAdoptionFramework.pdf	Saudi Data & AI Authority (SDAIA)	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/runtime/lanes/arabic-language-failed-latest.jsonl:10	Local JSONL seed_url gives official AI Adoption Framework URL; fetch failed so no text-surface claim.	Named-source context only; no adoption, compliance, or policy finding.	Retry controlled parent-source extraction or archive hardening before any case-level use.	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/runtime/lanes/arabic-language-failed-latest.jsonl	10
BTPS-00004	LIMEN-SIGNAL-0D0C2C977448B2E7	source_url_extracted	https://moc.gov.gh/2026/04/24/ghana-launches-national-ai-strategy-to-drive-digital-transformation-and-economic-growth/	Ghana Ministry of Communications, Digital Technology and Innovations	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/african-multilingual-language-history.jsonl:46	Local JSONL seed_url gives official Ghana AI strategy notice URL; fetch timed out so no content claim.	Named-source context only; no strategy-content or implementation claim.	Retry local source extraction or archive hardening before using as evidence.	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/african-multilingual-language-history.jsonl	46
BTPS-00006	LIMEN-SIGNAL-0FA568E29D79A38A	source_url_extracted	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	Colombian Constitutional Court	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json:8702	Local digest object line 8733 gives original judgment URL; human review remains needed.	candidate public source context only; no legal conclusion or promoted case claim	extract original Spanish judgment/source passage and review before parent-source use	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json	8702
BTPS-00007	LIMEN-SIGNAL-18549A4A31ACBB5A	source_url_extracted	https://www.argentina.gob.ar/tina	Argentina.gob.ar / TINA	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl:352	Local record source_urls list gives the TINA public page; metadata only, no automated-decision claim.	candidate source-surface/context only; no deployment, compliance, or risk finding	extract original Spanish public page and preserve source quotations	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl	352
BTPS-00008	LIMEN-SIGNAL-1A82AE9FF5D30098	source_url_extracted	https://algoritmes.overheid.nl/nl	Algoritmeregister / Government of the Netherlands	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv:707	Official source-pack row explicitly names the Dutch algorithm-register URL.	register source-surface/context only; no prevalence, ranking, or high-risk classification claim	extract parent register metadata in original Dutch if needed	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	707
BTPS-00009	LIMEN-SIGNAL-1E15C96CF0DCB97A	source_url_extracted	https://acikkaynak.goc.gov.tr/bilge8	Presidency of Migration Management	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv:945	Official source-pack row explicitly names Bilge8 public-sector AI assistant page; no register claim.	candidate system source-surface only; no transparency, data-use, or compliance finding	extract and review original Turkish source text	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	945
BTPS-00010	LIMEN-SIGNAL-22EF3E5360BE64FD	source_url_extracted	https://www.gov.si/teme/nacionalni-ekosistem-za-umetno-inteligenco/	Ministrstvo za digitalno preobrazbo / GOV.SI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv:1618	Official source-pack row explicitly names Slovenia AI ecosystem topic page; use statute for legal allocation.	institutional source-surface only; no legal allocation, compliance, or operational sandbox finding	extract original Slovenian source text and statute reference before any claim uplift	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1618
