signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-64E3F51E24B96804	needs_named_source_extraction	profile_or_manifest_wrapper	Local row is a country-profile/manifest/label wrapper and does not name a bounded direct source surface.	profile/manifest metadata only; no source-surface or factual claim	resolve the underlying named source before review	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json
LIMEN-SIGNAL-6543567E47CFE465	needs_named_source_extraction	profile_or_manifest_wrapper	Local row is a country-profile/manifest/label wrapper and does not name a bounded direct source surface.	profile/manifest metadata only; no source-surface or factual claim	resolve the underlying named source before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-6585C5D747442EDF	needs_named_source_extraction	research_queue_wrapper	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-658E46FE7E1AA2C6	needs_named_source_extraction	profile_or_manifest_wrapper	Local row is a country-profile/manifest/label wrapper and does not name a bounded direct source surface.	profile/manifest metadata only; no source-surface or factual claim	resolve the underlying named source before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-65ADCA0D15ED2961	negative_evidence_candidate	weak_source_or_gap_warning	Weak-source warning records absent, weak, or non-substitute evidence rather than a direct promotable source.	gap/weak-source warning only; no exhaustive absence or compliance claim	retain as negative-evidence candidate	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-65BEC2348632FCA3	translation_review_needed	named_official_surface_translation_sensitive	Source-pack row names a plausible official/direct surface, but the named surface is materially non-English.	source-surface existence/posture only; translation needed before stronger claims	route to translation-aware direct-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-65D0A7F8596AE99A	needs_named_source_extraction	research_queue_wrapper	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-65D84190F2A63AEF	needs_named_source_extraction	research_queue_wrapper	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-663C52F504A92CE9	negative_evidence_candidate	gap_or_absence_evidence	Derived review row records a negative, future-only, blocked, or evidence-limit finding rather than a reviewable direct surface.	bounded negative/gap evidence only; no exhaustive absence or compliance claim	retain as negative-evidence candidate	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-663E60756C4065DA	needs_named_source_extraction	research_queue_wrapper	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
