source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://pano.ai	1	LIMEN-SIGNAL-CA9D037C3DD26D68	bulk_named_source_autoresolve	pano.ai	https://www.pano.ai/	pano.ai	AI evidence	Source-documents row points toward a vendor page but not a named reviewable surface here.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://parliament.gov.sb	1	LIMEN-SIGNAL-1DAE9905F2903D50	bulk_parent_source_extraction	parliament.gov.sb	https://parliament.gov.sb/	National Parliament of Solomon Islands	public sector AI	Solomon Islands source-pack gives Parliament URL as legal source portal.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://peregrine.io/peregrine-ai	1	LIMEN-SIGNAL-7ADD392A4A75ECD9	bulk_named_source_autoresolve	peregrine.io	https://www.peregrine.io/peregrine-ai	peregrine.io	AI evidence	Local metadata points toward an underlying source but does not expose one named reviewable surface yet.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://personetics.com/solutions/engage	1	LIMEN-SIGNAL-E6E8289DF5C59C07	bulk_named_source_autoresolve	personetics.com	https://personetics.com/solutions/engage/	personetics.com	synthetic media	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://poly.ai	3	LIMEN-SIGNAL-12750E28B6AD7B45; LIMEN-SIGNAL-3DD37532E36F7821; LIMEN-SIGNAL-4ED4108E57E1C63A	bulk_named_source_autoresolve	poly.ai	https://www.poly.ai/	poly.ai	automated decision	Local artifact is a proxy/wrapper row and still needs a named direct source to be extracted.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://potraz.gov.zw	1	LIMEN-SIGNAL-1D2D2B352A26974C	bulk_parent_source_extraction	potraz.gov.zw	https://www.potraz.gov.zw/	Postal and Telecommunications Regulatory Authority of Zimbabwe	regulatory sandbox	Zimbabwe source-pack gives POTRAZ official URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://pr.gov	1	LIMEN-SIGNAL-1C6670B7D5382ADF	bulk_named_source_autoresolve	pr.gov	https://www.pr.gov/	pr.gov	AI procurement	Row is a wrapper, bridge, digest, or history artifact that points toward a source but does not yet expose a stable named reviewable surface.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://pravo.by/document?guid=3871&p0=Pd1700008	1	LIMEN-SIGNAL-FA2766F45EEFA121	bulk_parent_source_extraction	pravo.by	https://pravo.by/document/?guid=3871&p0=Pd1700008	Decree No. 8 On Development of the Digital Economy	regulatory sandbox	Local ledger identifies Decree No. 8 as weak I03 context, not an AI sandbox.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://procurement.gov.ge/en	1	LIMEN-SIGNAL-4B8679CFDB9D29E8	bulk_parent_source_extraction	procurement.gov.ge	https://procurement.gov.ge/en	State Procurement Agency website	AI procurement	Georgia matrix points to I08 and rollup gives explicit procurement authority URL	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://purl.org/rss/1.0/modules/content	1	LIMEN-SIGNAL-EB70AE1F2E6042B6	bulk_named_source_autoresolve	purl.org	http://purl.org/rss/1.0/modules/content/	purl.org	regulatory sandbox	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
