signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-0E476A5EAC522852	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	175	sha256:305c58f4823b0ca1feb1a4f924b542fd5ce830760ec9118d3752925ca66fae1e	PA,Panama,high,C fragmented but observable,medium,Panama AI Act implementation competent authority; Panama algorithm register public sector AI; Panama AI regulatory sandbox; Panama AI procurement public sector guidance; Panama AI audit logs provenance post-mar	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0E4784D2CCB6978A	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1938	sha256:a05a9cf15b54a84cb3590ed3643d43c8de29119d78b6d2ff9e17019873588308	"14,FR,France,I03,,2,M,2,M,,true,,""No score change. CNIL AI/services-publics sandbox and earlier personal-data sandboxes show sandbox practice, but checked sources do not confirm formal Regulation (EU) 2024/1689 AI regulatory sandbox designation."",,,,,,,,fr-sou"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0E7DC27952EB3E88	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	3449	sha256:92ee0ab2fb80460bb6276980cd8271ac9f716f319f78fb4348e813f293b4bc26	1. I03 regulatory sandbox maturity	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0E90658C0271FB13	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	120	sha256:b6b6927541d7d95bb00bca775e909b6066e6c9b026d7a975d0eed0f096a6d769	LB,Lebanon,high,E very low public observability,high,Lebanon AI Act implementation competent authority; Lebanon algorithm register public sector AI; Lebanon AI regulatory sandbox; Lebanon AI procurement public sector guidance; Lebanon AI audit logs provenance	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0EABA5B18DF7169C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	117	sha256:083ee602ff586247b094d07a0876816c0d85cbb05fa94d58e37c729bacb046bc	BQ,Caribbean Netherlands,high,E very low public observability,high,Caribbean Netherlands AI Act implementation competent authority; Caribbean Netherlands algorithm register public sector AI; Caribbean Netherlands AI regulatory sandbox; Caribbean Netherlands AI	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0F16194FFA745D7E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	3437	sha256:42f616f53935e0f736932e9e77878353d32dd545033038a8b563b8f72a630582	- I05: No public algorithm register found. National portal and open-data portal are negative/adjacent checks only.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0F5CBA16A034843A	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	129	sha256:4078ac832551e984676bb9872ea9e60c110dacd97aec06920c5ddfc51e8de6ca	FK,Falkland Islands,high,E very low public observability,high,Falkland Islands AI Act implementation competent authority; Falkland Islands algorithm register public sector AI; Falkland Islands AI regulatory sandbox; Falkland Islands AI procurement public secto	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0F7C93F17A915A0E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json	3856	sha256:a9bd54d6ed93ba49905c6d243b13055b85a81213131ec4e0dbea571367c9a880	algorithm or AI register entry,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0F98B74B829A5E52	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	2050	sha256:1ff6fcaed2ce08cebcc157788f483f680f0eb84c9a698bcc7ff05fd1d2c33f63	14,SG,Singapore,I05,,2,M,1,M,,true,,Current I05 sources are weak substitutes: AI Verify and PDPC guidance support transparency/assurance practice but do not establish a public algorithm register or official algorithmic-transparency records repository. Public p	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0FC080018B5A6941	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	2455	sha256:5bcfb20d2cad2a5d8d919dab6200e90140a33b01a2657b44ca82ad370a05fe02	"pallas-readiness-sprint-3,PE,Peru,I05,""PCM: Perú reafirma compromiso con la integridad, lucha anticorrupción y confianza ciudadana priorizando publicación y uso de datos abiertos"",Presidencia del Consejo de Ministros,https://www.gob.pe/institucion/pcm/noticias"	needs direct source, source-pack resolution, or translation-aware review before example promotion
