queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-01393	LIMEN-SIGNAL-E1E3D10728BA4290	source_url_extracted	https://www.turkiye.gov.tr/dijital-asistan	Dijital Asistan	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/facts.jsonl:733	agent manifest name resolves to explicit source_url in local facts	bounded source-surface pointer only	open bounded direct source-surface review
BPSE-01394	LIMEN-SIGNAL-E1FC1E542FFB53F8	parent_source_wrapper		Bhutan I08 source-pack: e-GP; Bhutan AIRA procurement finding	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv:2874-2875	country profile maps to multiple I08 source-pack parents; human must choose	source-pack wrapper only	choose one parent source before direct review
BPSE-01395	LIMEN-SIGNAL-E2200EE2184728A3	parent_source_wrapper		Turks and Caicos I05 source-pack: government algorithm search; telecom public register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv:2580-2581	country score row maps to multiple negative/context source-pack parents	source-pack wrapper only	choose one parent source before direct review
BPSE-01396	LIMEN-SIGNAL-E23579ECA38B6C7D	parent_source_wrapper		NL Tax FSV source bundle: AP, parliamentary annexes, KPMG, NSOB	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/trace-x/cases/nl-tax-fsv/case-study.md:17	case-study line cites a bundle of parent sources rather than one URL	source-bundle wrapper only	human select AP/parliamentary/NSOB parent source
BPSE-01397	LIMEN-SIGNAL-E23E33AF5598D86C	parent_source_wrapper		Chad I05 source-pack: presidency/ADETIC/government transparency checks	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:733-734	research-queue country gap maps to multiple I05 source-pack parents	source-pack wrapper only	choose one parent source before direct review
BPSE-01398	LIMEN-SIGNAL-E23E8F04CF163C4C	source_surface_only_no_case		Nekropolis paper maintenance note	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/notes.md:74	local paper-provenance maintenance note; no public parent source URL	internal provenance only	no parent-source extraction
BPSE-01399	LIMEN-SIGNAL-E24542E7FBFB4DEE	parent_source_wrapper		Finland I03 source-pack: EU AI Board sandbox representation; FIN-FSA Innovation HelpDesk	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md:471; source-pack rows FI I03 in PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:22-23	weak-warning points to multiple sandbox-context parent sources	source-pack wrapper only	choose one parent source before direct review
BPSE-01400	LIMEN-SIGNAL-E2636A7153A6C21A	source_surface_only_no_case		Nekropolis cross-source pattern prose	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-count-consistency-20260519T174226Z.md:200	method prose compares source families; no concrete parent source URL	internal/prose surface only	no parent-source extraction
BPSE-01401	LIMEN-SIGNAL-E26455662C8ADF7B	source_surface_only_no_case		Claim-support pruning note	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-pruned-for-estonia-paper-v0.3.md:34	claim bucket name only; no public parent source URL	internal planning surface only	no parent-source extraction
BPSE-01402	LIMEN-SIGNAL-E26CD97DBAFECC39	parent_source_wrapper		Italy I05 sources checked: AgID AI guidance consultation; national AI strategy	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md:660	warning names multiple checked parent sources but no single URL in row	source-pack wrapper only	choose one parent source before direct review
BPSE-01403	LIMEN-SIGNAL-E26DF3F41343E966	source_surface_only_no_case		Nekropolis corpus expansion prompt	/srv/tyche/gaia/tyche-research-vault/notes/nekropolis-corpus-expansion-codex-prompt-2026-05-22.md:50	task prompt and corpus-family counts; no public parent source URL	internal prompt only	no parent-source extraction
BPSE-01404	LIMEN-SIGNAL-E26F02E93BAF3DF3	source_surface_only_no_case		Project paper lab matrix lane entry	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/programme/project-paper-lab-matrix-v0.1.json:80	running-lab planning row; no public parent source URL	internal programme metadata only	no parent-source extraction
BPSE-01405	LIMEN-SIGNAL-E272783FC9F04D51	source_surface_only_no_case		Nekropolis release profile manifest	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/release-current-candidate-rebuild-20260519T170300Z.json:186	release-profile metadata points to local candidate state, not a public parent source	internal release metadata only	no parent-source extraction
BPSE-01406	LIMEN-SIGNAL-E27784B7E1988DF6	source_url_extracted	https://www.flocksafety.com/products/flock-nova	Flock Nova	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/facts.jsonl:48	agent manifest name resolves to explicit source_url in local facts	bounded source-surface pointer only	open bounded direct source-surface review
BPSE-01407	LIMEN-SIGNAL-E27D5D28AE21FC2D	parent_source_wrapper		Finland I10 source-pack: Information Management Act; EU AI Act; TEM supervision project	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:33-35	score-delta row maps to multiple I10 lifecycle-evidence parent sources	source-pack wrapper only	choose one parent source before direct review
