source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://nezamat.ir/%D8%B3%D9%86%D8%AF-%D9%85%D9%84%DB%8C-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C-%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86	1	LIMEN-SIGNAL-7BBCE071CEA44A13	bulk_named_source_autoresolve	nezamat.ir	https://nezamat.ir/%D8%B3%D9%86%D8%AF-%D9%85%D9%84%DB%8C-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C-%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86/	nezamat.ir	AI evidence	Local metadata points toward an underlying source but does not expose one named reviewable surface yet.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://nezamat.ir/%D9%85%D8%B5%D9%88%D8%A8%D9%87-%D8%AA%DA%A9%D9%85%DB%8C%D9%84-%D8%AA%D8%B1%DA%A9%DB%8C%D8%A8-%D8%B4%D9%88%D8%B1%D8%A7%DB%8C-%D9%85%D9%84%DB%8C-%D8%B1%D8%A7%D9%87%D8%A8%D8%B1%DB%8C-%D9%87%D9%88%D8%B4	1	LIMEN-SIGNAL-F1AC2F7FB0AFAA62	bulk_parent_source_extraction	nezamat.ir	https://nezamat.ir/%D9%85%D8%B5%D9%88%D8%A8%D9%87-%D8%AA%DA%A9%D9%85%DB%8C%D9%84-%D8%AA%D8%B1%DA%A9%DB%8C%D8%A8-%D8%B4%D9%88%D8%B1%D8%A7%DB%8C-%D9%85%D9%84%DB%8C-%D8%B1%D8%A7%D9%87%D8%A8%D8%B1%DB%8C-%D9%87%D9%88%D8%B4/	مصوبه تکمیل ترکیب شورای ملی راهبری هوش مصنوعی	AI evidence	JSON seed object has explicit title and url fields adjacent to the target line.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://nist.gov/news-events/news/2026/02/announcing-ai-agent-standards-initiative-interoperable-and-secure	1	LIMEN-SIGNAL-39F8856237022AB6	bulk_named_source_autoresolve	nist.gov	https://www.nist.gov/news-events/news/2026/02/announcing-ai-agent-standards-initiative-interoperable-and-secure	nist.gov	C2PA	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://njt.jog.gov.hu/jogszabaly/2023-103-00-00	1	LIMEN-SIGNAL-C90446E3B915DED8	bulk_translation_parent_source_extraction	njt.jog.gov.hu	https://njt.jog.gov.hu/jogszabaly/2023-103-00-00	Act CIII of 2023 on the digital state and digital services / Nemzeti Jogszabálytár	AI evidence	Local refresh row explicitly gives national statutory source URL; row is context-only, not AI case evidence.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://nrb.org.np/psd/consultative-document-on-guidelines-on-the-regulatory-sandbox	1	LIMEN-SIGNAL-D1013318057B277F	bulk_parent_source_extraction	nrb.org.np	https://www.nrb.org.np/psd/consultative-document-on-guidelines-on-the-regulatory-sandbox/	Consultative Document on Guidelines on the Regulatory Sandbox	regulatory sandbox	Profile names the I03 consultative document; source refresh gives the official NRB publication URL and companion PDF.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://nsonepal.gov.np	1	LIMEN-SIGNAL-BAEEA2782AE8FB1C	bulk_named_source_autoresolve	nsonepal.gov.np	https://nsonepal.gov.np/	nsonepal.gov.np	regulatory sandbox	Local row is a source-pack/proxy/adjacent artifact; extract the named direct source surface first.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://nyulawglobal.org/globalex/united_arab_emirates1.html	1	LIMEN-SIGNAL-EE2F6019FE96D28D	bulk_named_source_autoresolve	nyulawglobal.org	https://www.nyulawglobal.org/globalex/united_arab_emirates1.html#united-arab-emirates-legal-system	nyulawglobal.org	deepfake	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://odpc.go.ke/wp-content/uploads/2024/02/TheDataProtectionAct__No24of2019.pdf	1	LIMEN-SIGNAL-28C04D56549BEE41	bulk_named_source_autoresolve	odpc.go.ke	https://www.odpc.go.ke/wp-content/uploads/2024/02/TheDataProtectionAct__No24of2019.pdf	odpc.go.ke	regulatory sandbox	Local metadata is a proxy/index/wrapper that points toward a source but does not expose a named reviewable surface here.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://ogtic.gob.do/servicios/autorizacion-de-proyectos-de-transformacion-digital-y-o-compras-tic	1	LIMEN-SIGNAL-F8C6BA35934779E9	bulk_parent_source_extraction	ogtic.gob.do	https://ogtic.gob.do/servicios/autorizacion-de-proyectos-de-transformacion-digital-y-o-compras-tic/	Autorización de Proyectos de Transformación Digital y/o Compras TIC	AI procurement	Review row names OGTIC no-objection service; source-refresh row gives official service URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://ojk.go.id/en/fungsi-utama-itsk/regulatory-sandbox/default.aspx	1	LIMEN-SIGNAL-069F03259C0E701B	bulk_parent_source_extraction	ojk.go.id	https://www.ojk.go.id/en/fungsi-utama-itsk/regulatory-sandbox/default.aspx	Regulatory Sandbox - Portal OJK	regulatory sandbox	Profile line names OJK Regulatory Sandbox; local source-refresh row gives official OJK sandbox URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
