as_of_utc	family_id	source_family	priority	route_rank	shared_claim_targets	shared_claim_count	claim_coverage_state	manuscript_or_visual_targets	dashboard_hook	claim_support_role	thin_family_flag	figure1_role	evidence_use_band	next_verification_move	reviewer_safe_router_note
2026-06-08T09:46:33Z	sf08	Court and tribunal records	P0	1	LIMEN-C-010	1	direct_shared_claim_anchor	Table 1A; Figure 8; procedural-posture timeline	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.	Top-priority hostile-reviewer blocker because stronger court text would immediately harden the authoritative shared claims layer.	yes	route_b_blocker	highest_authority_event_anchor	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix.	Shared-claims-bearing family now; reuse only with the named claim IDs, attached table/figure surfaces, and the exact blocker-cell overlay in results/boost/limen-boost-025/source-family-blocker-observatory-cells.tsv:SFOC-025-001..002.
2026-06-08T12:47:34Z	sf09	Public-sector registers and procurement	P1	2	LIMEN-C-012	1	direct_shared_claim_anchor	Table 1B; public-sector disclosure asymmetry panel	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel; public-sector proof-ceiling comparator; governance/planning follow-through note.	Core public-sector disclosure family for the shared public-sector package, now spanning register, regulator-document, official project-plus-EU companion, exact-row legal-basis-chain, and exact-row official planning-document subtypes.	yes	route_b_blocker	public_sector_disclosure_surface	Add one buyer-side tender, award, contract, or public impact-assessment companion for Amsterdam or Helsinki, or one later official operational, DPIA, procurement, implementation, or outcome surface for the Danish AI-SU chain, while keeping the family bounded at disclosure-surface heterogeneity rather than procurement/deployment proof.	Shared-claims-bearing family now; keep the five-row public-sector denominator explicit while noting that later same-row strengthening already added a Slovenian police-plus-CORDIS companion pair plus a Danish legal-basis-and-taskforce chain, and keep the exact blocker-cell overlay in results/boost/limen-boost-025/source-family-blocker-observatory-cells.tsv:SFOC-025-003..004 attached on reuse surfaces.
2026-06-08T12:00:37Z	sf11	Security research and advisories	P1	3	LIMEN-C-007	1	direct_shared_claim_anchor	Table 6; security authority-balance and remediation-visibility panels	Security-source authority matrix; advisory-to-CVE linkage graph; remediation-visibility overlay; Route-B security hardening panel.	Core security family for the shared agentic-security package and a Route-B blocker with one remaining family-level peer-reviewed gap plus a bounded three-row trust-boundary slice spanning ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row.	yes	route_b_blocker	security_mechanism_and_coordination_layer	Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, treat Langflow exact-vendor-remediation notice depth as the fastest same-row hardening move and keep the current three-row trust-boundary slice explicitly bounded at ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row until a second non-MCP exemplar or stronger independent attachment appears.	Shared-claims-bearing family now; keep the 3 / 7 / 1 / 1 state, the single remaining peer-reviewed gap, the bounded three-row trust-boundary slice, and the exact blocker-cell overlay in results/boost/limen-boost-025/source-family-blocker-observatory-cells.tsv:SFOC-025-005 explicit on reuse surfaces.
2026-06-08T09:46:33Z	sf13	Academic and research-integrity sources	P1	4	LIMEN-C-008	1	direct_shared_claim_anchor	Table 1E; research-integrity source-depth panel	Research-integrity dashboard facet; publisher-notice upgrade funnel; scholarly-integrity timeline; Route-A limitations panel.	Core research-integrity/procedural-contamination family for the shared source-depth package.	yes	route_a_guardrail	research_integrity_limitations_layer	Probe one blocked or mediated row for direct publisher notice text while preserving the four current family-depth classes and keeping weak specialist/platform-gated rows explicitly below direct-notice grade.	Shared-claims-bearing family now; reuse only with the named claim IDs, attached table/figure surfaces, and the exact blocker-cell overlay in results/boost/limen-boost-025/source-family-blocker-observatory-cells.tsv:SFOC-025-006.
2026-06-07T22:37:49Z	sf06	CSET AI Harm taxonomy / overview	P1	5		0	no_shared_claim_yet_methods_or_comparator_only	Related-work appendix; harm-taxonomy note	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.	Appendix-only methods/related-work support; not a shared empirical claim family.	no	route_a_guardrail	appendix_only_manual_overlay	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Methods/comparator family only; useful for framing, crosswalks, or taxonomy context, not for event-truth claims.
2026-06-08T05:43:24Z	sf07	Regulator and enforcement sources	P0	6	LIMEN-C-004A; LIMEN-C-004B; LIMEN-C-005; LIMEN-C-009; LIMEN-C-010; LIMEN-C-011; LIMEN-C-015; LIMEN-C-017; LIMEN-C-018	9	direct_shared_claim_anchor	Table 1A; Figure 8; authoritative evidence matrix	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Core authoritative-event family for the shared authoritative package; also spills into narrower slice claims where regulator text is the top authority.	no	supporting_empirical_or_discovery_layer	authoritative_event_support	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Shared-claims-bearing family now; carry the named claim IDs so regulator-response, AI-washing, and detector-governance prose does not collapse into the older two-claim authoritative shorthand.
2026-06-07T22:37:49Z	sf12	Reputable multilingual media and investigations	P1	7	LIMEN-C-013	1	direct_shared_claim_anchor	Table 1D; Figure 6; language-coverage methods note	Jurisdiction/language map; lead-to-authority upgrade funnel; rare-language methods note.	Core multilingual discovery-and-coverage family for the shared multilingual package, with explicit translation-review caution.	no	supporting_empirical_or_discovery_layer	discovery_and_local_context_layer	Resolve one additional direct source from Finland, Lithuania, or Estonia and record whether the stronger authority comes from broadcaster, police, court, or agency sources.	Shared-claims-bearing family now; reuse only with the named claim IDs and table/figure surfaces attached.
2026-06-07T22:37:49Z	sf04	MITRE ATLAS	P0	8		0	indirect_shared_package_support	Table 6A comparator package; security/agentic crosswalk heatmap	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.	Technique-context comparator support for security writing, but no current shared claim ID depends on ATLAS alone.	no	maintenance_comparator	technique_context_comparator	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Support family only; may strengthen a shared package but should not be narrated as the decisive claim anchor by itself.
2026-06-07T22:37:49Z	sf03	AI Vulnerability Database (AVID)	P0	9		0	indirect_shared_package_support	Table 6A comparator package; security interoperability appendix	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.	Reviewer-safe interoperability/control surface for security and comparator writing, but no current shared claim ID depends on AVID alone.	no	maintenance_comparator	structured_security_comparator	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Support family only; may strengthen a shared package but should not be narrated as the decisive claim anchor by itself.
2026-06-07T22:37:49Z	sf05	MIT AI Risk Repository	P0	10		0	no_shared_claim_yet_methods_or_comparator_only	Taxonomy heatmap methods note; residual-category overlay	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators.	Methods/taxonomy support only; not yet elevated to the shared claims layer.	no	maintenance_comparator	taxonomy_methods_only	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language.	Methods/comparator family only; useful for framing, crosswalks, or taxonomy context, not for event-truth claims.
