jurisdiction	language	lineage_count	strongest_evidence_tier	publication_confidence_mix	translation_review_needed_count	map_status_mix	representative_lineage_keys	join_rule	observatory_interpretation
CA	en	1	T3_authoritative_source	high:1	0	include:1	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	count only collapsed lineage_key or normalized_record_key; never bare local case_id	Dashboard-safe visibility surface after duplicate collapse and confidence-cap separation; not prevalence or completeness.
Estonia	et	1	T1_single_public_source	low:1	1	show_only_if_caution_overlay_present:1	CLUSTER-DERIVATIVE-LMWCS-20260606-006	count only collapsed lineage_key or normalized_record_key; never bare local case_id	Dashboard-safe visibility surface after duplicate collapse and confidence-cap separation; not prevalence or completeness.
Finland	fi	2	T1_single_public_source	low:2	2	show_only_if_caution_overlay_present:2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002; CLUSTER-DERIVATIVE-LMWCS-20260606-001	count only collapsed lineage_key or normalized_record_key; never bare local case_id	Dashboard-safe visibility surface after duplicate collapse and confidence-cap separation; not prevalence or completeness.
Global	English	5	T3_authoritative_source	high:4; low:1	0	include:4; show_only_if_caution_overlay_present:1	data/cases/security-agentic-candidates.jsonl:LIMEN-000001; data/cases/security-agentic-candidates.jsonl:LIMEN-000003; data/cases/security-agentic-candidates.jsonl:LIMEN-000004; REVIEW-NOMERGE-CREWAI-001; data/cases/security-agentic-candidates.jsonl:LIMEN-000002	count only collapsed lineage_key or normalized_record_key; never bare local case_id	Dashboard-safe visibility surface after duplicate collapse and confidence-cap separation; not prevalence or completeness.
Italy	it	1	T3_authoritative_source	high:1	0	include:1	data/cases/authoritative-candidates.jsonl:LIMEN-000001	count only collapsed lineage_key or normalized_record_key; never bare local case_id	Dashboard-safe visibility surface after duplicate collapse and confidence-cap separation; not prevalence or completeness.
Lithuania	lt	1	T1_single_public_source	low:1	1	show_only_if_caution_overlay_present:1	CLUSTER-DERIVATIVE-LMWCS-20260606-003	count only collapsed lineage_key or normalized_record_key; never bare local case_id	Dashboard-safe visibility surface after duplicate collapse and confidence-cap separation; not prevalence or completeness.
Slovenia	sl	2	T3_authoritative_source_direct_url_resolved	medium:1; low:1	2	include_with_caution:1; show_only_if_caution_overlay_present:1	CLUSTER-DERIVATIVE-LMWCS-20260606-005; CLUSTER-DERIVATIVE-LMWCS-20260606-004	count only collapsed lineage_key or normalized_record_key; never bare local case_id	Dashboard-safe visibility surface after duplicate collapse and confidence-cap separation; not prevalence or completeness.
United Kingdom	en	2	T3_authoritative_source	high:2	0	include:2	data/cases/authoritative-candidates.jsonl:LIMEN-000003; data/cases/authoritative-candidates.jsonl:LIMEN-000004	count only collapsed lineage_key or normalized_record_key; never bare local case_id	Dashboard-safe visibility surface after duplicate collapse and confidence-cap separation; not prevalence or completeness.
United States	en	1	T3_authoritative_source	high:1	0	include:1	data/cases/authoritative-candidates.jsonl:LIMEN-000002	count only collapsed lineage_key or normalized_record_key; never bare local case_id	Dashboard-safe visibility surface after duplicate collapse and confidence-cap separation; not prevalence or completeness.
US	en	2	T3_authoritative_source	high:2	0	include:2	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002; results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	count only collapsed lineage_key or normalized_record_key; never bare local case_id	Dashboard-safe visibility surface after duplicate collapse and confidence-cap separation; not prevalence or completeness.
