signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-1A02CE7B5E802BBF	source_reviewed_candidate	official_guidance_page	Local claim-support table points to a concrete official AESIA guidance page.	Surface existence and source-role only; no incident truth, legality, compliance, safety, prevalence, deployment, or ranking claim.	Open the named source surface for bounded source review.	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-v0.2.md
LIMEN-SIGNAL-1A1567B2A6085178	merge_existing_surface	already_modeled_surface_duplicate	Row points to an already-modeled register/sandbox surface and should be deduplicated.	Duplicate/direct-surface pointer only; do not promote as a new independent source.	Deduplicate into the already-modeled source surface.	/srv/tyche/projects/public-ai-registry/sources/sources.md
LIMEN-SIGNAL-1A17CB4CE8880F49	merge_existing_surface	existing_surface_pointer	Row points to an already-modeled register/sandbox surface and should be deduplicated.	Duplicate/direct-surface pointer only; do not promote as a new independent source.	Deduplicate into the already-modeled source surface.	/srv/tyche/projects/public-ai-procurement-gap/journal.md
LIMEN-SIGNAL-1A230DDFA4708B36	merge_existing_surface	existing_surface_pointer	Row points to an already-modeled register/sandbox surface and should be deduplicated.	Duplicate/direct-surface pointer only; do not promote as a new independent source.	Deduplicate into the already-modeled source surface.	/srv/tyche/projects/public-ai-registry/data/record-level-depth-audit-v0.11.csv
LIMEN-SIGNAL-1A24A58D38067E15	needs_named_source_extraction	adjacent_artifact_proxy	Local row points toward an underlying source but does not yet expose a named reviewable surface.	Underlying source may exist, but this row does not yet expose a named reviewable surface.	Extract the named official/source title or URL before source review.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/adjudication-batches/20260614T0820Z/batch-adjudication.tsv
LIMEN-SIGNAL-1A263B90E52F32B0	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/russian-language-latest.jsonl
LIMEN-SIGNAL-1A277E45202BCBE3	negative_evidence_candidate	search_negative_or_weak_source_warning	Local row records a search-negative, gap, or weak-source warning.	Search-negative or evidence-limit signal only; not proof of absence, legality, compliance, prevalence, or ranking.	Keep as bounded negative-evidence lead; do not promote as a direct source.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-1A29A2113057116B	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-international-20260603T133212Z
LIMEN-SIGNAL-1A30EC30C0545189	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z
LIMEN-SIGNAL-1A315F65F5978BA3	merge_existing_surface	existing_surface_pointer	Row points to an already-modeled register/sandbox surface and should be deduplicated.	Duplicate/direct-surface pointer only; do not promote as a new independent source.	Deduplicate into the already-modeled source surface.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-curated.json
LIMEN-SIGNAL-1A3BDEA4BBEFEECE	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-026/threshold-frontier-recheck.tsv
LIMEN-SIGNAL-1A4229EE347319F9	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-section9-6-10-release-normalized-label-consistency-20260522T162204Z.json
LIMEN-SIGNAL-1A497C9C4462AA11	merge_existing_surface	already_modeled_surface_duplicate	Row points to an already-modeled register/sandbox surface and should be deduplicated.	Duplicate/direct-surface pointer only; do not promote as a new independent source.	Deduplicate into the already-modeled source surface.	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-022/field-coding-subset-materialization-v0.1.csv
LIMEN-SIGNAL-1A4CEC8469014915	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/precision/precision-at-20-books-theory.csv
LIMEN-SIGNAL-1A5092A07573927F	needs_named_source_extraction	country_queue_proxy	Local row points toward an underlying source but does not yet expose a named reviewable surface.	Underlying source may exist, but this row does not yet expose a named reviewable surface.	Extract the named official/source title or URL before source review.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-1A53BEBB0D759A79	needs_named_source_extraction	metadata_wrapper	Local row points toward an underlying source but does not yet expose a named reviewable surface.	Underlying source may exist, but this row does not yet expose a named reviewable surface.	Extract the named official/source title or URL before source review.	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-125-20260603T0511/source_documents.jsonl
LIMEN-SIGNAL-1A5438492121F673	needs_named_source_extraction	country_queue_proxy	Local row points toward an underlying source but does not yet expose a named reviewable surface.	Underlying source may exist, but this row does not yet expose a named reviewable surface.	Extract the named official/source title or URL before source review.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-1A546E853EB93AFD	negative_evidence_candidate	search_negative_or_weak_source_warning	Local row records a search-negative, gap, or weak-source warning.	Search-negative or evidence-limit signal only; not proof of absence, legality, compliance, prevalence, or ranking.	Keep as bounded negative-evidence lead; do not promote as a direct source.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193348Z/claim-support-curated.json
LIMEN-SIGNAL-1A5731FF8A61CA2F	needs_named_source_extraction	country_queue_proxy	Local row points toward an underlying source but does not yet expose a named reviewable surface.	Underlying source may exist, but this row does not yet expose a named reviewable surface.	Extract the named official/source title or URL before source review.	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-1A5AEACB6C904BBE	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl
LIMEN-SIGNAL-1A5F1A64B4740B49	source_reviewed_candidate	institutional_procurement_guidance_surface	Local source pack names a concrete Finnish public procurement guidance surface.	Surface existence and source-role only; no incident truth, legality, compliance, safety, prevalence, deployment, or ranking claim.	Open the named source surface for bounded source review.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv
LIMEN-SIGNAL-1A610343F4D6FF60	negative_evidence_candidate	search_negative_or_weak_source_warning	Local row records a search-negative, gap, or weak-source warning.	Search-negative or evidence-limit signal only; not proof of absence, legality, compliance, prevalence, or ranking.	Keep as bounded negative-evidence lead; do not promote as a direct source.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-1A61C53D3B24121E	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/pallas/pallas-ai-agent-observatory/config/release_boundary.yml
LIMEN-SIGNAL-1A65B8CBEB728CCA	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/submission-preprint-packages/atlas-preprint-package-20260606T204009Z/sources/preprint-claim-verification-latest.json
LIMEN-SIGNAL-1A66E15099FCA7FE	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-packages/tyche-thesis-atlas-v0.2.3-preprint/analysis/evidence-package/ai-evidence-package-profile-v0.2.md
LIMEN-SIGNAL-1A6966DC7AAC14E0	source_reviewed_candidate	institutional_procurement_guidance_surface	Local export names a concrete official assessment PDF and URL.	Surface existence and source-role only; no incident truth, legality, compliance, safety, prevalence, deployment, or ranking claim.	Open the named source surface for bounded source review.	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1516EEST/data/exports/global-agent-atlas-laws-v0.1.csv
LIMEN-SIGNAL-1A6D9F5290A73D33	negative_evidence_candidate	search_negative_or_weak_source_warning	Local row records a search-negative, gap, or weak-source warning.	Search-negative or evidence-limit signal only; not proof of absence, legality, compliance, prevalence, or ranking.	Keep as bounded negative-evidence lead; do not promote as a direct source.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv
LIMEN-SIGNAL-1A6FB7DD69648F60	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/russian-language-history.jsonl
LIMEN-SIGNAL-1A7637E188A3821E	merge_existing_surface	already_modeled_surface_duplicate	Row points to an already-modeled register/sandbox surface and should be deduplicated.	Duplicate/direct-surface pointer only; do not promote as a new independent source.	Deduplicate into the already-modeled source surface.	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-015/normalized-long-export-pilot-v0.1.csv
LIMEN-SIGNAL-1A786C43EAD4E512	negative_evidence_candidate	search_negative_or_weak_source_warning	Local row records a search-negative, gap, or weak-source warning.	Search-negative or evidence-limit signal only; not proof of absence, legality, compliance, prevalence, or ranking.	Keep as bounded negative-evidence lead; do not promote as a direct source.	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/analysis/country-readiness/pallas-country-ai-readiness-indicators-v0.2.csv
LIMEN-SIGNAL-1A81E9611A46A99A	negative_evidence_candidate	search_negative_or_weak_source_warning	Local row records a search-negative, gap, or weak-source warning.	Search-negative or evidence-limit signal only; not proof of absence, legality, compliance, prevalence, or ranking.	Keep as bounded negative-evidence lead; do not promote as a direct source.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-1A85DFFC4DFEB5B8	merge_existing_surface	existing_surface_pointer	Row is a duplicate or derivative pointer to an already-modeled source surface.	Duplicate/direct-surface pointer only; do not promote as a new independent source.	Deduplicate into the already-modeled source surface.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-facts-latest.jsonl
LIMEN-SIGNAL-1A87E6807FC7532D	negative_evidence_candidate	search_negative_or_weak_source_warning	Local row is a weak-source warning that the cited surface is not the claimed register.	Search-negative or evidence-limit signal only; not proof of absence, legality, compliance, prevalence, or ranking.	Keep as bounded negative-evidence lead; do not promote as a direct source.	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-1A8994C48CAE0D68	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z
LIMEN-SIGNAL-1A8DF98F5399CECF	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/projects/public-ai-procurement-gap/methods/coding-manual-v0.1.md
LIMEN-SIGNAL-1A95FAF9ED300443	merge_existing_surface	already_modeled_surface_duplicate	Row points to an already-modeled register/sandbox surface and should be deduplicated.	Duplicate/direct-surface pointer only; do not promote as a new independent source.	Deduplicate into the already-modeled source surface.	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/authority-buyer-control-audit-v0.3.csv
LIMEN-SIGNAL-1A990C43FC84B351	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-1A9C41C3159BA4B9	negative_evidence_candidate	search_negative_or_weak_source_warning	Local row records a search-negative, gap, or weak-source warning.	Search-negative or evidence-limit signal only; not proof of absence, legality, compliance, prevalence, or ranking.	Keep as bounded negative-evidence lead; do not promote as a direct source.	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-1A9D732EC0906AA4	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-packages/tyche-thesis-atlas-v0.2.3-preprint/analysis/evidence-package/ai-evidence-package-profile-v0.2.md
LIMEN-SIGNAL-1A9D9BAC4E1B6EA1	needs_named_source_extraction	country_queue_proxy	Local row points toward an underlying source but does not yet expose a named reviewable surface.	Underlying source may exist, but this row does not yet expose a named reviewable surface.	Extract the named official/source title or URL before source review.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-1AA13C6A889704F6	reject_noise	internal_derived_artifact	Local row is an internal manuscript/config/script/derived artifact, not a direct source surface.	Internal/derived artifact only; not a direct source surface.	Remove from the direct-source queue or keep only as supporting notes.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/russian-language-latest.jsonl
LIMEN-SIGNAL-1AB7164FA95E707F	merge_existing_surface	existing_surface_pointer	Seed/config row duplicates the ANPD sandbox notice already surfaced elsewhere in the batch.	Duplicate/direct-surface pointer only; do not promote as a new independent source.	Deduplicate into the already-modeled source surface.	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z
LIMEN-SIGNAL-1ABEC73055893430	negative_evidence_candidate	search_negative_or_weak_source_warning	Local row records a search-negative, gap, or weak-source warning.	Search-negative or evidence-limit signal only; not proof of absence, legality, compliance, prevalence, or ranking.	Keep as bounded negative-evidence lead; do not promote as a direct source.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv
LIMEN-SIGNAL-1AC1281608BC46B1	negative_evidence_candidate	search_negative_or_weak_source_warning	Local row records a search-negative, gap, or weak-source warning.	Search-negative or evidence-limit signal only; not proof of absence, legality, compliance, prevalence, or ranking.	Keep as bounded negative-evidence lead; do not promote as a direct source.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv
LIMEN-SIGNAL-1AC381674CEDF2C1	merge_existing_surface	already_modeled_surface_duplicate	Row points to an already-modeled register/sandbox surface and should be deduplicated.	Duplicate/direct-surface pointer only; do not promote as a new independent source.	Deduplicate into the already-modeled source surface.	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-020/source-role-flow-figure-v1.csv
