generated_at_utc	category_code	snapshot_seed_case_count	dashboard_seed_case_count	live_core_seed_case_count	snapshot_to_dashboard_delta	dashboard_vs_live_delta	snapshot_authoritative_seed_count	dashboard_authoritative_seed_count	live_core_authoritative_seed_count	snapshot_to_dashboard_authoritative_delta	dashboard_vs_live_authoritative_delta	dashboard_live_denominator_contract	expected_live_denominator_contract	contract_state	row_state	notes
2026-06-08T13:55:22Z	unlawful_or_allegedly_unlawful_use	5	6	6	1	0	3	4	4	1	0	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	matches_live_contract	current	dashboard exceeds 2026-06-07 paper snapshot after duplicate-governance refresh; dashboard denominator matches live duplicate-governance contract; dashboard counts match live core category counts
2026-06-08T13:55:22Z	security_risk	9	11	11	2	0	8	10	10	2	0	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	matches_live_contract	current	dashboard exceeds 2026-06-07 paper snapshot after duplicate-governance refresh; dashboard denominator matches live duplicate-governance contract; dashboard counts match live core category counts
2026-06-08T13:55:22Z	agentic_control_failure	9	11	11	2	0	8	10	10	2	0	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	matches_live_contract	current	dashboard exceeds 2026-06-07 paper snapshot after duplicate-governance refresh; dashboard denominator matches live duplicate-governance contract; dashboard counts match live core category counts
2026-06-08T13:55:22Z	institutional_absurdity	3	3	3	0	0	0	0	0	0	0	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	matches_live_contract	current	dashboard denominator matches live duplicate-governance contract; dashboard counts match live core category counts
2026-06-08T13:55:22Z	public_sector_misuse_or_gap	7	8	8	1	0	4	5	5	1	0	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	matches_live_contract	current	dashboard exceeds 2026-06-07 paper snapshot after duplicate-governance refresh; dashboard denominator matches live duplicate-governance contract; dashboard counts match live core category counts
2026-06-08T13:55:22Z	deepfake_or_synthetic_identity	3	3	3	0	0	1	1	1	0	0	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	matches_live_contract	current	dashboard denominator matches live duplicate-governance contract; dashboard counts match live core category counts
2026-06-08T13:55:22Z	legal_procedural_contamination	2	3	3	1	0	1	2	2	1	0	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	matches_live_contract	current	dashboard exceeds 2026-06-07 paper snapshot after duplicate-governance refresh; dashboard denominator matches live duplicate-governance contract; dashboard counts match live core category counts
2026-06-08T13:55:22Z	health_medical_or_mental_health	0	0	0	0	0	0	0	0	0	0	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	matches_live_contract	current	dashboard denominator matches live duplicate-governance contract; dashboard counts match live core category counts
2026-06-08T13:55:22Z	education_workplace_or_hr	4	6	6	2	0	3	5	5	2	0	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	matches_live_contract	current	dashboard exceeds 2026-06-07 paper snapshot after duplicate-governance refresh; dashboard denominator matches live duplicate-governance contract; dashboard counts match live core category counts
2026-06-08T13:55:22Z	finance_insurance_or_market	2	2	2	0	0	2	2	2	0	0	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	matches_live_contract	current	dashboard denominator matches live duplicate-governance contract; dashboard counts match live core category counts
