queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-01081	LIMEN-SIGNAL-C9776AA54CBCE58C	country_gap_no_parent_source		Bouvet Island observability search-target row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:89	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01082	LIMEN-SIGNAL-CA6687C85D2A97DD	country_gap_no_parent_source		Armenia observability search-target row	OBSERVABILITY_RESEARCH_QUEUE.csv:30	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01083	LIMEN-SIGNAL-CA98C848FF476B08	country_gap_no_parent_source		Saudi Arabia observability search-target row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:9	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01084	LIMEN-SIGNAL-CABA6DA372A10B70	country_gap_no_parent_source		Faroe Islands observability search-target row	OBSERVABILITY_RESEARCH_QUEUE.csv:34	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01085	LIMEN-SIGNAL-CB139B9A36788F39	country_gap_no_parent_source		Laos observability search-target row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:19	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01086	LIMEN-SIGNAL-CB56E14460EAFBD2	country_gap_no_parent_source		Saint Vincent and the Grenadines readiness profile	PALLAS_READINESS_SPRINT_3_COUNTRY_MATRIX.csv:48	Country readiness/profile score row contains findings but no concrete parent URL.	processing-state profile only; no direct source claim	leave as profile row; extract only if local evidence ledger names a URL
BPSE-01087	LIMEN-SIGNAL-CB63F332508E0723	parent_source_wrapper		Bahamas Information GPTs atlas entry	v02-gap-sprint.json:3693-3708	Atlas entry names an agent and target evidence categories but includes no source_url at local context.	source-surface existence unresolved; no case/truth claim	human/source-pack pass must identify the actual parent source
BPSE-01088	LIMEN-SIGNAL-CBD0F369E7B49D6E	country_gap_no_parent_source		Bulgaria observability search-target row	OBSERVABILITY_RESEARCH_QUEUE.csv:31	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01089	LIMEN-SIGNAL-CC017E0B37CA9A0C	source_url_extracted	https://www.levelpath.com/	Levelpath | Delightful Procurement. Serious Impact.	facts.json:16623-16643	Local facts entry explicitly provides source_url for the Levelpath AI Agents source.	source-surface/provider-claim review only; no prevalence/legal/safety/compliance finding	review extracted public source surface if still needed
BPSE-01090	LIMEN-SIGNAL-CC371B1A167D21A0	country_gap_no_parent_source		Mauritius I10 second-pass score row	PALLAS_SECOND_PASS_REVIEW_QUEUE.csv:119	Country score candidate cites source families descriptively but no concrete parent URL is present.	processing-state score row only; no direct source claim	leave as score/profile placeholder unless a named local URL is added
BPSE-01091	LIMEN-SIGNAL-CC79064DD7832F8B	country_gap_no_parent_source		San Marino observability search-target row	OBSERVABILITY_RESEARCH_QUEUE.csv:41	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01092	LIMEN-SIGNAL-CCDB2CDAC6976703	country_gap_no_parent_source		Benin observability search-target row	OBSERVABILITY_RESEARCH_QUEUE.csv:47	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01093	LIMEN-SIGNAL-CD0EEA3E208D3D5B	country_gap_no_parent_source		Egypt observability search-target row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:53	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01094	LIMEN-SIGNAL-CD23046E05767086	country_gap_no_parent_source		Nepal observability search-target row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:40	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01095	LIMEN-SIGNAL-CD28A22250737C4A	parent_source_wrapper		Retraction Watch source-family count	paper-section7-source-family-figure-regeneration-20260522T160305Z.json:47-58	Local source-family artifact exposes only counts and row_universe pointer, not a specific notice URL.	wrapper/source-family only; no individual retraction notice claim	human/source-pack pass must select a specific row_universe entry
BPSE-01096	LIMEN-SIGNAL-CD2C5E2293A7A212	country_gap_no_parent_source		Mauritius observability search-target row	OBSERVABILITY_RESEARCH_QUEUE.csv:65	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01097	LIMEN-SIGNAL-CD47B2BA27436659	country_gap_no_parent_source		Tajikistan observability search-target row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:28	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01098	LIMEN-SIGNAL-CDC83DC865717584	country_gap_no_parent_source		San Marino observability search-target row	OBSERVABILITY_RESEARCH_QUEUE.csv:41	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01099	LIMEN-SIGNAL-CDE26AB787C4D096	country_gap_no_parent_source		Uganda observability search-target row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:81	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
BPSE-01100	LIMEN-SIGNAL-CE267B6427761A9D	parent_source_wrapper		SUSESO medical insurance claims machine-learning support atlas entry	v02-gap-sprint.json:3342-3356	Atlas entry names an agent and target evidence categories but includes no source_url at local context.	source-surface existence unresolved; no case/truth claim	human/source-pack pass must identify the actual parent source
BPSE-01101	LIMEN-SIGNAL-CEB14BF7EB2F087D	country_gap_no_parent_source		Montenegro readiness profile	PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:22	Country readiness/profile score row contains findings but no concrete parent URL.	processing-state profile only; no direct source claim	leave as profile row; extract only if local evidence ledger names a URL
BPSE-01102	LIMEN-SIGNAL-CEB3A837CBD744F3	country_gap_no_parent_source		Finland I10 second-pass delta row	PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv:23	Country score delta row cites source families descriptively but no concrete parent URL is present.	processing-state score row only; no direct source claim	leave as score/profile placeholder unless a named local URL is added
BPSE-01103	LIMEN-SIGNAL-CEDA6810291D377E	parent_source_wrapper		Excluded negative controls denominator branch	denominator-funnel-count-derivation-v0.1.csv:3; denominator-limitations-control-v0.1.csv:6-7	Derivation row points to two procurement IDs and a primary artifact with multiple TED URLs; one parent URL cannot be chosen mechanically.	wrapper/branch accounting only; no procurement prevalence or linkage claim	human/source-pack pass must choose the specific procurement notice if needed
BPSE-01104	LIMEN-SIGNAL-CEE868BC4614EAB6	country_gap_no_parent_source		Serbia observability search-target row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:14	Country gap queue row lists generic search targets only; no concrete parent URL present.	processing-state only; source-surface existence not established	leave as gap/profile placeholder unless a named local source is added
