queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02330	LIMEN-SIGNAL-77929964CE95E96E	country_gap_no_parent_source		Poland research-queue search targets	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:151	Research queue lists query strings and preferred source classes, not an explicit source URL.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface from local materials before review
BPSE-02331	LIMEN-SIGNAL-779566952DB9EEF9	country_gap_no_parent_source		Malta research-queue search targets	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:165	Research queue lists query strings and preferred source classes, not an explicit source URL.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface from local materials before review
BPSE-02332	LIMEN-SIGNAL-78533B68D045B30A	source_url_extracted	https://www.lb.lt/en/regulatory-sandbox	Regulatory Sandbox - Bank of Lithuania	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv:2308; /srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:4983-4984; /srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_FOUR_BIN_EVIDENCE_LEDGER.csv:3436	Derived row names Bank of Lithuania sandbox; local rollup/ledger provides explicit URL.	source URL only; adjacent fintech sandbox, not an AI Act sandbox finding	open direct source review for source posture only
BPSE-02333	LIMEN-SIGNAL-78BC879DCBBC092F	country_gap_no_parent_source		Denmark research-queue search targets	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:143	Research queue lists query strings and preferred source classes, not an explicit source URL.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface from local materials before review
BPSE-02334	LIMEN-SIGNAL-78D5FC2ACB2387C6	country_gap_no_parent_source		British Virgin Islands research-queue search targets	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:128	Research queue lists query strings and preferred source classes, not an explicit source URL.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface from local materials before review
BPSE-02335	LIMEN-SIGNAL-79166E6484D096EE	parent_source_wrapper		Israel I05 source pack: AI Guide / OGP action plan / negative register note	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv:1405; /srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv:171-173; /srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:4249-4251	Local source pack lists multiple context/negative-check surfaces; no single parent URL is selectable automatically.	wrapper/source-pack only; no algorithm-register finding	human choose among source-pack rows before direct-source review
BPSE-02336	LIMEN-SIGNAL-7922190246462AC9	country_gap_no_parent_source		South Sudan research-queue search targets	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:104	Research queue lists query strings and preferred source classes, not an explicit source URL.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface from local materials before review
BPSE-02337	LIMEN-SIGNAL-7960EBDFCADEB246	country_gap_no_parent_source		Honduras country profile / indicator metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:14729	Country profile/score metadata has labels, warnings, or summaries but no explicit parent source URL at the cited line.	profile/manifest metadata only; no source-surface or factual claim	resolve underlying named source URL before review
BPSE-02338	LIMEN-SIGNAL-796B9806B9AC0699	country_gap_no_parent_source		French Polynesia research-queue search targets	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:93	Research queue lists query strings and preferred source classes, not an explicit source URL.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface from local materials before review
BPSE-02339	LIMEN-SIGNAL-797903A818A345EF	country_gap_no_parent_source		Grenada research-queue search targets	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:119	Research queue lists query strings and preferred source classes, not an explicit source URL.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface from local materials before review
