queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-01970	LIMEN-SIGNAL-0CEE1018B37CE63D	country_gap_no_parent_source		Denmark observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:143	Country/query-pack placeholder lists search prompts, not a parent source URL.	named source still needs extraction; no direct-source claim	resolve one concrete official/institutional source or keep as gap evidence
BPSE-01971	LIMEN-SIGNAL-0DB5A1A3C0C97B81	country_gap_no_parent_source		Cambodia observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:116	Country/query-pack placeholder lists search prompts, not a parent source URL.	named source still needs extraction; no direct-source claim	resolve one concrete official/institutional source or keep as gap evidence
BPSE-01972	LIMEN-SIGNAL-0DEAC2DDF4E61469	country_gap_no_parent_source		Eritrea observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:118	Country/query-pack placeholder lists search prompts, not a parent source URL.	named source still needs extraction; no direct-source claim	resolve one concrete official/institutional source or keep as gap evidence
BPSE-01973	LIMEN-SIGNAL-0E052B1001F63ECA	country_gap_no_parent_source		Martinique observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:170	Country/query-pack placeholder lists search prompts, not a parent source URL.	named source still needs extraction; no direct-source claim	resolve one concrete official/institutional source or keep as gap evidence
BPSE-01974	LIMEN-SIGNAL-0E0A156193470F03	country_gap_no_parent_source		Lithuania observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:160	Country/query-pack placeholder lists search prompts, not a parent source URL.	named source still needs extraction; no direct-source claim	resolve one concrete official/institutional source or keep as gap evidence
BPSE-01975	LIMEN-SIGNAL-0E476A5EAC522852	country_gap_no_parent_source		Panama observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:175	Country/query-pack placeholder lists search prompts, not a parent source URL.	named source still needs extraction; no direct-source claim	resolve one concrete official/institutional source or keep as gap evidence
BPSE-01976	LIMEN-SIGNAL-0E90658C0271FB13	country_gap_no_parent_source		Lebanon observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:120	Country/query-pack placeholder lists search prompts, not a parent source URL.	named source still needs extraction; no direct-source claim	resolve one concrete official/institutional source or keep as gap evidence
BPSE-01977	LIMEN-SIGNAL-0EABA5B18DF7169C	country_gap_no_parent_source		Caribbean Netherlands observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:117	Country/query-pack placeholder lists search prompts, not a parent source URL.	named source still needs extraction; no direct-source claim	resolve one concrete official/institutional source or keep as gap evidence
BPSE-01978	LIMEN-SIGNAL-0F5CBA16A034843A	country_gap_no_parent_source		Falkland Islands observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:129	Country/query-pack placeholder lists search prompts, not a parent source URL.	named source still needs extraction; no direct-source claim	resolve one concrete official/institutional source or keep as gap evidence
BPSE-01979	LIMEN-SIGNAL-121B086E62BB76F0	country_gap_no_parent_source		Canada I03 metadata row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv:1428	Score/metadata row names no extractable public parent URL in local context.	source resolution required only; no direct-source claim	resolve a concrete direct source surface before review
