row_id	signal_id	promotion_gate	promotion_priority	source_surface_class	source_review_role	shards	queries	source_path	source_line	title_or_snippet	source_review_reason	claim_ceiling	required_hardening_step	forbidden_overread
SRPH-00933	LIMEN-SIGNAL-CFC23CEDB9D6590C	needs_named_url_extraction	P3	regulator_or_public_authority	official_direct_surface	public-sector	regulatory sandbox	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html	14434	"<p class=""oj-normal"">10. National competent authorities shall ensure that, to the extent the innovative AI systems involve the processing of personal data or otherwise fall under the supervisory remit of other national authorities or compet"	Local file is a direct official legal-text snapshot, so the source surface is concrete enough for bounded existence review.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00934	LIMEN-SIGNAL-DD3AB302A5229F64	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html	14474	"<p class=""oj-normal"">eligibility and selection criteria for participation in the AI regulatory sandbox;</p>"	local EUR-Lex snapshot preserves a named official legal source surface	must resolve the underlying source before any reviewed example or paper claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00937	LIMEN-SIGNAL-04D28D9FA49923AA	needs_named_url_extraction	P3	regulator_or_public_authority	named_direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-route-tune-20260605T043422Z	4013	"why: ""Danish data-protection authority AI hub including regulatory sandbox and public-sector guidance; strong comparator for Estonia Article 57 evidence infrastructure."""	local seed names the Danish DPA AI hub as a concrete official surface	source-surface existence/relevance only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00938	LIMEN-SIGNAL-1C163FFA69149AFC	needs_named_url_extraction	P3	regulator_or_public_authority	named_regulator_resolution	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_COUNTRY_SCORE_DELTA.csv	91	"EC,I10,1,M,2,M,""Candidate +1 because SPDP Resolution 2026-0009-R requires risk management, impact assessment, security measures, RAT inclusion of qualifying AI automated decisions, and audits for personal-data AI systems; scope remains sect"	Local metadata names SPDP Resolution 2026-0009-R as the underlying regulator instrument.	existence of the named regulator resolution only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00939	LIMEN-SIGNAL-2B2A3D8FA57B7529	needs_named_url_extraction	P3	regulator_or_public_authority	official_snapshot_surface	public-sector	regulatory sandbox	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html	14449	"<p class=""oj-normal"">15. National competent authorities shall inform the AI Office and the Board of the establishment of a sandbox, and may ask them for support and guidance. The AI Office shall make publicly available a list of planned and"	Local snapshot is itself an official source surface.	source-surface existence review only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00940	LIMEN-SIGNAL-326AA4FADA7228A7	needs_named_url_extraction	P3	regulator_or_public_authority	official_legal_or_policy_surface	public-sector	regulatory sandbox	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html	14440	"<p class=""oj-normal"">12. Providers and prospective providers participating in the AI regulatory sandbox shall remain liable under applicable Union and national liability law for any damage inflicted on third parties as a result of the exper"	Local source excerpt names a concrete official legal or sandbox surface.	Surface existence only from local metadata; no incident, legality, safety, compliance, prevalence, or ranking inference.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00941	LIMEN-SIGNAL-33B62081CF816F61	needs_named_url_extraction	P3	regulator_or_public_authority	official_legal_or_policy_surface	public-sector	regulatory sandbox	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html	8452	"<p class=""oj-normal"">In order to promote and protect innovation, it is important that the interests of SMEs, including start-ups, that are providers or deployers of AI systems are taken into particular account. To that end, Member States sh"	Local source excerpt names a concrete official legal or sandbox surface.	Surface existence only from local metadata; no incident, legality, safety, compliance, prevalence, or ranking inference.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00942	LIMEN-SIGNAL-41F940FC2A008146	needs_named_url_extraction	P3	regulator_or_public_authority	official_source_surface	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-international-20260603T133212Z	2001	"why: ""French public-algorithm accountability programme, useful as a comparator for public-sector AI evidence schemas and register governance."""	Row names a concrete official/regulator/institutional source surface.	Source-surface existence only; do not infer truth, legality, compliance, safety, prevalence, or ranking.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00943	LIMEN-SIGNAL-55C91F3E6973941E	needs_named_url_extraction	P3	regulator_or_public_authority	official_surface	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/guides-page.html	408	<p><em>These guidelines are published without prejudice to the technical guidelines being developed by the European Commission, which aim to ensure the consistent application of European AI regulations. The Spanish guidelines will provide a	Named official AESIA sandbox guidance page is locally captured and reviewable.	surface existence only; no truth/compliance/prevalence inference	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00944	LIMEN-SIGNAL-5A754F16E8115017	needs_named_url_extraction	P3	regulator_or_public_authority	official_standard_page_surface	identity-provenance	C2PA	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-au-voluntary-ai-safety-standard__1__www.industry.gov.au__direct_public_fetch__0610609eeb7b320e.html	4073	"<p class=""text--large""><em><strong>Key concept:</strong> Technologies such as watermarking and labelling can help create transparency for stakeholders by making AI-generated content clearly identifiable to end users. For relevant AI systems"	Named Australian voluntary AI safety standard page is a concrete official source surface.	source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
