queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTR-00145	LIMEN-SIGNAL-6A8658B825A9E3A0	translation-sensitive official surface	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-028/language-delta.json	10	Language-delta note is explicitly translation-sensitive and not safe for ordinary source review.	Translation-safe surface check only.	Route to translation-aware source review.
BTR-00146	LIMEN-SIGNAL-6AED28B9C1950838	translation-sensitive official surface	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv	120	Official Banco Central sandbox page is named, but the local evidence is materially Portuguese.	Translation-safe surface check only.	Route to translation-aware source review.
BTR-00147	LIMEN-SIGNAL-6C67FD37EA03E329	translation-sensitive official surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv	775	Official Suriname strategy PDF is named, but the local evidence is materially translation-sensitive.	Translation-safe surface check only.	Route to translation-aware source review.
BTR-00148	LIMEN-SIGNAL-6CF8EC484098D653	translation-sensitive official surface	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/spanish-portuguese-language-history.jsonl	69	Local metadata points to a Portuguese-language Brazil sandbox source and access failed.	Translation-safe surface check only.	Route to translation-aware source review.
BTR-00149	LIMEN-SIGNAL-6D0434EAB532AC1D	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	procurement AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	240	Chinese CAC rule named via source-pack; official source is translation-sensitive.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	route to translation-aware source review
BTR-00150	LIMEN-SIGNAL-6DAEEB3D8D8862E0	translation_sensitive_surface	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/south-asian-language-history.jsonl	2	Multilingual official-source row names a plausible Pakistan official surface.	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review
BTR-00151	LIMEN-SIGNAL-6E069BCA3E21693F	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_SOURCE_REFRESH.csv	291	Turkish ministry action-plan PDF is a plausible official source but translation-sensitive.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	route to translation-aware source review
BTR-00152	LIMEN-SIGNAL-6E7AD2EC8D3D0D9E	translation_sensitive_surface	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southern-europe-language-latest.jsonl	3	Greek multilingual official-source row is translation-sensitive.	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review
BTR-00153	LIMEN-SIGNAL-6EAEF41E9FC0B1C8	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	320	Portuguese government AI-responsibility page is plausible but language-sensitive.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	route to translation-aware source review
BTR-00154	LIMEN-SIGNAL-6EEE676F06DA35BD	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	727	Norwegian Datatilsynet sandbox page is a concrete source but language-sensitive.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	route to translation-aware source review
BTR-00155	LIMEN-SIGNAL-701C3DE798967BAA	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	726	Norwegian sandbox report index is concrete but materially non-English.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	route to translation-aware source review
BTR-00156	LIMEN-SIGNAL-71827233DCC238BD	translation_sensitive_digest	P1_official_or_regulator_review	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260605T0845EEST/daily/gaia-foreign-language-digest-latest.json	8431	Foreign-language digest points to a plausible court AI surface but local evidence is translation-mediated.	plausible direct source surface only; translation-aware posture review required before any stronger claim.	route to translation-aware source review
BTR-00157	LIMEN-SIGNAL-72A75A21F7E59A93	multilingual_official_source	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/turkish-hebrew-language-latest.jsonl	2	Local row flags a multilingual official source and translation-sensitive handling is needed.	plausible direct source surface only; translation-aware posture review required before any stronger claim.	route to translation-aware source review
BTR-00158	LIMEN-SIGNAL-72DEA70CCDBDBD95	non_english_official_document	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_SOURCE_REFRESH.csv	54	Czech official strategy surface is plausible but materially non-English.	plausible direct source surface only; translation-aware posture review required before any stronger claim.	route to translation-aware source review
BTR-00159	LIMEN-SIGNAL-73E0E76FB831190E	translation_route_wrapper	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.md	17	Translation-route protocol points to original-language public register review and needs translation-aware handling.	plausible direct source surface only; translation-aware posture review required before any stronger claim.	route to translation-aware source review
BTR-00160	LIMEN-SIGNAL-743034957BDD13E4	multilingual_history_record	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/african-multilingual-language-history.jsonl	46	Local multilingual history row points to a plausible official source but remains translation-sensitive.	plausible direct source surface only; translation-aware posture review required before any stronger claim.	route to translation-aware source review
