queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-02865	LIMEN-SIGNAL-262FA7331372C94E	country_profile_or_indicator_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	22515	PALLAS country-profile/indicator row describes a topic or summary but does not expose a named reviewable source surface in the local row.	Country-profile/source-pack lead only; no direct-source, policy, deployment, compliance, legality, safety, prevalence, or ranking claim.	Extract the underlying named public source surface before direct source review.
BPSE-02866	LIMEN-SIGNAL-273F92ADCC9B17B2	country_profile_or_indicator_wrapper	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	22210	PALLAS country-profile/indicator row describes a topic or summary but does not expose a named reviewable source surface in the local row.	Country-profile/source-pack lead only; no direct-source, policy, deployment, compliance, legality, safety, prevalence, or ranking claim.	Extract the underlying named public source surface before direct source review.
BPSE-02867	LIMEN-SIGNAL-2998323C4F04F100	country_profile_or_indicator_wrapper	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	21905	PALLAS country-profile/indicator row describes a topic or summary but does not expose a named reviewable source surface in the local row.	Country-profile/source-pack lead only; no direct-source, policy, deployment, compliance, legality, safety, prevalence, or ranking claim.	Extract the underlying named public source surface before direct source review.
BPSE-02868	LIMEN-SIGNAL-2AC12E005F554270	country_profile_or_indicator_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	30661	PALLAS country-profile/indicator row describes a topic or summary but does not expose a named reviewable source surface in the local row.	Country-profile/source-pack lead only; no direct-source, policy, deployment, compliance, legality, safety, prevalence, or ranking claim.	Extract the underlying named public source surface before direct source review.
BPSE-02869	LIMEN-SIGNAL-2B6893FF5EAF1DAE	country_profile_or_indicator_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	21200	PALLAS country-profile/indicator row describes a topic or summary but does not expose a named reviewable source surface in the local row.	Country-profile/source-pack lead only; no direct-source, policy, deployment, compliance, legality, safety, prevalence, or ranking claim.	Extract the underlying named public source surface before direct source review.
BPSE-02870	LIMEN-SIGNAL-2C5672F3A432EE99	country_profile_or_indicator_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	27609	PALLAS country-profile/indicator row describes a topic or summary but does not expose a named reviewable source surface in the local row.	Country-profile/source-pack lead only; no direct-source, policy, deployment, compliance, legality, safety, prevalence, or ranking claim.	Extract the underlying named public source surface before direct source review.
BPSE-02871	LIMEN-SIGNAL-2CAB330FA814AA59	research_queue_wrapper	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	248	Research-queue row lists country/search targets rather than exposing a named reviewable source surface.	Queue/source-discovery lead only; no source existence beyond local wrapper metadata and no substantive claim.	Extract a named official/vendor/regulator/register surface before direct source review.
BPSE-02872	LIMEN-SIGNAL-2D4CD483CE2DBA42	country_profile_or_indicator_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	29897	PALLAS country-profile/indicator row describes a topic or summary but does not expose a named reviewable source surface in the local row.	Country-profile/source-pack lead only; no direct-source, policy, deployment, compliance, legality, safety, prevalence, or ranking claim.	Extract the underlying named public source surface before direct source review.
BPSE-02873	LIMEN-SIGNAL-30106A0C330CB731	country_profile_or_indicator_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	23644	PALLAS country-profile/indicator row describes a topic or summary but does not expose a named reviewable source surface in the local row.	Country-profile/source-pack lead only; no direct-source, policy, deployment, compliance, legality, safety, prevalence, or ranking claim.	Extract the underlying named public source surface before direct source review.
BPSE-02874	LIMEN-SIGNAL-30A29DC223A2D84F	research_queue_wrapper	P1_official_or_regulator_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	248	Research-queue row lists country/search targets rather than exposing a named reviewable source surface.	Queue/source-discovery lead only; no source existence beyond local wrapper metadata and no substantive claim.	Extract a named official/vendor/regulator/register surface before direct source review.
