queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00961	LIMEN-SIGNAL-AFC07C6955A72FCF	country_gap_no_parent_source		Jordan observability/gap queue placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:37	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	do not promote; run separate source discovery if needed
BPSE-00962	LIMEN-SIGNAL-AFD4D748F4018A9E	country_gap_no_parent_source		Gabon observability/gap queue placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:55	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	do not promote; run separate source discovery if needed
BPSE-00963	LIMEN-SIGNAL-AFE0756BEB9EA847	country_gap_no_parent_source		Papua New Guinea observability/gap queue placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:70	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	do not promote; run separate source discovery if needed
BPSE-00964	LIMEN-SIGNAL-B00968A868EA5210	country_gap_no_parent_source		country/profile queue placeholder	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json:2628	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	do not promote; run separate source discovery if needed
BPSE-00965	LIMEN-SIGNAL-B045045277423DA1	country_gap_no_parent_source		Nauru observability/gap queue placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:67	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	do not promote; run separate source discovery if needed
BPSE-00966	LIMEN-SIGNAL-B0717A56F31435F6	country_gap_no_parent_source		Svalbard and Jan Mayen observability/gap queue placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:17	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	do not promote; run separate source discovery if needed
BPSE-00967	LIMEN-SIGNAL-B0A350E35D5DD938	country_gap_no_parent_source		Kyrgyzstan observability/gap queue placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:16	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	do not promote; run separate source discovery if needed
BPSE-00968	LIMEN-SIGNAL-B0D5D107D59DE326	country_gap_no_parent_source		Tanzania observability/gap queue placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:77	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	do not promote; run separate source discovery if needed
BPSE-00969	LIMEN-SIGNAL-B0E5022F8DA3BEB7	country_gap_no_parent_source		Somalia observability/gap queue placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:27	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	do not promote; run separate source discovery if needed
BPSE-00970	LIMEN-SIGNAL-B11DB242002BC098	country_gap_no_parent_source		Curaçao observability/gap queue placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:32	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	do not promote; run separate source discovery if needed
BPSE-00971	LIMEN-SIGNAL-B12D091433904F4C	country_gap_no_parent_source		Reunion observability/gap queue placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:26	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	do not promote; run separate source discovery if needed
