as_of_utc	release_priority	visual_id	canonical_slot	best_route_now	readiness_state	current_scope_or_denominator	paper_or_thesis_use	visualization_or_dashboard_hook	must_travel_with	exact_blocker_or_ceiling	next_smallest_publishability_move	evidence_basis
2026-06-08T06:53:05Z	1	LIMEN-VIS-001	Figure 1	Route_A_methods_data	ready_now_core	15 source families; seeded=13; planned=2	Methods/data paper introduction, methods, and dashboard overview	Source-family saturation map with blocker badges and route filters	CCR-008; blocked-source priority register	Thin-family blockers sf08/sf09/sf11/sf13 must remain visible; sf06 stays appendix/manual-overlay bounded	Reuse as-is with blocker badges preserved; refresh only when family states change	results/dashboard-paper/first-figure-table-bundle-v0.1.tsv:LIMEN-VIS-001; results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv:LIMEN-VIS-001; results/dashboard-paper/objective-coverage-audit-v0.1.tsv:OCA-003
2026-06-08T06:53:05Z	1	LIMEN-VIS-003	Figure 3	Route_A_methods_data	ready_now_core	15 legal category rows; High=10; Medium=5	Methods/results legal-caution section and reviewer-response support	Legal-uncertainty matrix with anchor-depth badges and stronger-source queue links	Legal crosswalk package; reviewer-safe caution labels	Cannot be used as legal conclusion engine or compliance classifier	Reuse as-is; refresh only if anchor depth or review-priority counts change	results/dashboard-paper/first-figure-table-bundle-v0.1.tsv:LIMEN-VIS-003; results/dashboard-paper/objective-coverage-audit-v0.1.tsv:OCA-007
2026-06-08T15:53:22Z	1	LIMEN-VIS-004	Figure 4	Route_A_methods_data	ready_now_core	25 reviewed graph edges; 14 blocker; 11 reviewed-not-duplicate	Methods/results duplicate-control contribution	Duplicate-review graph with join-safety legend and scope badge	CCR-018; live duplicate ledger	Graph scope must not be flattened into recurrence or full-ledger prevalence	Reuse as-is with scope badge preserved	results/dashboard-paper/first-figure-table-bundle-v0.1.tsv:LIMEN-VIS-004; results/dashboard-paper/objective-coverage-audit-v0.1.tsv:OCA-009
2026-06-08T06:53:05Z	1	LIMEN-VIS-005	Figure 5	Route_A_and_Route_B_shared	ready_now_core	21 publication-safe lineages; T3=14; T3_direct_url_resolved=1; T1=6; high=15; low=6	Core evidence-maturity figure for lead paper and bounded secondary route	Evidence-tier funnel with denominator and confidence overlays	CCR-005; refreshed publication-safe aggregate contract	Validator-backed 23-lineage local projection remains sidecar-only, not live shared state	Reuse the 21-lineage contract exactly; reopen only after explicit shared-consumer promotion	results/dashboard-paper/first-figure-table-bundle-v0.1.tsv:LIMEN-VIS-005; results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv:LIMEN-VIS-005; results/dashboard-paper/objective-coverage-audit-v0.1.tsv:OCA-004
2026-06-08T06:53:05Z	1	LIMEN-VIS-007	Table 1A	Route_A_methods_data	ready_now_core	10 rows; document_grade=7; follow_through_grade=1; partial_document_grade=1; summary_grade=1	Authoritative-depth table for methods/results and thesis evidence chapter	Authoritative document-depth facet with quote-ready and blocker labels	CCR-009 / authoritative depth bundle	Summary-only, follow-through, and charging-stage rows cannot be flattened into direct-document depth	Reuse as-is; next substantive gain is stronger court-facing text for LIMEN-000002 and cleaner caption normalization for LIMEN-000005	results/dashboard-paper/first-figure-table-bundle-v0.1.tsv:LIMEN-VIS-007; results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv:LIMEN-VIS-007
2026-06-08T06:53:05Z	2	LIMEN-VIS-002	Figure 2	Route_A_methods_data	ready_with_live_drift_warning	15 taxonomy rows on mechanical 35 visible / 27 lineage contract; live duplicate/taxonomy core already at 38 review rows / 38 governed records / 28 lineages	Taxonomy/results figure and novelty-gap table support	Taxonomy heatmap with support-state legend, zero-seed semantics, and route-state toggles	CCR-001; CCR-002; fragility matrix; zero-seed differentiation matrix; figure2-live-denominator-drift audit	Mechanical Figure 2 source still lags live denominator truth; overread risk if consumers narrate it as current headline count	Keep live-versus-mechanical warning attached until the mechanical heatmap source is refreshed and re-audited	results/dashboard-paper/first-figure-table-bundle-v0.1.tsv:LIMEN-VIS-002; results/dashboard-paper/objective-coverage-audit-v0.1.tsv:OCA-005; results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv
2026-06-08T06:53:05Z	2	LIMEN-VIS-008	Table 1B	Route_B_governance_security	ready_secondary_with_core_sidecar_split	6 rows across 4 surface classes in shared panel; claim-bearing manuscript core remains 5 rows	Bounded public-sector comparison table for governance/security article and thesis chapter	Disclosure-surface comparison card with traceability-ladder overlay and proof-ceiling tooltips	CCR-015; core-sidecar controls; public-sector traceability ladder	Helsinki remains family-level procurement companion only; Amsterdam still not buyer-side resolved; Denmark remains bounded sidecar	Reuse with 5-row core versus 6-row shared-panel split explicit; next substantive gain is one exact buyer-side procurement, impact-assessment, or DPIA companion	results/dashboard-paper/first-figure-table-bundle-v0.1.tsv:LIMEN-VIS-008; results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv:LIMEN-VIS-008
2026-06-08T06:53:05Z	2	LIMEN-VIS-006	Figure 6	Route_B_governance_security	ready_secondary_with_translation_ceiling	10 staged jurisdiction-language rows plus multilingual routing overlay 1 substantive / 2 appendix / 3 queue-only	Bounded multilingual visibility figure for secondary route and appendix	Jurisdiction/language map with translation filter and rare-language coverage overlay	CCR-016; multilingual publication-routing matrix; visibility overlay	Not safe as country ranking or resolved comparative geography; Slovenia only default substantive row	Reuse only with translation/routing overlays; next gain is one new exact official multilingual anchor	results/dashboard-paper/first-figure-table-bundle-v0.1.tsv:LIMEN-VIS-006; results/dashboard-paper/objective-coverage-audit-v0.1.tsv:OCA-006
2026-06-08T06:53:05Z	3	LIMEN-VIS-010	Figure 7	Route_B_bounded_companion	warning_gated_legacy_panel_only	Legacy visible panel 21 lineages; sidecar-aware projected local multistate reuse 23; broader duplicate/taxonomy family 25	Companion composition figure for methods/security discussion only	Authority-balance panel with mandatory warning badge and denominator-stack explainer	CCR-014; figure7-sidecar-consumption-matrix; figure7-multistate-transport-stack	Default visible panel is still legacy 21-lineage state; 23-lineage projection is not default shared truth	Keep hidden or explicitly warning-gated until a deliberate default-visible Figure 7 rewrite lands	results/dashboard-paper/first-figure-table-bundle-v0.1.tsv:LIMEN-VIS-010; results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv:LIMEN-VIS-010; results/dashboard-paper/figure7-multistate-transport-stack-v0.1.tsv
2026-06-08T06:53:05Z	3	LIMEN-VIS-015	Table 6	Route_B_governance_security	secondary_route_threshold_open	11 cells; core_results=3; appendix_supporting=6; limitations_only=1; gap_only=1	Security/governance bridge table for secondary article	Security-agentic publication-cell matrix with bucket filters	CCR-017; threshold ladder; security route-b contract	Peer-reviewed security-case support gap remains open; singleton trust-boundary coverage still thin	Need one incident-specific peer-reviewed or conference-grade attachment before closing the last security gap	results/dashboard-paper/first-figure-table-bundle-v0.1.tsv:LIMEN-VIS-015; results/dashboard-paper/objective-coverage-audit-v0.1.tsv:OCA-008
2026-06-08T06:53:05Z	3	LIMEN-VIS-016	Table 1G	Route_C_attestation	companion_only_threshold_open	4 trust-surface rows: local bundle present; detached signature absent; transparency receipt absent; VC issuance absent	Companion methods note on attestation/provenance	Attestation readiness ladder with stronger-trust-absent states explicit	Attestation readiness bundle; Route C caution stack	Current package proves local observation-and-processing provenance only, not external witness or signer trust	Strengthen only after one real detached-signature verifier note, transparency receipt, or VC witness is bound to the shared bundle	results/dashboard-paper/first-figure-table-bundle-v0.1.tsv:LIMEN-VIS-016; results/dashboard-paper/objective-coverage-audit-v0.1.tsv:OCA-010
