queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-01777	LIMEN-SIGNAL-FBE69D21C3D19DC9	source_url_extracted	http://legallaw.ul.edu.lb/LegisltaionSearch.aspx?searchText=%d8%a7%d9%84%d8%ae%d9%88%d8%a7%d8%b1%d8%b2%d9%85%d9%8a%d8%a7%d8%aa&AndOr=AND&optionID=-1&status=-1&classification=0&lawNumber=0&lawYear=0&articleNumber=0	Legal Informatics Center search: algorithm terms	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1334	Local source-pack row gives the official legal-database algorithm-term search URL.	source-surface existence only from local metadata/files	review extracted source surface only; no gap/legal finding
BPSE-01778	LIMEN-SIGNAL-FBF7059F919E18FE	source_surface_only_no_case		Russian-language automated-decision source seed	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json:421	Expansion seed asks to find sources but contains no parent public URL or case surface.	source-surface existence only from local metadata/files	leave unresolved until a concrete local source row exists
BPSE-01779	LIMEN-SIGNAL-FC1530284B0D9FD1	parent_source_wrapper		Mayotte I03 sandbox source pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2031-2033	Local source pack lists multiple Mayotte/France sandbox parent sources; human choice needed.	source-surface existence only from local metadata/files	choose one parent source before direct review
BPSE-01780	LIMEN-SIGNAL-FC19F9FE063CD7D7	parent_source_wrapper		French Guiana I05 algorithm-transparency source pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2289-2292	Country index points to a gap and local source pack offers several France/GF transparency or search surfaces.	source-surface existence only from local metadata/files	choose one parent source before direct review
BPSE-01781	LIMEN-SIGNAL-FC24830A9C28FA4E	country_gap_no_parent_source		Marshall Islands country profile gap row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:1233-1238	Profile says no public algorithm register and examples do not expose an I05 parent URL.	source-surface existence only from local metadata/files	retain as gap/profile placeholder; no parent extraction
BPSE-01782	LIMEN-SIGNAL-FC59671988A1B33C	parent_source_wrapper		Jersey I10 evidence-lifecycle source pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3884-3888	Local pack lists multiple Jersey data-protection, service-manual, records, and security parent sources.	source-surface existence only from local metadata/files	choose one parent source before direct review
BPSE-01783	LIMEN-SIGNAL-FC6CC064D8E00945	parent_source_wrapper		Mauritius I10 automated-decision/evidence source pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:398-401	Row bundles DPO audit, DPIA, automated-decision, sandbox and revocation sources; multiple parents.	source-surface existence only from local metadata/files	choose one parent source before direct review
BPSE-01784	LIMEN-SIGNAL-FC76D94A1781DAE1	source_surface_only_no_case		v02 coverage-gap material-kind manifest entry	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json:2423	Manifest lists desired material kinds, not a concrete parent public source.	source-surface existence only from local metadata/files	leave unresolved until a concrete source row exists
BPSE-01785	LIMEN-SIGNAL-FCA4C70D1C793EAA	source_surface_only_no_case		codebook AI evidence theme aggregate	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/codebook-v0.2.2.json:281	Codebook theme aggregate repeats source-needs text but has no reviewable parent URL.	source-surface existence only from local metadata/files	leave unresolved until a concrete source row exists
BPSE-01786	LIMEN-SIGNAL-FCADE0CA7F9976D7	source_url_extracted	https://www.strategy.bg/bg/search?search=%D0%BF%D1%8F%D1%81%D1%8A%D1%87%D0%BD%D0%B8%D0%BA%20%D0%B8%D0%B7%D0%BA%D1%83%D1%81%D1%82%D0%B2%D0%B5%D0%BD%20%D0%B8%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%BA%D1%82	Strategy.bg search for AI sandbox terms	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3476	Local source-pack row gives the Bulgaria AI-sandbox search URL used as negative evidence.	source-surface existence only from local metadata/files	review extracted source surface only; no gap/legal finding
BPSE-01787	LIMEN-SIGNAL-FCB527E707464BA8	source_surface_only_no_case		Crossroads reference-audit report	/srv/tyche/gaia/tyche-research-vault/notes/references-audit-2026-05-26/codex/07-crossroads/AUDIT_REPORT.md:5	Audit summary is a manuscript/compliance aggregate and exposes no parent public source URL.	source-surface existence only from local metadata/files	leave unresolved until a concrete bibliography/source row exists
BPSE-01788	LIMEN-SIGNAL-FCC4184437FD6165	parent_source_wrapper		Isle of Man I08 procurement source pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3852-3853	Country row points to multiple procurement surfaces in the local source pack.	source-surface existence only from local metadata/files	choose one parent source before direct review
BPSE-01789	LIMEN-SIGNAL-FCC512BA79C966B8	parent_source_wrapper		authority-buyer-control audit source-basis bundle	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/authority-buyer-control-audit-v0.3.csv:8	Audit row points to TED notice plus Dutch Algorithm Register and alias ledgers; multiple parent sources.	source-surface existence only from local metadata/files	choose procurement or register parent source before direct review
BPSE-01790	LIMEN-SIGNAL-FCD6546F2210E137	source_surface_only_no_case		public-ai-procurement venue shortlist	/srv/tyche/projects/public-ai-procurement-gap/drafts/venue-shortlist-v0.1.md:26	Venue-planning row describes papers and pipeline state, not a parent public source.	source-surface existence only from local metadata/files	do not route as source review
BPSE-01791	LIMEN-SIGNAL-FCE1EE356432E38E	parent_source_wrapper		Estonia executive-brief evidence table	/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-packages/tyche-thesis-atlas-v0.2.3-preprint/briefs/tyche-atlas-v0.2-executive-brief-latest.md:49	Brief table lists several evidence families; no single parent source selected in the row.	source-surface existence only from local metadata/files	choose one named evidence source before direct review
BPSE-01792	LIMEN-SIGNAL-FD0F13AC96916424	parent_source_wrapper		Anguilla I08 procurement source pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1750-1754	Row bundles PPO portal, About page, document endpoint, Act PDF and bid template; multiple parents.	source-surface existence only from local metadata/files	choose one parent source before direct review
BPSE-01793	LIMEN-SIGNAL-FD11A55844490705	source_surface_only_no_case		Canada public-ai-assessment expansion seed	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json:3180	Seed monitor_for entry lists topics only and contains no parent public URL.	source-surface existence only from local metadata/files	leave unresolved until a concrete source row exists
BPSE-01794	LIMEN-SIGNAL-FD15C4895599842D	parent_source_wrapper		Jersey I05 weak-source/source-pack bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3881-3883	Weak warning row corresponds to multiple FOI/search surfaces in local source pack.	source-surface existence only from local metadata/files	choose one parent source before direct review
BPSE-01795	LIMEN-SIGNAL-FD21D435BD574F23	reject_noise		Retraction Watch cause-profile SVG aggregate	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/source-family-cause-profile-v01-strict-window-label-repaired-20260522T161104Z.svg:32	SVG chart category label is an aggregate visualization, not a source URL surface.	source-surface existence only from local metadata/files	drop from parent-source extraction queue
BPSE-01796	LIMEN-SIGNAL-FD3DBDFCCDF805CC	source_surface_only_no_case		public-ai-procurement coding manual definition	/srv/tyche/projects/public-ai-procurement-gap/methods/coding-manual-v0.1.md:18	Method definition describes register-record units and contains no parent public URL.	source-surface existence only from local metadata/files	do not route as source review
BPSE-01797	LIMEN-SIGNAL-FD422AA07B7B2C84	source_url_extracted	https://mtc.gov.la/index.php?r=site/contents&id=29	National Digital Economy Development Vision Strategy and Plan - open government/data platform references	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2984-2985	Local source-pack rows use the same MTC URL for Laos I05 gap evidence.	source-surface existence only from local metadata/files	review extracted source surface only; no gap/legal finding
BPSE-01798	LIMEN-SIGNAL-FD4A455F92645B8C	parent_source_wrapper		Uruguay I05 transparency-practice weak warning	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md:1204-1206	Warning names Agesic observatory, recommendations and EIA guide; no single parent selected.	source-surface existence only from local metadata/files	choose one parent source before direct review
BPSE-01799	LIMEN-SIGNAL-FD6A12758E139B3B	source_url_extracted	https://tech.gov.bt/wp-content/uploads/2025/03/Bhutan-AIRA-Report-2024-FINAL.pdf	Bhutan AIRA transparency and accountability findings	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2855	Local source-pack row gives the Bhutan AIRA PDF URL for I05 transparency/gap evidence.	source-surface existence only from local metadata/files	review extracted source surface only; no gap/legal finding
BPSE-01800	LIMEN-SIGNAL-FD6D5DB7CFB3748A	reject_noise		research-tracks manuscript status table	/srv/tyche/gaia/tyche-research-vault/notes/research-tracks-2026-05-28.md:20	Research-track status row names a submitted manuscript and ID, not a parent public source.	source-surface existence only from local metadata/files	drop from parent-source extraction queue
