signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-7757DAFECF9C1BF0	translation_review_needed	direct_source_surface	Local metadata names a concrete legal source surface, but the underlying law is translation-sensitive.	Source-surface existence only pending translation-aware review; no substantive truth, legality, compliance, or prevalence claim.	queue translation-aware bounded source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_SOURCE_REFRESH.csv
LIMEN-SIGNAL-775AB52B017D3383	needs_named_source_extraction	wrapper_or_proxy	This is a wrapper/summary artifact that points toward sources but does not expose one clean reviewable surface.	No direct-source claim until a named reviewable surface is extracted from local materials.	extract named source/URL from local pack before review	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-overview-bridge/gaia-pallas-world-synthesis.json
LIMEN-SIGNAL-7762517D7EBE7E02	reject_noise	derived_or_internal_noise	This row is an internal draft, config, index result, manuscript, or other derived artifact rather than a direct source surface.	No direct-source claim should be carried forward from this derived or internal artifact.	drop from direct-source review queue	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-081/table2-footnote-source-card.json
LIMEN-SIGNAL-77686F26A174F0A5	translation_review_needed	direct_source_surface	Local metadata names a concrete official source surface, but review is materially non-English or translation-sensitive.	Source-surface existence only pending translation-aware review; no substantive truth, legality, compliance, or prevalence claim.	queue translation-aware bounded source review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl
LIMEN-SIGNAL-776C5E42A5838E9A	reject_noise	derived_or_internal_noise	This row is an internal draft, config, index result, manuscript, or other derived artifact rather than a direct source surface.	No direct-source claim should be carried forward from this derived or internal artifact.	drop from direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-packages/tyche-thesis-atlas-v0.2.3-preprint/analysis/claim-support/claim-support-tests-v0.2.3.csv
LIMEN-SIGNAL-776D8363C56BC77E	reject_noise	derived_or_internal_noise	This row is an internal draft, config, index result, manuscript, or other derived artifact rather than a direct source surface.	No direct-source claim should be carried forward from this derived or internal artifact.	drop from direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z
LIMEN-SIGNAL-77734A44EE9A475C	negative_evidence_candidate	negative_or_gap_artifact	The local row is a search-negative, weak-source warning, or bounded gap note.	Negative-evidence note limited to checked local context only; not proof of absence beyond that context.	retain as bounded negative-evidence/supporting gap item	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-7773A602A91789DE	negative_evidence_candidate	negative_or_gap_artifact	The local row is a search-negative, weak-source warning, or bounded gap note.	Negative-evidence note limited to checked local context only; not proof of absence beyond that context.	retain as bounded negative-evidence/supporting gap item	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-7775A6B7495C808C	reject_noise	derived_or_internal_noise	This row is an internal draft, config, index result, manuscript, or other derived artifact rather than a direct source surface.	No direct-source claim should be carried forward from this derived or internal artifact.	drop from direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/russian-language-latest.jsonl
LIMEN-SIGNAL-77765B5DE99A379D	source_reviewed_candidate	direct_source_surface	Local metadata names a concrete official or institutional source surface with a reviewable URL.	Source-surface existence only; no substantive truth, legality, compliance, or prevalence claim.	open bounded source review on the named surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html
