queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00865	LIMEN-SIGNAL-9624B49EBD1C6752	wrapper / country-profile artifact	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	42	Local row points toward possible source families or a country/profile wrapper but does not expose a single named reviewable source surface yet.	names adjacent artifact only	extract named source surface first
BPSE-00866	LIMEN-SIGNAL-964D5F24E41E47F3	wrapper / country-profile artifact	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	7518	Local row points toward possible source families or a country/profile wrapper but does not expose a single named reviewable source surface yet.	names adjacent artifact only	extract named source surface first
BPSE-00867	LIMEN-SIGNAL-9650D37E457B9529	wrapper / country-profile artifact	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json	866	Local row points toward possible source families or a country/profile wrapper but does not expose a single named reviewable source surface yet.	names adjacent artifact only	extract named source surface first
BPSE-00868	LIMEN-SIGNAL-9660DE770EAD25CF	wrapper / country-profile artifact	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	19	Local row points toward possible source families or a country/profile wrapper but does not expose a single named reviewable source surface yet.	names adjacent artifact only	extract named source surface first
BPSE-00869	LIMEN-SIGNAL-968B4CD386BD80A7	wrapper / country-profile artifact	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	18	Local row points toward possible source families or a country/profile wrapper but does not expose a single named reviewable source surface yet.	names adjacent artifact only	extract named source surface first
BPSE-00870	LIMEN-SIGNAL-96A004F7AB5FD0FF	adjacent artifact	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-rescinded-model-boundary-update.md	47	Local metadata indicates potential relevance, but it still does not expose a single named reviewable source surface.	names adjacent artifact only	extract named source surface first
BPSE-00871	LIMEN-SIGNAL-96B93EA598E0ABFE	wrapper / country-profile artifact	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	60	Local row points toward possible source families or a country/profile wrapper but does not expose a single named reviewable source surface yet.	names adjacent artifact only	extract named source surface first
BPSE-00872	LIMEN-SIGNAL-96EE9FBB3CE770C0	wrapper / country-profile artifact	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	6772	Local row points toward possible source families or a country/profile wrapper but does not expose a single named reviewable source surface yet.	names adjacent artifact only	extract named source surface first
BPSE-00873	LIMEN-SIGNAL-973AA841A58DF6ED	source_pack_or_country_profile	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	62	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first
BPSE-00874	LIMEN-SIGNAL-97412D47835340CB	source_pack_or_country_profile	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	84	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first
BPSE-00875	LIMEN-SIGNAL-977C09B3FC5D1C46	country_profile_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	12	Country/profile row points toward sources but does not expose a named review target.	Only source-direction may be claimed from this row.	extract a named underlying source surface first
BPSE-00876	LIMEN-SIGNAL-978AE8A176126E2C	source_pack_or_country_profile	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	150	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first
BPSE-00877	LIMEN-SIGNAL-9809BFB639889752	source_pack_or_country_profile	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json	3570	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first
BPSE-00878	LIMEN-SIGNAL-983EEA3868A9DBDB	source_pack_or_country_profile	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	42	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first
