source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://github.com/ombegov/2024-Federal-AI-Use-Case-Inventory	closed_noncase_source_surface	https://github.com/ombegov/2024-Federal-AI-Use-Case-Inventory	2024 Federal Agency AI Use Case Inventory	github.com	Noncase source surface: 2024 Federal Agency AI Use Case Inventory	not_applicable_noncase	source_family_accounting; algorithm register		United States	The cited register/transparency surface is useful provenance for source-family accounting but the batch metadata does not isolate a concrete AI edge-case event, finding, vulnerability, authority action, or harm claim.	Source-surface accounting only; no incident, legality, safety, compliance, deployment, prevalence, or guilt claim.	Do not infer harm, unlawful conduct, system deployment, safety/compliance failure, prevalence, ranking, or reviewed-core suitability from this surface alone.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Close for this extraction batch; only revisit if a concrete original source record is supplied.
https://giwmscdnone.gov.np/media/pdf_upload/National%20AI%20Policy-Final_uxc94vg.pdf	closed_noncase_source_surface	https://giwmscdnone.gov.np/media/pdf_upload/National%20AI%20Policy-Final_uxc94vg.pdf	National AI Portal and periodic reporting provisions in National AI Policy	giwmscdnone.gov.np	Noncase source surface: National AI Portal and periodic reporting provisions in National AI Policy	not_applicable_noncase	source_family_accounting; algorithm register; AI register		Nepal	The cited policy/guidance surface is useful provenance for source-family accounting but the batch metadata does not isolate a concrete AI edge-case event, finding, vulnerability, authority action, or harm claim.	Source-surface accounting only; no incident, legality, safety, compliance, deployment, prevalence, or guilt claim.	Do not infer harm, unlawful conduct, system deployment, safety/compliance failure, prevalence, ranking, or reviewed-core suitability from this surface alone.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Close for this extraction batch; only revisit if a concrete original source record is supplied.
https://gob.pe/institucion/pcm/informes-publicaciones/6879780-catalogo-de-aplicaciones-con-inteligencia-artificial-en-el-estado-peruano	closed_noncase_source_surface	https://www.gob.pe/institucion/pcm/informes-publicaciones/6879780-catalogo-de-aplicaciones-con-inteligencia-artificial-en-el-estado-peruano	Catálogo de Aplicaciones con Inteligencia Artificial en el Estado Peruano	gob.pe	Noncase source surface: Catálogo de Aplicaciones con Inteligencia Artificial en el Estado Peruano	not_applicable_noncase	source_family_accounting; algorithm register		Peru	The cited register/transparency surface is useful provenance for source-family accounting but the batch metadata does not isolate a concrete AI edge-case event, finding, vulnerability, authority action, or harm claim.	Source-surface accounting only; no incident, legality, safety, compliance, deployment, prevalence, or guilt claim.	Do not infer harm, unlawful conduct, system deployment, safety/compliance failure, prevalence, ranking, or reviewed-core suitability from this surface alone.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Close for this extraction batch; only revisit if a concrete original source record is supplied.
https://gouv.bj/plateformes-services	closed_noncase_source_surface	https://www.gouv.bj/plateformes-services/	Negative search for public algorithm register	gouv.bj	Noncase source surface: Negative search for public algorithm register	not_applicable_noncase	source_family_accounting; algorithm register		Benin	The cited search/discovery surface is useful provenance for source-family accounting but the batch metadata does not isolate a concrete AI edge-case event, finding, vulnerability, authority action, or harm claim.	Source-surface accounting only; no incident, legality, safety, compliance, deployment, prevalence, or guilt claim.	Do not infer harm, unlawful conduct, system deployment, safety/compliance failure, prevalence, ranking, or reviewed-core suitability from this surface alone.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Close for this extraction batch; only revisit if a concrete original source record is supplied.
https://gov.br/anpd/pt-br/assuntos/projetos-acoes-iniciativas/sandbox/por-que-inteligencia-artificial	closed_noncase_source_surface	https://www.gov.br/anpd/pt-br/assuntos/projetos-acoes-iniciativas/sandbox/por-que-inteligencia-artificial	gov.br	gov.br	Noncase source surface: gov.br	not_applicable_noncase	source_family_accounting; automated decision; regulatory sandbox; algorithm register		Brazil	The cited register/transparency surface is useful provenance for source-family accounting but the batch metadata does not isolate a concrete AI edge-case event, finding, vulnerability, authority action, or harm claim.	Source-surface accounting only; no incident, legality, safety, compliance, deployment, prevalence, or guilt claim.	Do not infer harm, unlawful conduct, system deployment, safety/compliance failure, prevalence, ranking, or reviewed-core suitability from this surface alone.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Close for this extraction batch; only revisit if a concrete original source record is supplied.
https://gov.br/compras/pt-br/acesso-a-informacao/noticias/mgi-lanca-mentoria-ferramenta-de-inteligencia-artificial-que-facilita-a-rotina-de-servidores-publicos	closed_noncase_source_surface	https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/mgi-lanca-mentoria-ferramenta-de-inteligencia-artificial-que-facilita-a-rotina-de-servidores-publicos	MGI lança MentorIA, ferramenta de inteligência artificial que facilita a rotina de servidores públicos	gov.br	Noncase source surface: MGI lança MentorIA, ferramenta de inteligência artificial que facilita a rotina de servidores públicos	not_applicable_noncase	source_family_accounting; algorithm register; AI procurement		Brazil	The cited register/transparency surface is useful provenance for source-family accounting but the batch metadata does not isolate a concrete AI edge-case event, finding, vulnerability, authority action, or harm claim.	Source-surface accounting only; no incident, legality, safety, compliance, deployment, prevalence, or guilt claim.	Do not infer harm, unlawful conduct, system deployment, safety/compliance failure, prevalence, ranking, or reviewed-core suitability from this surface alone.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Close for this extraction batch; only revisit if a concrete original source record is supplied.
https://gov.fk?s=artificial%20intelligence	closed_noncase_source_surface	https://www.gov.fk/?s=artificial%20intelligence	gov.fk	gov.fk	Noncase source surface: gov.fk	not_applicable_noncase	source_family_accounting; algorithm register		Falkland Islands	The cited search/discovery surface is useful provenance for source-family accounting but the batch metadata does not isolate a concrete AI edge-case event, finding, vulnerability, authority action, or harm claim.	Source-surface accounting only; no incident, legality, safety, compliance, deployment, prevalence, or guilt claim.	Do not infer harm, unlawful conduct, system deployment, safety/compliance failure, prevalence, ranking, or reviewed-core suitability from this surface alone.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Close for this extraction batch; only revisit if a concrete original source record is supplied.
https://gov.ky/search?q=algorithm%20register	closed_noncase_source_surface	https://gov.ky/search?q=algorithm%20register	GOV.KY search for algorithm register	gov.ky	Noncase source surface: GOV.KY search for algorithm register	not_applicable_noncase	source_family_accounting; algorithm register		Cayman Islands	The cited search/discovery surface is useful provenance for source-family accounting but the batch metadata does not isolate a concrete AI edge-case event, finding, vulnerability, authority action, or harm claim.	Source-surface accounting only; no incident, legality, safety, compliance, deployment, prevalence, or guilt claim.	Do not infer harm, unlawful conduct, system deployment, safety/compliance failure, prevalence, ranking, or reviewed-core suitability from this surface alone.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Close for this extraction batch; only revisit if a concrete original source record is supplied.
https://gov.kz/memleket/entities/aqmola-selinograd/press/news/details/810354?lang=ru	closed_noncase_source_surface	https://www.gov.kz/memleket/entities/aqmola-selinograd/press/news/details/810354?lang=ru	gov.kz	gov.kz	Noncase source surface: gov.kz	not_applicable_noncase	source_family_accounting; algorithm register		Kazakhstan	The cited register/transparency surface is useful provenance for source-family accounting but the batch metadata does not isolate a concrete AI edge-case event, finding, vulnerability, authority action, or harm claim.	Source-surface accounting only; no incident, legality, safety, compliance, deployment, prevalence, or guilt claim.	Do not infer harm, unlawful conduct, system deployment, safety/compliance failure, prevalence, ranking, or reviewed-core suitability from this surface alone.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Close for this extraction batch; only revisit if a concrete original source record is supplied.
https://gov.uk/algorithmic-transparency-records/dfe-correspondence-drafter	closed_noncase_source_surface	https://www.gov.uk/algorithmic-transparency-records/dfe-correspondence-drafter	DfE: Correspondence Drafter - Algorithmic Transparency Record	gov.uk	Noncase source surface: DfE: Correspondence Drafter - Algorithmic Transparency Record	not_applicable_noncase	source_family_accounting; AI register		United Kingdom	The cited register/transparency surface is useful provenance for source-family accounting but the batch metadata does not isolate a concrete AI edge-case event, finding, vulnerability, authority action, or harm claim.	Source-surface accounting only; no incident, legality, safety, compliance, deployment, prevalence, or guilt claim.	Do not infer harm, unlawful conduct, system deployment, safety/compliance failure, prevalence, ranking, or reviewed-core suitability from this surface alone.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Close for this extraction batch; only revisit if a concrete original source record is supplied.
