case_id	evidence_tier	source_type	publication_status	scholarly_signal	technical_fit	gap_status
LIMEN-000017	T3	gap	none	none	none	peer_reviewed_security_case_support
LIMEN-000006	T2	independent_lab	published	low	medium	none
LIMEN-000007	T2	regulator	published	low	low	none
LIMEN-000005	T2	coordination	published	low	medium	none
LIMEN-000009	T2	vendor_advisory	published	low	low	none
LIMEN-000012	T2	community	published	low	low	none
LIMEN-000016	T2	community	published	low	low	none
LIMEN-000004	T2	regulator_summary	published	low	medium	none
LIMEN-000002	T2	agency_only	published	low	low	none
LIMEN-000001	T1	regulator	published	high	high	none
LIMEN-000003	T1	regulator	published	high	high	none
LIMEN-000008	T1	regulator	published	high	high	none
