signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-26943B2C851B006B	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/source-family-cause-counts-v01-strict-window-20260522T160305Z.csv	16	sha256:4c9b14008ff747006953658c0ae0d2ce16cbccb4b976ecc9940e1011b7225b42	retraction-watch,ethics-consent-or-human-subjects,8,0.000593	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-2699A9C734289DD4	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	141	sha256:e66110d71868eb9302271cdb81ea49ff59f555d46faa2abda9344efeafa09ae4	3,BJ,,I05,,0,L,0,M,,true,,Targeted public searches did not find a public algorithm register or equivalent transparency register; confidence improves for negative evidence but absence remains search-limited.,,,bj-source-hardening,,,,,,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-269A9ED0666F04B8	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl	163	sha256:6c6817225c26fef432c55b07672347df6b70aa1700170cab53079a0146d46aea	"{""already_in_main_dataset"": false, ""authors"": [""Lirong Xia""], ""category"": ""scholarly-index-result"", ""container_title"": ""Synthesis Lectures on Artificial Intelligence and Machine Learning"", ""doi"": ""10.1007/978-3-031-01582-3"", ""domain"": ""doi.org"", ""is_referenced"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-26A3CF0EC5A08D93	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	781	sha256:d8aed5880526ee010f22476ceb112119eb30a4a5af795fdfa2901462576730ca	"8,EC,Ecuador,I05,,1,M,1,H,,true,,""Draft strategy proposes public AI-system register and SPDP RAT requires certain AI automated decisions to be available to the regulator, but no operating public algorithm/AI register was found."",,,,ec-source-hardening,confiden"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-26A89F23D581B63B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-packages/tyche-thesis-atlas-v0.2.3-preprint/analysis/claim-support/claim-support-refresh-v0.2.md	123	sha256:e7bd39006efcdaece2d518679213924a81e3971d742f6811d432aaf295793256	- [100] Operationalising AI regulatory sandboxes under the EU AI Act: The triple challenge of capacity, coordination and attractiveness to providers - https://doi.org/10.1017/cfl.2025.10023	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-26A9756BDCAA72A0	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	security-agentic	AI vulnerability	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-continuous-experiments/frontier-residue-public-anchor-lift-audit-v0.1.tsv	11	sha256:d037bd5dd8967f5baab5d2f1fb48c17a854ad870e4947c0b95c63c681d90c720	AI vulnerability security_risk /srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/crowdstrike.com-jina-19e18d02fc2a2bd9.txt 57 gaia_repo_or_import manual_review_needed Inspect manually before reuse. match_context_plusminus2 3 https://w	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-26AE7530EA53CB3D	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/patent-power-latest.jsonl	228	sha256:1b865efc0fb8bb72a587f87818dabed4c91a9cdc24abc412b2f319acd0646220	"{""assignee"": ""美商戴爾產品有限公司"", ""category"": ""patent-landscape"", ""corpus_version"": ""v0.2-working"", ""country_label"": ""Taiwan"", ""factory_record_id"": ""962999a5a4f0dcc1e6d80624"", ""family_countries"": [""CN"", ""EP"", ""TW"", ""US"", ""WO""], ""family_country_labels"": [""China"", ""Eur"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-26AEA15A9E377924	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl	348	sha256:55ca71ba8bf9245b048520ceec60cdaa1e9dde8ca4b1e84a578b33723f80317d	"{""already_in_main_dataset"": false, ""authors"": [""Sandra Cohen"", ""Francesca Manes Rossi"", ""Isabel Brusca""], ""category"": ""scholarly-index-result"", ""container_title"": ""Public Money &amp; Management"", ""doi"": ""10.1080/09540962.2023.2209290"", ""domain"": ""doi.org"", ""is"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-26B1517E0C2596B5	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-overview-bridge/gaia-pallas-world-synthesis.json	1027	sha256:656767c23150a2f4ac3f574e7b8ee71362f4411d51853d4d1d9e6388d1e4d581	"pallas_summary: ""Chile shows operational digital identity, e-signature, cybersecurity, procurement, and open-data infrastructure, plus an official national AI policy and emerging algorithm-transparency practice. First-pass evidence does not confirm an enacte"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-26B63C926C8B57E2	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	220	sha256:add612b952f86dc706fa30d0a6c448eeb1b9755cba90c36030b6b0a3b98fd995	3,GH,,I05,,0,L,0,M,,true,,Targeted public searches did not find a public Ghana algorithm register or equivalent automated-decision/AI-system transparency register; absence remains search-limited.,,,gh-source-hardening,,,,,,	needs direct source, source-pack resolution, or translation-aware review before example promotion
