queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00625	LIMEN-SIGNAL-63970C8141500356	source_queue_proxy	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	118	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00626	LIMEN-SIGNAL-63C09B2C642709D9	source_queue_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	71	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00627	LIMEN-SIGNAL-63C8AAEF74E776C1	source_queue_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	22	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00628	LIMEN-SIGNAL-63DFF30171E84522	source_queue_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md	36	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00629	LIMEN-SIGNAL-63F69CDD868F676F	source_queue_proxy	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	40	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00630	LIMEN-SIGNAL-6401F2C4B815B8AE	source_queue_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	114	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00631	LIMEN-SIGNAL-6420AB38337C16BB	source_queue_proxy	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	31	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00632	LIMEN-SIGNAL-64460857C507F21B	source_queue_proxy	P2_article_relevance_review	public-sector	procurement AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	150	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00633	LIMEN-SIGNAL-644E133178FE0062	source_queue_proxy	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	83	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00634	LIMEN-SIGNAL-6490DB9B897DC418	source_queue_proxy	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	22	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00635	LIMEN-SIGNAL-64A6CB1196B78956	source_queue_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	73	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00636	LIMEN-SIGNAL-64A9CC757DDC5BBB	source_queue_proxy	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	74	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00637	LIMEN-SIGNAL-651FFFDEDD8E4118	source_queue_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	8	Local metadata names a topic, queue, or indirect sandbox/register lead but not one bounded source surface to review.	Metadata indicates a likely source family, not a reviewable source surface.	Extract one named official surface with title/owner from the local artifact before promotion.
BPSE-00638	LIMEN-SIGNAL-652F6A2A3DAE95D0	manuscript_source_reference	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/04-estonia-finland-case-study/paper/venue/estonia-finland-ai-and-ethics-preprint-anon.md	120	Manuscript prose references source classes but does not itself expose the reviewable source surface.	Source reference only.	Resolve the named source from local source packs before promotion.
BPSE-00639	LIMEN-SIGNAL-65C95890218503B8	proxy_or_wrapper_source	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	1341	Local wrapper/proxy metadata points toward an underlying source, but the named reviewable surface is not cleanly exposed here.	proxy evidence only until the underlying named source is extracted	extract the named source title/URL from the local proxy row before direct-source review
BPSE-00640	LIMEN-SIGNAL-6608098DB087FD45	proxy_or_wrapper_source	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	78	Local wrapper/proxy metadata points toward an underlying source, but the named reviewable surface is not cleanly exposed here.	proxy evidence only until the underlying named source is extracted	extract the named source title/URL from the local proxy row before direct-source review
BPSE-00641	LIMEN-SIGNAL-6622BC83C669ACF2	proxy_or_wrapper_source	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	36	Local wrapper/proxy metadata points toward an underlying source, but the named reviewable surface is not cleanly exposed here.	proxy evidence only until the underlying named source is extracted	extract the named source title/URL from the local proxy row before direct-source review
BPSE-00642	LIMEN-SIGNAL-667243E244B24C1C	proxy_or_wrapper_source	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	26	Local wrapper/proxy metadata points toward an underlying source, but the named reviewable surface is not cleanly exposed here.	proxy evidence only until the underlying named source is extracted	extract the named source title/URL from the local proxy row before direct-source review
BPSE-00643	LIMEN-SIGNAL-6679888D6298AC20	proxy_or_wrapper_source	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	248	Local wrapper/proxy metadata points toward an underlying source, but the named reviewable surface is not cleanly exposed here.	proxy evidence only until the underlying named source is extracted	extract the named source title/URL from the local proxy row before direct-source review
BPSE-00644	LIMEN-SIGNAL-66C643BA05BD123B	proxy_or_wrapper_source	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv	82	Local wrapper/proxy metadata points toward an underlying source, but the named reviewable surface is not cleanly exposed here.	proxy evidence only until the underlying named source is extracted	extract the named source title/URL from the local proxy row before direct-source review
BPSE-00645	LIMEN-SIGNAL-66F3C131242BFB79	proxy_or_wrapper_source	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv	27	Local wrapper/proxy metadata points toward an underlying source, but the named reviewable surface is not cleanly exposed here.	proxy evidence only until the underlying named source is extracted	extract the named source title/URL from the local proxy row before direct-source review
