queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-01826	LIMEN-SIGNAL-02C58A6DCCB3183D	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:13392	Dominican Republic profile says AI procurement rules are planned/not verified; listed URLs are broader AI/digital-government context, not a concrete procurement parent source.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; locate a specific Dominican Republic AI procurement source before review.
BPSE-01827	LIMEN-SIGNAL-03A96901720CB962	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:135	Research queue row lists country target themes only; no concrete parent source URL is present locally.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep in parent-source extraction queue until a named official source surface is locally captured.
BPSE-01828	LIMEN-SIGNAL-03E145F2632318F5	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:11033	Antigua and Barbuda profile explicitly reports NO_ALGORITHM_REGISTER_FOUND; top sources are adjacent government/legal/standards context only.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; only revisit if an algorithm-register URL is locally captured.
BPSE-01829	LIMEN-SIGNAL-05C77FE23D9C4B57	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:15077	Jamaica profile reports no public-sector AI procurement rules found; listed sources are adjacent regulator, sandbox, standards, and data-controller surfaces.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; locate a specific Jamaica AI procurement source before review.
BPSE-01830	LIMEN-SIGNAL-0857C6A843BF8AFF	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:13238	Dominica profile reports no AI procurement guidance found; top sources are adjacent telecom, financial, and standards capacity surfaces.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; locate a specific Dominica AI procurement source before review.
BPSE-01831	LIMEN-SIGNAL-0CD15224EF5A397D	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:14157	Greenland profile reports no dedicated AI procurement rules found; listed sources are digital-government/cyber/service context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; locate a specific Greenland AI procurement source before review.
BPSE-01832	LIMEN-SIGNAL-0DB84FDB85827A37	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:12412	Belize profile reports no public algorithm register found; top sources are adjacent digital-government/data-protection statutes.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; only revisit if an algorithm-register URL is locally captured.
BPSE-01833	LIMEN-SIGNAL-0E272F801E96C26A	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:137	Research queue row lists country target themes only; no concrete parent source URL is present locally.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep in parent-source extraction queue until a named official source surface is locally captured.
BPSE-01834	LIMEN-SIGNAL-0F8C80E0273FC37A	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:15842	Martinique profile records a local AI procurement evidence gap; France/EU URLs are jurisdictional context rather than a Martinique-specific procurement parent source.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; locate a specific Martinique AI procurement source or applicability source before review.
BPSE-01835	LIMEN-SIGNAL-13B16F14D84C789E	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:134	Research queue row lists country target themes only; no concrete parent source URL is present locally.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep in parent-source extraction queue until a named official source surface is locally captured.
BPSE-01836	LIMEN-SIGNAL-1443CA61ABF79F35	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:16606	Saint Pierre and Miquelon profile reports no AI procurement policy found and needs territorial applicability review; listed URLs are broader France/EU context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; locate a specific Saint Pierre and Miquelon AI procurement or applicability source before review.
BPSE-01837	LIMEN-SIGNAL-14677C8BA5CC8F07	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:20743	Cambodia profile has visible digital/AI strategy anchors but no locally explicit AI procurement parent source in the inspected metadata.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; locate a specific Cambodia AI procurement source before review.
BPSE-01838	LIMEN-SIGNAL-17E92644D79894DB	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:14463	Guatemala profile says procurement AI governance not found; listed sources are identity, cyber, open-data, and proposed digital-transformation context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; locate a specific Guatemala AI procurement source before review.
BPSE-01839	LIMEN-SIGNAL-1AA11F59BDEC8A23	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:15689	Saint Martin profile reports no AI procurement rules found; listed France/EU URLs are general legal/regulator/cyber context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; locate a specific Saint Martin AI procurement source or applicability source before review.
BPSE-01840	LIMEN-SIGNAL-1ACD446B4D678EEB	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:139	Research queue row lists country target themes only; no concrete parent source URL is present locally.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep in parent-source extraction queue until a named official source surface is locally captured.
BPSE-01841	LIMEN-SIGNAL-1B15EA6BF26ADD7F	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:137	Research queue row lists country target themes only; no concrete parent source URL is present locally.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep in parent-source extraction queue until a named official source surface is locally captured.
BPSE-01842	LIMEN-SIGNAL-1C59780DCA8AECDD	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:14098	Greenland profile reports no public algorithm register found; listed sources are digital-government/cyber/service context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; only revisit if an algorithm-register URL is locally captured.
BPSE-01843	LIMEN-SIGNAL-1C5F77B49123BAB2	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:17526	Turks and Caicos profile reports NO_AI_PROCUREMENT_RULES_FOUND; top sources are general legal/government/regulator context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Do not promote; locate a specific Turks and Caicos AI procurement source before review.
BPSE-01844	LIMEN-SIGNAL-20C0CD4FD15F6BE6	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:134	Research queue row lists country target themes only; no concrete parent source URL is present locally.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep in parent-source extraction queue until a named official source surface is locally captured.
