source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://doi.org/10.14357/20718594190101	1	LIMEN-SIGNAL-F4959B7041A9CD8C	bulk_named_source_autoresolve	doi.org	https://doi.org/10.14357/20718594190101	doi.org	automated decision	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.14357/20718594190304	1	LIMEN-SIGNAL-E9EACC5B06F715B2	bulk_named_source_autoresolve	doi.org	https://doi.org/10.14357/20718594190304	doi.org	automated decision	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.14357/20718594200202	2	LIMEN-SIGNAL-49B261E33CD67C0C; LIMEN-SIGNAL-CC142A82EE11E364	bulk_named_source_autoresolve	doi.org	https://doi.org/10.14357/20718594200202	doi.org	AI evidence	Scholarly/index row does not expose a named direct source surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.14357/20718594220106	1	LIMEN-SIGNAL-DD4BD8BCC64AA582	bulk_named_source_autoresolve	doi.org	https://doi.org/10.14357/20718594220106	doi.org	automated decision	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.14357/20718594240302	1	LIMEN-SIGNAL-7BEDCD49EA268D68	bulk_named_source_autoresolve	doi.org	https://doi.org/10.14357/20718594240302	doi.org	automated decision	Scholarly/index metadata points toward sources but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.14361/9783839472774-006	1	LIMEN-SIGNAL-61D052BA77B75E4E	bulk_named_source_autoresolve	doi.org	https://doi.org/10.14361/9783839472774-006	doi.org	AI evidence	Derived atlas/history row points toward a source but does not name the reviewable surface yet.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1515/fa-2016-1032	1	LIMEN-SIGNAL-2910D2CA886C76BD	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1515/fa-2016-1032	doi.org	algorithm register	Local metadata is a proxy/index/wrapper that points toward a source but does not expose a named reviewable surface here.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.15750/chss.68.201805.009	1	LIMEN-SIGNAL-F89D36F20E4BAD97	bulk_named_source_autoresolve	doi.org	https://doi.org/10.15750/chss.68.201805.009	doi.org	AI evidence	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1609/aies.v8i2.36663	1	LIMEN-SIGNAL-E5021DEA367BE74D	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1609/aies.v8i2.36663	doi.org	regulatory sandbox	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.16937/kcti.rep.2021.e45	1	LIMEN-SIGNAL-D23A6F45572E3934	hardening_translation_source_review	doi.org	https://doi.org/10.16937/kcti.rep.2021.e45	관광산업의 디지털 전환 수준 진단과 정책대응 방향		- Why it matters: Find Korean-language digital identity, electronic-signature, and PKI governance sources for signed AI evidence.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
