as_of_utc	file_path	classification	reuse_status	matched_stale_string_classes	recommended_handling
2026-06-07T10:06:14Z	journal.md	project_journal_context	archival_context_only	figure5_confidence_old_compact; figure7_authority_old_compact	Do not patch for count cleanup; keep as dated project chronology and route future sync work to live registries instead.
2026-06-07T10:06:14Z	results/boost/limen-boost-011/downstream-drift-note.md	manual_review_context	manual_review_if_reused	figure5_confidence_old_compact; figure7_authority_old_compact	Manual review if this file is reused in shared package prose or build logic.
2026-06-07T10:06:14Z	results/boost/limen-boost-011/downstream-drift-register.tsv	drift_audit_artifact	archival_context_only	figure5_confidence_old_compact; figure5_confidence_old_spaced; figure7_authority_old_spaced	Keep as provenance of past repairs; do not reuse as current denominator source without following its cited source-of-truth file.
2026-06-07T10:06:14Z	results/boost/limen-boost-011/journal.md	lane_status_or_journal	archival_context_only	figure5_confidence_old_compact	Treat as historical cycle narrative, not live package truth; safe to ignore in search-driven count QA unless reopening that lane.
2026-06-07T10:06:14Z	results/boost/limen-boost-012/visual-package-repair-register.tsv	drift_audit_artifact	archival_context_only	figure5_confidence_old_compact; figure5_confidence_old_spaced; figure7_authority_old_compact; figure7_authority_old_spaced	Keep as provenance of past repairs; do not reuse as current denominator source without following its cited source-of-truth file.
2026-06-07T10:06:14Z	results/boost/limen-boost-024/shared-prose-drift-audit.tsv	drift_audit_artifact	archival_context_only	figure7_authority_old_prose	Keep as provenance of past repairs; do not reuse as current denominator source without following its cited source-of-truth file.
2026-06-07T10:06:14Z	results/boost/limen-boost-036/shared-figure-sync-delta.tsv	drift_audit_artifact	archival_context_only	figure5_confidence_old_compact; figure5_confidence_old_spaced	Keep as provenance of past repairs; do not reuse as current denominator source without following its cited source-of-truth file.
2026-06-07T10:06:14Z	results/boost/limen-boost-036/status.md	lane_status_or_journal	archival_context_only	figure5_confidence_old_compact	Treat as historical cycle narrative, not live package truth; safe to ignore in search-driven count QA unless reopening that lane.
2026-06-07T10:06:14Z	results/boost/limen-boost-047/journal.md	lane_status_or_journal	archival_context_only	figure5_confidence_old_compact; figure7_authority_old_compact	Treat as historical cycle narrative, not live package truth; safe to ignore in search-driven count QA unless reopening that lane.
2026-06-07T10:06:14Z	results/boost/limen-boost-047/shared-surface-sync.tsv	drift_audit_artifact	archival_context_only	figure5_confidence_old_spaced; figure7_authority_old_spaced	Keep as provenance of past repairs; do not reuse as current denominator source without following its cited source-of-truth file.
2026-06-07T10:06:14Z	results/boost/limen-boost-047/status.md	lane_status_or_journal	archival_context_only	figure5_confidence_old_compact; figure7_authority_old_compact	Treat as historical cycle narrative, not live package truth; safe to ignore in search-driven count QA unless reopening that lane.
2026-06-07T10:06:14Z	results/boost/limen-boost-049/shared-caption-sync-audit.tsv	drift_audit_artifact	archival_context_only	figure5_confidence_old_compact	Keep as provenance of past repairs; do not reuse as current denominator source without following its cited source-of-truth file.
2026-06-07T10:06:14Z	results/boost/limen-boost-049/status.md	lane_status_or_journal	archival_context_only	figure5_confidence_old_compact	Treat as historical cycle narrative, not live package truth; safe to ignore in search-driven count QA unless reopening that lane.
2026-06-07T10:06:14Z	results/boost/limen-boost-056/shared-caption-propagation.tsv	manual_review_context	manual_review_if_reused	figure5_confidence_old_compact	Manual review if this file is reused in shared package prose or build logic.
2026-06-07T10:06:14Z	results/dashboard-paper/caption-control-register-v0.1.tsv	active_guardrail_reference	live_surface_safe_intentional_guardrail	figure5_confidence_old_spaced	Keep: the active caption-control row mentions stale strings only to forbid regression; this is a live guardrail, not stale current-state prose.
