row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00398	LIMEN-SIGNAL-D1E1C990581B3708	machine_translation_hold	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/prompts/waves/pallas-hardening-sprint-9/sv-source-hardening.md:28	El Salvador PALLAS hardening prompt	Frozen first-pass summary only at cited row; source-pack exists elsewhere but row itself lacks a named original-language source URL.	translation-safe source review only; no legal or policy conclusion from machine translation	recover original-language source rows before any LIMEN promotion
TH-00404	LIMEN-SIGNAL-D396F69DA77C73B8	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/88456515	Algorithm Register of the Dutch government	Public AI Registry deployed-record accession row; official Dutch register locator exists but artifact belongs upstream.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00410	LIMEN-SIGNAL-D5A3D25F0B4D7C84	candidate_for_url_extraction	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv:64	PALLAS Yemen country review load	Local note names MTIT privacy/cyber pages but row carries no exact original-language URL.	translation-safe source review only; no legal or policy conclusion from machine translation	extract named MTIT/government URLs from source pack
TH-00417	LIMEN-SIGNAL-D819EB2E9416E1EE	reject_noise	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/algorithm-register-scarcity-map.csv:97	PALLAS algorithm-register scarcity map	Derived scarcity-map negative row with no source URL or original-language locator.	translation-safe source review only; no legal or policy conclusion from machine translation	do not promote; keep as internal matrix signal
TH-00418	LIMEN-SIGNAL-D89BE1EC0F5C36F0	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/88456515	Algorithm Register of the Dutch government	Duplicate public-ai-registry deployed-record accession row for the same Dutch register item.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00424	LIMEN-SIGNAL-DA2140684D3B8012	cross_project_duplicate	korean	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-018/rare-language-bridge-mini-batch-v0.1.csv:6	PALLAS rare-language bridge mini-batch	PALLAS/GAIA bridge artifact with seed IDs for Korean Hyodol lead; not an original source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	route upstream to PALLAS/GAIA source bundle
TH-00426	LIMEN-SIGNAL-DA56AE408D16FE9A	reject_noise	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.json:62	PALLAS readiness negative-route protocol	Protocol JSON line defines bounded search scope; it is an internal review template, not a source.	translation-safe source review only; no legal or policy conclusion from machine translation	exclude from source promotion
TH-00430	LIMEN-SIGNAL-DBAC000E0E51F2B0	reject_noise	arabic	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-019/negative-source-search-ledger-template-v0.1.csv:6	PALLAS negative source-search ledger template	Ledger template row for Bahrain route is pending/template material, not reviewed source evidence.	translation-safe source review only; no legal or policy conclusion from machine translation	exclude from source promotion
TH-00435	LIMEN-SIGNAL-DCF18B31E269B05F	cross_project_duplicate	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/results/pallas-gaia-bridge/paper-claim-signals.md:23	PALLAS-GAIA bridge paper claim signals	Bridge artifact restates Bahrain claim-review question; route to upstream GAIA/PALLAS bundle.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate upstream before LIMEN use
TH-00453	LIMEN-SIGNAL-E4FDA23C59B0F182	translation_source_reviewed	local_context_language_not_resolved	https://mocti.gov.sl/	MoCTI/DSTI/NatCA/NCRA public portals	Named Sierra Leone official portals and MoCTI locator support only bounded negative source-surface review.	translation-safe source review only; no legal or policy conclusion from machine translation	retain bounded locator and limitation text
